,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,GNB 35,0,0,"Mason Crosby kicks off 68 yards, returned by Kene Nwangwu for 25 yards (tackle by Eric Stokes)"
1,1,14:54,1,10,MIN 22,0,0,Kirk Cousins pass complete short left to Johnny Mundt for 12 yards (tackle by Jaire Alexander)
2,1,14:16,1,10,MIN 34,0,0,Dalvin Cook up the middle for no gain (tackle by Rashan Gary and De'Vondre Campbell)
3,1,13:37,2,10,MIN 34,0,0,Dalvin Cook up the middle for 5 yards (tackle by Jarran Reed)
4,1,12:55,3,5,MIN 39,0,0,Kirk Cousins pass complete short middle to Justin Jefferson for 20 yards (tackle by De'Vondre Campbell)
5,1,12:18,1,10,GNB 41,0,0,Kirk Cousins pass complete short middle to Johnny Mundt for 5 yards (tackle by Kingsley Enagbare)
6,1,11:35,2,5,GNB 36,0,0,Kirk Cousins pass complete short right to Justin Jefferson for 22 yards (tackle by Adrian Amos)
7,1,10:54,1,10,GNB 14,0,0,Kirk Cousins pass incomplete short right intended for Irv Smith
8,1,10:50,2,10,GNB 14,0,0,Kirk Cousins pass complete short right to Ben Ellefson for 2 yards (tackle by Quay Walker)
9,1,10:05,3,8,GNB 12,0,0,Kirk Cousins pass complete short right to Adam Thielen for 7 yards (tackle by Quay Walker)
10,1,9:21,4,1,GNB 5,0,6,"Kirk Cousins pass complete short right to Justin Jefferson for 5 yards, touchdown"
11,1,9:17,0,0,GNB 15,0,7,Greg Joseph kicks extra point good
12,1,9:17,0,0,MIN 35,0,7,"Greg Joseph kicks off 65 yards, touchback."
13,1,9:17,1,10,GNB 25,0,7,Aaron Rodgers pass incomplete deep right intended for Christian Watson
14,1,9:10,2,10,GNB 25,0,7,Aaron Jones right end for 10 yards (tackle by Jordan Hicks)
15,1,8:25,1,10,GNB 35,0,7,Aaron Rodgers pass incomplete short middle intended for Robert Tonyan (defended by Danielle Hunter)
16,1,8:20,2,10,GNB 35,0,7,Aaron Jones right tackle for 3 yards (tackle by Dalvin Tomlinson and Harrison Phillips)
17,1,7:40,3,7,GNB 38,0,7,Aaron Rodgers pass incomplete deep left intended for Romeo Doubs
18,1,7:35,4,7,GNB 38,0,7,"Pat O'Donnell punts 47 yards, fair catch by Jalen Reagor at MIN-15"
19,1,7:28,1,10,MIN 15,0,7,Dalvin Cook right tackle for no gain (tackle by Preston Smith)
20,1,7:02,2,10,MIN 15,0,7,Kirk Cousins pass complete short left to K.J. Osborn for 3 yards (tackle by Quay Walker)
21,1,6:18,3,7,MIN 18,0,7,Kirk Cousins sacked by Rashan Gary for -8 yards
22,1,5:38,4,15,MIN 10,0,7,"Ryan Wright punts 56 yards, returned by Amari Rodgers for 12 yards (tackle by Josh Metellus)"
23,1,5:27,1,10,GNB 46,0,7,AJ Dillon right guard for 4 yards (tackle by Jordan Hicks and Jonathan Bullard)
24,1,4:51,2,6,MIN 50,0,7,AJ Dillon right guard for 2 yards (tackle by Patrick Peterson and Jordan Hicks)
25,1,4:03,3,4,MIN 48,0,7,Aaron Rodgers pass complete short left to Randall Cobb for 6 yards (tackle by Jordan Hicks)
26,1,3:26,1,10,MIN 42,0,7,AJ Dillon right end for 2 yards (tackle by Patrick Peterson)
27,1,2:49,2,8,MIN 40,0,7,Aaron Rodgers pass incomplete short left intended for AJ Dillon
28,1,2:44,3,8,MIN 40,0,7,Aaron Rodgers sacked by Za'Darius Smith for -8 yards
29,1,1:59,4,16,MIN 48,0,7,Pat O'Donnell punts 33 yards out of bounds
