,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,CLE 35,0,0,"Cade York kicks off 56 yards, returned by Braxton Berrios for 22 yards (tackle by Grant Delpit)"
1,1,14:56,1,10,NYJ 31,0,0,Michael Carter left guard for 1 yard (tackle by Jordan Elliott and Ronnie Harrison)
2,1,14:21,2,9,NYJ 32,0,0,Breece Hall left end for 8 yards (tackle by Grant Delpit and Greg Newsome)
3,1,13:46,3,1,NYJ 40,0,0,"Joe Flacco pass incomplete short right intended for Tyler Conklin (defended by Anthony Walker) NYJ challenged the pass completion ruling, and the play was upheld."
4,1,13:39,4,1,NYJ 40,0,0,"Braden Mann punts 50 yards, fair catch by Demetric Felton at CLE-10"
5,1,13:32,1,10,CLE 10,0,0,Jacoby Brissett pass complete short left to Harrison Bryant for 8 yards (tackle by Kwon Alexander)
6,1,12:59,2,2,CLE 18,0,0,Jacoby Brissett pass complete short right to Harrison Bryant for 7 yards (tackle by Quincy Williams)
7,1,12:23,1,10,CLE 25,0,0,Nick Chubb left guard for 1 yard (tackle by Quinnen Williams)
8,1,11:43,2,9,CLE 26,0,0,Jacoby Brissett scrambles left guard for 13 yards (tackle by Lamarcus Joyner)
9,1,11:00,1,10,CLE 39,0,0,Nick Chubb right tackle for 4 yards (tackle by Kwon Alexander)
10,1,10:15,2,6,CLE 43,0,0,Jacoby Brissett pass complete short left to David Njoku for 13 yards (tackle by Kwon Alexander and Jacob Martin)
11,1,9:36,1,10,NYJ 44,0,0,Jacoby Brissett pass complete short right to Nick Chubb for 7 yards (tackle by C.J. Mosley and Quincy Williams)
12,1,8:58,2,3,NYJ 37,0,0,Nick Chubb right tackle for 14 yards (tackle by Sauce Gardner and Michael Carter)
13,1,8:18,1,10,NYJ 23,0,0,Nick Chubb left end for 3 yards (tackle by D.J. Reed)
14,1,7:43,2,7,NYJ 20,0,0,Jacoby Brissett scrambles right end for 4 yards (tackle by Kwon Alexander)
15,1,6:57,3,3,NYJ 16,0,0,Jacoby Brissett pass complete short left to David Njoku for 4 yards (tackle by Lamarcus Joyner)
16,1,6:17,1,10,NYJ 12,0,0,Nick Chubb right guard for 8 yards (tackle by Quincy Williams and Sheldon Rankins)
17,1,5:36,2,2,NYJ 4,0,0,Nick Chubb left guard for no gain (tackle by Lamarcus Joyner)
18,1,5:00,3,2,NYJ 4,0,6,"Nick Chubb left tackle for 4 yards, touchdown"
19,1,4:55,0,0,NYJ 15,0,7,Cade York kicks extra point good
20,1,4:55,0,0,CLE 35,0,7,"Cade York kicks off 65 yards, touchback."
21,1,4:55,1,10,NYJ 25,0,7,Garrett Wilson right end for -2 yards (tackle by Anthony Walker)
22,1,4:17,2,12,NYJ 23,0,7,Joe Flacco pass complete short left to Michael Carter for 3 yards (tackle by Martin Emerson)
23,1,3:34,3,9,NYJ 26,0,7,"Penalty on Myles Garrett: Neutral Zone Infraction, 5 yards (accepted) (no play)"
24,1,3:18,3,4,NYJ 31,0,7,Joe Flacco scrambles right tackle for 7 yards (tackle by John Johnson)
25,1,2:35,1,10,NYJ 38,0,7,Joe Flacco pass incomplete deep left intended for Garrett Wilson
26,1,2:27,2,10,NYJ 38,0,7,Michael Carter right guard for 8 yards (tackle by Grant Delpit and Anthony Walker)
27,1,1:47,3,2,NYJ 46,0,7,Joe Flacco pass incomplete short left intended for Garrett Wilson
28,1,1:40,4,2,NYJ 46,0,7,Braden Mann pass complete short right to Jeff Smith for 17 yards (tackle by A.J. Green)
29,1,1:05,1,10,CLE 37,0,7,Breece Hall left guard for no gain (tackle by Jeremiah Owusu-Koramoah)
30,1,0:35,2,10,CLE 37,0,7,"Joe Flacco pass complete short right to Breece Hall for no gain (tackle by Alex Wright). Penalty on Connor McGovern: Ineligible Downfield Pass, 5 yards (accepted) (no play)"
31,1,0:12,2,15,CLE 42,0,7,Joe Flacco pass complete short left to Elijah Moore for 13 yards
32,2,15:00,3,2,CLE 29,0,7,Breece Hall left guard for 23 yards (tackle by John Johnson)
33,2,14:27,1,6,CLE 6,0,7,Breece Hall right end for -1 yards (tackle by John Johnson and Taven Bryan)
34,2,13:48,2,7,CLE 7,0,7,Joe Flacco pass complete short left to Garrett Wilson for 5 yards (tackle by Martin Emerson)
35,2,13:09,3,2,CLE 2,6,7,"Joe Flacco pass complete short right to Garrett Wilson for 2 yards, touchdown"
36,2,13:06,0,0,CLE 15,7,7,Greg Zuerlein kicks extra point good
37,2,13:06,0,0,NYJ 35,7,7,"Greg Zuerlein kicks off 70 yards, returned by Jerome Ford for 44 yards (tackle by Greg Zuerlein)"
