,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,ARI 35,0,0,"Matt Prater kicks off 65 yards, touchback."
1,1,15:00,1,10,LVR 25,0,0,Josh Jacobs up the middle for 7 yards (tackle by Jalen Thompson and Marco Wilson)
2,1,14:22,2,3,LVR 32,0,0,Derek Carr sacked by J.J. Watt for -8 yards
3,1,13:40,3,11,LVR 24,0,0,Derek Carr pass complete deep middle to Mack Hollins for 20 yards (tackle by Jace Whittaker)
4,1,13:02,1,10,LVR 44,0,0,Josh Jacobs up the middle for 6 yards (tackle by Jalen Thompson and Zach Allen)
5,1,12:27,2,4,LVR 50,0,0,Josh Jacobs left guard for 3 yards (tackle by Zaven Collins)
6,1,11:58,3,1,ARI 47,0,0,Josh Jacobs up the middle for 2 yards (tackle by Budda Baker)
7,1,11:17,1,10,ARI 45,0,0,"Penalty on Michael Dogbe: Neutral Zone Infraction, 5 yards (accepted) (no play)"
8,1,10:58,1,5,ARI 40,0,0,Josh Jacobs left tackle for no gain (tackle by Rashard Lawrence and Dennis Gardeck)
9,1,10:21,2,5,ARI 40,0,0,Josh Jacobs right tackle for 13 yards (tackle by Nick Vigil and Marco Wilson)
10,1,9:44,1,10,ARI 27,0,0,Josh Jacobs for no gain (no play)
11,1,9:11,1,15,ARI 32,0,0,Derek Carr pass complete short right to Foster Moreau for -6 yards (tackle by Nick Vigil)
12,1,8:25,2,21,ARI 38,0,0,Derek Carr pass complete short right to Mack Hollins for 9 yards (tackle by Jace Whittaker)
13,1,7:49,3,12,ARI 29,0,0,Derek Carr pass complete deep middle to Mack Hollins for 23 yards (tackle by Budda Baker)
14,1,7:06,1,6,ARI 6,0,0,Josh Jacobs up the middle for 2 yards (tackle by Jalen Thompson and Leki Fotu)
15,1,6:25,2,4,ARI 4,0,0,Derek Carr pass incomplete short left intended for Mack Hollins
16,1,6:15,3,4,ARI 4,0,0,"Derek Carr pass incomplete short left intended for Darren Waller. Penalty on Jalen Thompson: Defensive Pass Interference, 3 yards (accepted) (no play)"
17,1,6:11,1,1,ARI 1,0,0,Josh Jacobs up the middle for no gain (tackle by Jalen Thompson)
18,1,5:25,2,1,ARI 1,0,6,"Derek Carr pass complete short left to Davante Adams for 1 yard, touchdown"
19,1,5:22,0,0,ARI 15,0,7,Daniel Carlson kicks extra point good
20,1,5:22,0,0,LVR 35,0,7,"Daniel Carlson kicks off 65 yards, touchback."
21,1,5:22,1,10,ARI 25,0,7,Kyler Murray pass complete short left to Marquise Brown for 6 yards (tackle by Nate Hobbs)
22,1,4:47,2,4,ARI 31,0,7,James Conner up the middle for 3 yards (tackle by Maxx Crosby and Divine Deablo)
23,1,4:05,3,1,ARI 34,0,7,James Conner left guard for 4 yards (tackle by Chandler Jones and Divine Deablo)
24,1,3:23,1,10,ARI 38,0,7,Eno Benjamin up the middle for 3 yards (tackle by Andrew Billings and Jayon Brown)
25,1,2:49,2,7,ARI 41,0,7,Kyler Murray sacked by Maxx Crosby for -7 yards
26,1,2:05,3,14,ARI 34,0,7,Kyler Murray pass complete short left to Marquise Brown for 10 yards (tackle by Divine Deablo)
27,1,1:29,4,4,ARI 44,0,7,"Andy Lee punts 56 yards, touchback."
28,1,1:21,1,10,LVR 20,0,7,"Penalty on J.J. Watt: Neutral Zone Infraction, 5 yards (accepted) (no play)"
29,1,1:21,1,5,LVR 25,0,7,"Derek Carr pass complete deep left to Darren Waller for 19 yards (tackle by Jalen Thompson). Penalty on Marco Wilson: Illegal Contact, 5 yards (declined) "
30,1,0:55,1,10,LVR 44,0,7,Josh Jacobs left guard for 4 yards (tackle by Budda Baker and Dennis Gardeck)
31,1,0:11,2,6,LVR 48,0,7,Derek Carr pass complete short left to Foster Moreau for 19 yards (tackle by Nick Vigil)
32,2,15:00,1,10,ARI 33,0,7,"Penalty on Kolton Miller: False Start, 5 yards (accepted) (no play)"
33,2,15:00,1,15,ARI 38,0,7,Derek Carr pass complete short left to Josh Jacobs for 12 yards (tackle by Tanner Vallejo)
34,2,14:18,2,3,ARI 26,0,7,Derek Carr pass complete short left to Mack Hollins for 7 yards (tackle by Marco Wilson and Jace Whittaker)
35,2,13:28,1,10,ARI 19,0,7,"Zamir White left tackle for no gain (tackle by Budda Baker and Nick Vigil). Penalty on Dylan Parham: Offensive Holding, 10 yards (accepted) (no play)"
36,2,13:06,1,20,ARI 29,0,7,Derek Carr pass complete short left to Hunter Renfrow for 8 yards (tackle by Victor Dimukeje)
37,2,12:28,2,12,ARI 21,0,7,Derek Carr pass complete short right to Mack Hollins for 7 yards (tackle by Byron Murphy)
38,2,11:52,3,5,ARI 14,0,7,Derek Carr pass incomplete short right intended for Davante Adams
39,2,11:45,4,5,ARI 14,0,10,Daniel Carlson 32 yard field goal good
40,2,11:40,0,0,LVR 35,0,10,"Daniel Carlson kicks off 62 yards, returned by Eno Benjamin for 22 yards (tackle by Matthias Farley and Sam Webb)"
41,2,11:32,1,10,ARI 25,0,10,James Conner right guard for 5 yards (tackle by Divine Deablo and Johnathan Hankins)
42,2,11:04,2,5,ARI 30,0,10,Kyler Murray pass complete short middle to Zach Ertz for 5 yards (tackle by Jayon Brown)
