,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,NYJ 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback."
1,1,15:00,1,10,CIN 25,0,0,Joe Burrow pass complete short right to Tyler Boyd for 13 yards (tackle by C.J. Mosley and Lamarcus Joyner)
2,1,14:26,1,10,CIN 38,0,0,Joe Burrow pass complete short right to Tee Higgins for 6 yards (tackle by Sauce Gardner)
3,1,13:56,2,4,CIN 44,0,0,Joe Burrow pass incomplete deep left intended for Ja'Marr Chase
4,1,13:47,3,4,CIN 44,0,0,"Penalty on CIN: Delay of Game, 5 yards (accepted) (no play)"
5,1,13:47,3,9,CIN 39,0,0,Joe Burrow pass complete deep left to Tee Higgins for 19 yards (tackle by D.J. Reed)
6,1,13:14,1,10,NYJ 42,0,0,Joe Burrow pass complete short right to Tee Higgins for 14 yards (tackle by C.J. Mosley)
7,1,12:36,1,10,NYJ 28,0,0,Joe Mixon right end for -5 yards (tackle by Jermaine Johnson)
8,1,12:00,2,15,NYJ 33,0,0,Joe Burrow pass complete short left to Joe Mixon for 7 yards (tackle by D.J. Reed)
9,1,11:20,3,8,NYJ 26,0,0,Joe Burrow pass complete short right to Tyler Boyd for 22 yards (tackle by C.J. Mosley and Lamarcus Joyner)
10,1,10:35,1,4,NYJ 4,0,0,"Joe Burrow pass complete short middle to Tyler Boyd for no gain, touchdown. Penalty on Cordell Volson: Offensive Holding, 10 yards (accepted) (no play)"
11,1,10:31,1,14,NYJ 14,0,0,Joe Burrow pass complete short left to Joe Mixon for 2 yards (tackle by C.J. Mosley)
12,1,9:50,2,12,NYJ 12,0,0,"Joe Burrow pass incomplete short right intended for Tee Higgins (defended by D.J. Reed) CIN challenged the pass completion ruling, and the play was upheld."
13,1,9:45,3,12,NYJ 12,6,0,"Joe Burrow pass complete to Samaje Perine for 12 yards, touchdown"
14,1,9:35,0,0,NYJ 15,7,0,Evan McPherson kicks extra point good
15,1,9:35,0,0,CIN 35,7,0,"Evan McPherson kicks off 65 yards, touchback."
16,1,9:30,1,10,NYJ 25,7,0,"Joe Flacco pass incomplete short right intended for Garrett Wilson. Penalty on Chidobe Awuzie: Defensive Holding, 5 yards (accepted) (no play)"
17,1,9:29,1,10,NYJ 30,7,0,Michael Carter right guard for 2 yards (tackle by Sam Hubbard)
18,1,8:57,2,8,NYJ 32,7,0,Michael Carter up the middle for 8 yards (tackle by Chidobe Awuzie)
19,1,8:18,1,10,NYJ 40,7,0,Joe Flacco pass complete short left to Elijah Moore for 5 yards (tackle by Chidobe Awuzie)
20,1,7:44,2,5,NYJ 45,7,0,Joe Flacco pass complete short left to Garrett Wilson for -1 yards (tackle by Vonn Bell)
21,1,7:07,3,6,NYJ 44,7,0,Joe Flacco pass complete deep left to Garrett Wilson for 23 yards (tackle by Vonn Bell)
22,1,6:31,1,10,CIN 33,7,0,Breece Hall right guard for 3 yards (tackle by Akeem Davis-Gaither and Logan Wilson)
23,1,5:51,2,7,CIN 30,7,0,Braxton Berrios right end for -2 yards (tackle by Akeem Davis-Gaither)
24,1,5:12,3,9,CIN 32,7,0,Joe Flacco pass incomplete short right intended for Breece Hall
25,1,5:08,4,9,CIN 32,7,3,Greg Zuerlein 50 yard field goal good
26,1,5:04,0,0,NYJ 35,7,3,"Greg Zuerlein kicks off 65 yards, touchback."
27,1,5:04,1,10,CIN 25,7,3,Joe Mixon up the middle for 4 yards (tackle by Sheldon Rankins)
28,1,4:33,2,6,CIN 29,7,3,Joe Burrow pass complete short right to Tee Higgins for 9 yards (tackle by Sauce Gardner and C.J. Mosley)
29,1,3:54,1,10,CIN 38,7,3,"Joe Burrow pass complete short right to Ja'Marr Chase for 3 yards. Ja'Marr Chase fumbles, recovered by C.J. Mosley at CIN-43 (tackle by Ja'Marr Chase)"
30,1,3:45,1,10,CIN 43,7,3,Joe Flacco pass complete deep right to Elijah Moore for 16 yards (tackle by Chidobe Awuzie)
31,1,3:09,1,10,CIN 27,7,3,Michael Carter right end for 4 yards (tackle by Mike Hilton)
32,1,2:35,2,6,CIN 23,7,3,Michael Carter up the middle for 1 yard (tackle by D.J. Reader and Mike Hilton)
33,1,1:58,3,5,CIN 22,7,3,Joe Flacco pass incomplete deep left intended for Elijah Moore (defended by Chidobe Awuzie)
34,1,1:52,4,5,CIN 22,7,6,Greg Zuerlein 40 yard field goal good
35,1,1:49,0,0,NYJ 35,7,6,"Greg Zuerlein kicks off 65 yards, touchback."
36,1,1:49,1,10,CIN 25,7,6,Joe Mixon up the middle for 1 yard (tackle by Quincy Williams and Jordan Whitehead)
37,1,1:05,2,9,CIN 26,7,6,Joe Burrow pass incomplete short left intended for Ja'Marr Chase
