,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,PHI 35,0,0,"Cameron Dicker kicks off 67 yards, returned by Eno Benjamin for 19 yards (tackle by Zech McPhearson and Reed Blankenship)"
1,1,14:55,1,10,ARI 17,0,0,James Conner up the middle for 4 yards (tackle by Javon Hargrave)
2,1,14:24,2,6,ARI 21,0,0,Kyler Murray pass complete short left to Zach Ertz for 6 yards (tackle by Jordan Davis)
3,1,13:51,1,10,ARI 27,0,0,Rondale Moore right end for -2 yards (tackle by Josiah Scott)
4,1,13:18,2,12,ARI 25,0,0,Kyler Murray pass complete short left to Rondale Moore for 3 yards (tackle by C.J. Gardner-Johnson)
5,1,12:33,3,9,ARI 28,0,0,Kyler Murray pass incomplete short left
6,1,12:26,4,9,ARI 28,0,0,"Andy Lee punts 51 yards, returned by Britain Covey for 15 yards (tackle by Victor Dimukeje and Tanner Vallejo)"
7,1,12:15,1,10,PHI 36,0,0,Jalen Hurts pass incomplete short right intended for Miles Sanders
8,1,12:09,2,10,PHI 36,0,0,Jalen Hurts pass complete short left to Dallas Goedert for 14 yards (tackle by Zaven Collins)
9,1,11:44,1,10,PHI 50,0,0,Miles Sanders up the middle for 2 yards (tackle by Zach Allen and Leki Fotu)
10,1,11:05,2,8,ARI 48,0,0,Jalen Hurts pass complete short left to Dallas Goedert for 10 yards (tackle by Marco Wilson and Budda Baker)
11,1,10:27,1,10,ARI 38,0,0,Jalen Hurts pass complete short left to A.J. Brown for 15 yards (tackle by Marco Wilson)
12,1,10:20,1,10,ARI 23,0,0,Jalen Hurts pass complete short left to A.J. Brown for 11 yards (tackle by Marco Wilson)
13,1,9:44,1,10,ARI 12,0,0,Jalen Hurts pass incomplete short right intended for A.J. Brown
14,1,9:40,2,10,ARI 12,0,0,Miles Sanders up the middle for 3 yards (tackle by Jonathan Ledbetter)
15,1,9:01,3,7,ARI 9,0,0,Jalen Hurts pass complete short left to A.J. Brown for 6 yards (tackle by Marco Wilson)
16,1,8:40,4,1,ARI 3,0,0,Jalen Hurts up the middle for 2 yards (tackle by Zaven Collins and Zach Allen)
17,1,8:06,1,1,ARI 1,6,0,"Jalen Hurts up the middle for 1 yard, touchdown"
18,1,8:02,0,0,ARI 15,7,0,Cameron Dicker kicks extra point good
19,1,8:02,0,0,PHI 35,7,0,"Cameron Dicker kicks off 65 yards, touchback."
20,1,8:02,1,10,ARI 25,7,0,"Kyler Murray pass deep middle intended for Marquise Brown is intercepted by C.J. Gardner-Johnson at PHI-35 and returned for 15 yards (tackle by Marquise Brown) Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Kyler Murray pass deep middle intended for Marquise Brown is intercepted by C.J. Gardner-Johnson at PHI-35 and returned for no gain (tackle by Marquise Brown)"
