,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,WAS 35,0,0,"Joey Slye kicks off 65 yards, touchback."
1,1,15:00,1,10,CHI 25,0,0,Justin Fields scrambles left end for 8 yards (tackle by Cole Holcomb)
2,1,14:25,2,2,CHI 33,0,0,Justin Fields pass complete short left to Darnell Mooney for 7 yards (tackle by Kendall Fuller)
3,1,13:50,1,10,CHI 40,0,0,David Montgomery left end for 1 yard (tackle by James Smith-Williams and Montez Sweat)
4,1,13:10,2,9,CHI 41,0,0,"David Montgomery left end for 3 yards (tackle by Casey Toohill and Jamin Davis). Penalty on Jonathan Allen: Defensive Holding, 5 yards (accepted) "
5,1,12:40,1,10,CHI 49,0,0,Justin Fields sacked by Efe Obada for -9 yards
6,1,11:55,2,19,CHI 40,0,0,Justin Fields pass incomplete short right intended for Darnell Mooney
7,1,11:51,3,19,CHI 40,0,0,Justin Fields sacked by Daron Payne for -9 yards
8,1,11:18,4,28,CHI 31,0,0,"Trenton Gill punts 53 yards, returned by Dax Milne for 7 yards (tackle by DeAndre Houston-Carson and Jaylon Jones)"
9,1,11:07,1,10,WAS 23,0,0,Brian Robinson left end for 2 yards (tackle by Roquan Smith and Joe Thomas)
10,1,10:47,2,8,WAS 25,0,0,Brian Robinson left end for 1 yard (tackle by Roquan Smith and Nicholas Morrow)
11,1,10:00,3,7,WAS 26,0,0,Carson Wentz sacked by Jaquan Brisker for -8 yards
12,1,9:26,4,15,WAS 18,0,0,"Tress Way punts 58 yards, returned by Velus Jones for 10 yards (tackle by Armani Rogers and Jeremy Reaves)"
13,1,9:16,1,10,CHI 34,0,0,Justin Fields pass complete short left to Cole Kmet for 15 yards (tackle by Darrick Forrest)
14,1,8:35,1,10,CHI 49,0,0,"Justin Fields pass complete short middle to Cole Kmet for no gain (tackle by Kamren Curl and John Ridgeway). Penalty on Larry Borom: Ineligible Downfield Pass, 5 yards (accepted) (no play)"
15,1,8:12,1,15,CHI 44,0,0,David Montgomery left end for 7 yards (tackle by Cole Holcomb)
16,1,7:39,2,8,WAS 49,0,0,Justin Fields pass complete short middle to Dante Pettis for 19 yards (tackle by Kamren Curl)
17,1,7:03,1,10,WAS 30,0,0,Justin Fields scrambles right end for 5 yards (tackle by Kamren Curl)
18,1,6:27,2,5,WAS 25,0,0,David Montgomery right guard for 2 yards (tackle by Rachad Wildgoose)
19,1,5:48,3,3,WAS 23,0,0,Justin Fields pass complete short left to Darnell Mooney for 2 yards (tackle by Bobby McCain)
20,1,5:10,4,1,WAS 21,0,0,Justin Fields up the middle for 2 yards (tackle by Cole Holcomb)
21,1,4:32,1,10,WAS 19,0,0,David Montgomery right tackle for 5 yards (tackle by James Smith-Williams)
22,1,3:49,2,5,WAS 14,0,0,Velus Jones left end for 8 yards (tackle by Rachad Wildgoose)
23,1,3:10,1,6,WAS 6,0,0,David Montgomery left guard for 1 yard (tackle by Kamren Curl)
24,1,2:27,2,5,WAS 5,0,0,Justin Fields pass short middle (defended by Efe Obada) intended for Cole Kmet is intercepted by Jonathan Allen at WAS-5 and returned for 1 yard (tackle by Teven Jenkins)
25,1,2:18,1,10,WAS 6,0,0,Brian Robinson left guard for no gain (tackle by Roquan Smith) (no play)
26,1,1:51,1,13,WAS 3,0,0,Brian Robinson right tackle for 3 yards (tackle by Joe Thomas and Armon Watts)
27,1,1:14,2,10,WAS 6,0,0,Carson Wentz pass complete short middle to Cole Turner for 18 yards (tackle by Eddie Jackson)
28,1,0:36,1,10,WAS 24,0,0,Brian Robinson left end for 5 yards (tackle by Nicholas Morrow and Armon Watts)
29,2,15:00,2,5,WAS 29,0,0,Carson Wentz pass incomplete short left intended for J.D. McKissic
30,2,14:56,3,5,WAS 29,0,0,Carson Wentz sacked by Roquan Smith for -5 yards
31,2,14:13,4,10,WAS 24,0,0,"Tress Way punts 51 yards, returned by Velus Jones for 6 yards (tackle by Khaleke Hudson and David Mayo)"
32,2,14:01,1,10,CHI 31,0,0,Khalil Herbert left end for 63 yards (tackle by Casey Toohill and Efe Obada)
33,2,13:10,1,6,WAS 6,0,0,Justin Fields scrambles left end for no gain (tackle by Darrick Forrest) (no play)
34,2,12:51,1,3,WAS 3,0,0,Khalil Herbert left guard for no gain (tackle by Bobby McCain and Montez Sweat)
35,2,12:13,2,3,WAS 3,0,0,Justin Fields pass incomplete short right intended for Ryan Griffin
36,2,12:06,3,3,WAS 3,0,0,Justin Fields scrambles left tackle for 2 yards (tackle by Bobby McCain and Darrick Forrest)
37,2,11:25,4,1,WAS 1,0,0,Khalil Herbert left guard for no gain (tackle by Montez Sweat and Cole Holcomb)
38,2,11:18,1,10,WAS 1,0,0,Brian Robinson left guard for 1 yard (tackle by Roquan Smith)
39,2,10:34,2,9,WAS 2,0,0,Brian Robinson left tackle for 4 yards (tackle by Nicholas Morrow and Jaylon Johnson)
40,2,9:52,3,5,WAS 6,0,0,Carson Wentz pass complete short left to Terry McLaurin for 17 yards (tackle by Jaquan Brisker and Eddie Jackson)
41,2,9:13,1,10,WAS 23,0,0,Carson Wentz pass incomplete short right intended for Antonio Gibson (defended by Kyler Gordon)
42,2,9:06,2,10,WAS 23,0,0,Carson Wentz pass complete short right to Cole Turner for 5 yards (tackle by Kyler Gordon)
