,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,PIT 35,0,0,"Chris Boswell kicks off 65 yards, touchback."
1,1,15:00,1,10,TAM 25,0,0,Leonard Fournette right end for 1 yard (tackle by Myles Jack)
2,1,14:17,2,9,TAM 26,0,0,Tom Brady pass incomplete short middle intended for Chris Godwin (defended by Alex Highsmith)
3,1,14:14,3,9,TAM 26,0,0,Tom Brady pass incomplete deep left intended for Chris Godwin
4,1,14:09,4,9,TAM 26,0,0,Jake Camarda punts 40 yards out of bounds
5,1,14:02,1,10,PIT 34,0,0,Kenny Pickett pass complete short right to George Pickens for 8 yards (tackle by Carlton Davis)
6,1,13:30,2,2,PIT 42,0,0,Kenny Pickett pass complete short middle to Diontae Johnson for 5 yards (tackle by Devin White)
7,1,12:52,1,10,PIT 47,0,0,Kenny Pickett pass complete short left to Chase Claypool for 14 yards (tackle by Jamel Dean)
8,1,12:30,1,10,TAM 39,0,0,Najee Harris right end for -4 yards (tackle by Antoine Winfield)
9,1,11:50,2,14,TAM 43,0,0,Chase Claypool right end for 8 yards (tackle by Lavonte David)
10,1,11:14,3,6,TAM 35,0,0,"Kenny Pickett pass incomplete deep right intended for George Pickens. Penalty on Devin White: Roughing the Passer, 15 yards (accepted) (no play)"
11,1,11:10,1,10,TAM 20,0,0,Najee Harris left tackle for 1 yard (tackle by Joe Tryon-Shoyinka and William Gholston)
12,1,10:31,2,9,TAM 19,0,0,Diontae Johnson left end for 3 yards (tackle by Jamel Dean)
13,1,9:53,3,6,TAM 16,0,0,"Penalty on Kevin Dotson: False Start, 5 yards (accepted) (no play)"
14,1,9:37,3,11,TAM 21,0,0,Kenny Pickett scrambles left guard for 10 yards (tackle by Anthony Nelson)
15,1,9:11,4,1,TAM 11,0,0,Jaylen Warren up the middle for 1 yard (tackle by Devin White and Lavonte David)
16,1,8:31,1,10,TAM 10,0,0,Kenny Pickett pass complete short right to Diontae Johnson for 4 yards (tackle by Keanu Neal)
17,1,7:44,2,6,TAM 6,0,6,"Kenny Pickett pass complete short left to Najee Harris for 6 yards, touchdown"
18,1,7:38,0,0,TAM 15,0,7,Chris Boswell kicks extra point good
19,1,7:38,0,0,PIT 35,0,7,"Chris Boswell kicks off 64 yards, returned by Rachaad White for 27 yards (tackle by Jaylen Warren)"
20,1,7:32,1,10,TAM 28,0,7,Leonard Fournette left tackle for 13 yards (tackle by Terrell Edmunds)
21,1,7:02,1,10,TAM 41,0,7,Tom Brady pass incomplete short middle
22,1,6:55,2,10,TAM 41,0,7,Tom Brady pass complete deep left to Mike Evans for 20 yards (tackle by Josh Jackson)
23,1,6:17,1,10,PIT 39,0,7,Leonard Fournette left tackle for 7 yards (tackle by Larry Ogunjobi)
24,1,5:43,2,3,PIT 32,0,7,Leonard Fournette right guard for 1 yard (tackle by Isaiahh Loudermilk)
25,1,4:59,3,2,PIT 31,0,7,Tom Brady pass complete short left to Rachaad White for 3 yards (tackle by Josh Jackson)
26,1,4:21,1,10,PIT 28,0,7,Tom Brady pass complete short middle to Leonard Fournette for 5 yards (tackle by Devin Bush)
27,1,3:44,2,5,PIT 23,0,7,Leonard Fournette left tackle for 6 yards (tackle by Montravius Adams and Chris Wormley)
28,1,3:05,1,10,PIT 17,0,7,Tom Brady pass incomplete deep middle intended for Cameron Brate (defended by Myles Jack)
29,1,3:01,2,10,PIT 17,0,7,Tom Brady pass incomplete short right intended for Rachaad White
30,1,2:57,3,10,PIT 17,0,7,Tom Brady pass incomplete short middle intended for Chris Godwin
31,1,2:54,4,10,PIT 17,0,7,"Penalty on Tre Norwood: Neutral Zone Infraction, 5 yards (accepted) (no play)"
32,1,2:54,4,5,PIT 12,3,7,Ryan Succop 30 yard field goal good
33,1,2:50,0,0,TAM 35,3,7,"Jake Camarda kicks off 63 yards, returned by Steven Sims for 11 yards (tackle by Ko Kieft)"
34,1,2:47,1,10,PIT 13,3,7,Najee Harris right guard for 3 yards (tackle by Keanu Neal and Lavonte David)
35,1,2:05,2,7,PIT 16,3,7,Kenny Pickett pass incomplete short right intended for Diontae Johnson
36,1,2:01,3,7,PIT 16,3,7,Kenny Pickett sacked by Antoine Winfield for -12 yards
37,1,1:35,4,19,PIT 4,3,7,"Pressley Harvin punts 52 yards, returned by Jaelon Darden for 2 yards (tackle by Miles Boykin)"
38,1,1:25,1,10,TAM 46,3,7,Tom Brady pass incomplete short right intended for Chris Godwin
39,1,1:19,2,10,TAM 46,3,7,"Penalty on Luke Goedeke: False Start, 5 yards (accepted) (no play)"
40,1,1:19,2,15,TAM 41,3,7,Tom Brady pass complete deep middle to Chris Godwin for 22 yards (tackle by Tre Norwood)
41,1,0:43,1,10,PIT 37,3,7,Rachaad White right guard for 8 yards (tackle by Tre Norwood)
42,1,0:14,2,2,PIT 29,3,7,Leonard Fournette right guard for 4 yards (tackle by Robert Spillane and Isaiahh Loudermilk)
43,2,15:00,1,10,PIT 25,3,7,Tom Brady pass complete short middle to Mike Evans for 10 yards (tackle by Robert Spillane and Terrell Edmunds)
44,2,14:25,1,10,PIT 15,3,7,Leonard Fournette left guard for 1 yard (tackle by Devin Bush)
45,2,13:45,2,9,PIT 14,3,7,Tom Brady pass complete short middle to Russell Gage for 11 yards (tackle by James Pierre)
46,2,13:06,1,3,PIT 3,3,7,Leonard Fournette up the middle for 2 yards (tackle by Cameron Heyward)
47,2,12:28,2,1,PIT 1,3,7,Leonard Fournette left guard for -3 yards (tackle by Larry Ogunjobi and Terrell Edmunds)
48,2,11:49,3,4,PIT 4,3,7,Tom Brady sacked by Cameron Heyward for -5 yards
49,2,11:04,4,9,PIT 9,6,7,Ryan Succop 27 yard field goal good
50,2,11:01,0,0,TAM 35,6,7,"Jake Camarda kicks off 58 yards, returned by Steven Sims for 12 yards (tackle by Ko Kieft)"
51,2,10:58,1,10,PIT 19,6,7,Kenny Pickett scrambles right guard for 6 yards (tackle by Antoine Winfield)
52,2,10:18,2,4,PIT 25,6,7,Najee Harris right tackle for 14 yards (tackle by Devin White and Keanu Neal)
53,2,9:53,1,10,PIT 39,6,7,George Pickens left end for 1 yard (tackle by Dee Delaney)
54,2,9:18,2,9,PIT 40,6,7,Diontae Johnson left end for 5 yards (tackle by Joe Tryon-Shoyinka and Devin White)
55,2,8:41,3,4,PIT 45,6,7,Kenny Pickett pass complete short left to Chase Claypool for 6 yards (tackle by Jamel Dean)
56,2,8:06,1,10,TAM 49,6,7,Najee Harris left tackle for 3 yards (tackle by Rakeem Nunez-Roches and Anthony Nelson)
57,2,7:21,2,7,TAM 46,6,7,Kenny Pickett pass complete short left to Najee Harris for 1 yard (tackle by Lavonte David and Rakeem Nunez-Roches)
58,2,6:41,3,6,TAM 45,6,7,Kenny Pickett pass complete short left to Diontae Johnson for 9 yards (tackle by Jamel Dean)
59,2,6:03,1,10,TAM 36,6,7,"Jaylen Warren for no gain. Penalty on Kevin Dotson: Offensive Holding, 10 yards (accepted) (no play)"
60,2,5:36,1,20,TAM 46,6,7,Kenny Pickett pass incomplete short left intended for George Pickens
61,2,5:34,2,20,TAM 46,6,7,Kenny Pickett pass complete short right to Diontae Johnson for 5 yards (tackle by Carlton Davis)
62,2,4:57,3,15,TAM 41,6,7,Kenny Pickett pass complete short left to Zach Gentry for 4 yards (tackle by Lavonte David)
63,2,4:12,4,11,TAM 37,6,10,Chris Boswell 55 yard field goal good
64,2,4:07,0,0,PIT 35,6,10,"Chris Boswell kicks off 65 yards, touchback."
65,2,4:07,1,10,TAM 25,6,10,Rachaad White up the middle for no gain (tackle by Larry Ogunjobi and Terrell Edmunds)
66,2,3:36,2,10,TAM 25,6,10,Tom Brady pass complete short right to Mike Evans for 8 yards (tackle by James Pierre)
67,2,2:57,3,2,TAM 33,6,10,Tom Brady pass incomplete short middle intended for Chris Godwin
68,2,2:52,4,2,TAM 33,6,10,"Jake Camarda punts 47 yards, returned by Steven Sims for 6 yards (tackle by Scott Miller)"
69,2,2:42,1,10,PIT 26,6,10,Najee Harris left guard for 2 yards (tackle by Shaquil Barrett)
70,2,2:24,2,8,PIT 28,6,10,Kenny Pickett pass incomplete short left
71,2,2:17,3,8,PIT 28,6,10,Kenny Pickett pass incomplete short right intended for George Pickens
72,2,2:12,4,8,PIT 28,6,10,"Pressley Harvin punts 53 yards, returned by Jaelon Darden for 6 yards (tackle by Marcus Allen and Miles Killebrew)"
73,2,2:02,1,10,TAM 25,6,10,Tom Brady pass complete short right to Cameron Brate for 8 yards (tackle by Myles Jack)
74,2,1:58,2,2,TAM 33,6,10,Leonard Fournette left guard for 2 yards (tackle by Larry Ogunjobi)
75,2,1:42,1,10,TAM 35,6,10,"Tom Brady sacked by Alex Highsmith for -9 yards. Tom Brady fumbles (forced by Alex Highsmith), recovered by Chris Godwin at TB-26 (tackle by Alex Highsmith)"
76,2,1:22,2,19,TAM 26,6,10,Tom Brady pass complete short left to Leonard Fournette for 8 yards (tackle by Myles Jack and Arthur Maulet)
77,2,0:58,3,11,TAM 34,6,10,Tom Brady pass incomplete deep middle intended for Breshad Perriman
78,2,0:54,4,11,TAM 34,6,10,"Jake Camarda punts 52 yards, fair catch by Steven Sims at PIT-14"
79,2,0:46,1,10,PIT 14,6,10,Kenny Pickett pass incomplete short left
80,2,0:40,2,10,PIT 14,6,10,Najee Harris right end for no gain (tackle by Devin White and Vita Vea)
81,2,0:34,3,10,PIT 14,6,10,Najee Harris left tackle for 1 yard (tackle by Keanu Neal)
82,2,0:32,4,9,PIT 15,6,10,"Pressley Harvin punts 42 yards, returned by Jaelon Darden for 6 yards (tackle by Gunner Olszewski)"
83,2,0:23,1,10,TAM 49,6,10,Tom Brady pass complete short middle to Chris Godwin for 15 yards (tackle by Tre Norwood)
84,2,0:11,1,10,PIT 41,6,10,Tom Brady spiked the ball
85,2,0:10,2,10,PIT 36,6,10,Tom Brady pass incomplete deep left
86,2,0:04,3,10,PIT 36,9,10,Ryan Succop 54 yard field goal good
87,3,15:00,0,0,TAM 35,9,10,"Jake Camarda kicks off 66 yards, returned by Steven Sims for 89 yards (tackle by Jamel Dean)"
88,3,14:48,1,10,TAM 12,9,10,Kenny Pickett pass complete short left to Diontae Johnson for 5 yards (tackle by Dee Delaney)
89,3,14:07,2,5,TAM 7,9,10,Kenny Pickett pass incomplete short right
90,3,14:03,3,5,TAM 7,9,10,Kenny Pickett pass incomplete short right intended for George Pickens
91,3,13:58,4,5,TAM 7,9,13,Chris Boswell 25 yard field goal good
92,3,13:55,0,0,PIT 35,9,13,"Chris Boswell kicks off 65 yards, touchback."
93,3,13:55,1,10,TAM 25,9,13,Leonard Fournette right guard for no gain (tackle by Arthur Maulet)
94,3,13:19,2,10,TAM 25,9,13,Tom Brady pass complete short middle to Chris Godwin for 9 yards (tackle by Robert Spillane)
95,3,12:46,3,1,TAM 34,9,13,Leonard Fournette right guard for 5 yards (tackle by Malik Reed)
96,3,12:13,1,10,TAM 39,9,13,Leonard Fournette right end for 3 yards (tackle by Devin Bush)
97,3,11:35,2,7,TAM 42,9,13,Tom Brady pass complete deep middle to Chris Godwin for 28 yards (tackle by Terrell Edmunds)
98,3,11:02,1,10,PIT 30,9,13,"Leonard Fournette up the middle for 2 yards (tackle by Myles Jack). Penalty on Tyson Alualu: Defensive Holding, 5 yards (accepted) "
99,3,10:44,1,10,PIT 23,9,13,Leonard Fournette left tackle for 8 yards (tackle by Robert Spillane and Myles Jack)
100,3,10:01,2,2,PIT 15,9,13,Tom Brady pass incomplete short left intended for Cade Otton (defended by Robert Spillane)
101,3,10:00,3,2,PIT 15,9,13,Leonard Fournette right guard for 2 yards (tackle by Malik Reed)
102,3,9:34,1,10,PIT 13,9,13,"Penalty on Brandon Walton: False Start, 5 yards (accepted) (no play)"
103,3,9:10,1,15,PIT 18,9,13,Tom Brady pass complete short left to Russell Gage for 9 yards (tackle by Josh Jackson)
104,3,8:29,2,6,PIT 9,9,13,"Tom Brady pass incomplete short right. Penalty on James Pierre: Defensive Holding, 5 yards (accepted) (no play)"
105,3,8:17,1,4,PIT 4,9,13,"Tom Brady pass incomplete. Penalty on Tristan Wirfs: Ineligible Downfield Pass, 5 yards (accepted) (no play)"
106,3,8:17,1,9,PIT 9,9,13,Leonard Fournette left tackle for -2 yards (tackle by Terrell Edmunds)
107,3,7:38,2,11,PIT 11,9,13,Tom Brady pass incomplete short right intended for Russell Gage
108,3,7:31,3,11,PIT 11,9,13,Tom Brady pass incomplete short middle intended for Russell Gage
