,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,CHI 35,0,0,"Cairo Santos kicks off 65 yards, touchback."
1,1,15:00,1,10,ATL 25,0,0,Marcus Mariota pass incomplete short right intended for Kyle Pitts (defended by Eddie Jackson)
2,1,14:56,2,10,ATL 25,0,0,Marcus Mariota pass complete short right to Olamide Zaccheaus for 9 yards (tackle by Jack Sanborn)
3,1,14:31,3,1,ATL 34,0,0,"Penalty on Justin Jones: Neutral Zone Infraction, 6 yards (accepted) (no play)"
4,1,14:12,1,10,ATL 40,0,0,Cordarrelle Patterson right end for 3 yards (tackle by Jaquan Brisker and Justin Jones)
5,1,13:41,2,7,ATL 43,0,0,Marcus Mariota pass complete short middle to Kyle Pitts for 16 yards (tackle by Kyler Gordon)
6,1,13:01,1,10,CHI 41,0,0,Tyler Allgeier right end for 13 yards (tackle by Jaquan Brisker)
7,1,12:26,1,10,CHI 28,0,0,Marcus Mariota scrambles left guard for 1 yard (tackle by Jaquan Brisker)
8,1,11:57,2,9,CHI 27,0,0,Marcus Mariota pass complete short left to KhaDarel Hodge for 13 yards (tackle by Jaylon Johnson)
9,1,11:13,1,10,CHI 14,0,0,Cordarrelle Patterson right guard for 7 yards (tackle by Eddie Jackson)
10,1,10:27,2,3,CHI 7,0,0,Marcus Mariota right end for 5 yards (tackle by Nicholas Morrow and Eddie Jackson)
11,1,9:46,1,2,CHI 2,0,6,"Marcus Mariota pass complete short left to Drake London for 2 yards, touchdown. Penalty on Jaquan Brisker: Defensive Holding, 1 yard (declined) "
12,1,9:37,0,0,CHI 15,0,7,Younghoe Koo kicks extra point good
13,1,9:37,0,0,ATL 35,0,7,"Bradley Pinion kicks off 64 yards, returned by Velus Jones for 55 yards (tackle by Erik Harris)"
14,1,9:27,1,10,ATL 44,0,7,Justin Fields pass complete short left to David Montgomery for 9 yards (tackle by Darren Hall and Lorenzo Carter)
15,1,8:46,2,1,ATL 35,0,7,David Montgomery right tackle for 4 yards (tackle by Abdullah Anderson and Richie Grant)
16,1,8:11,1,10,ATL 31,0,7,David Montgomery left end for 4 yards (tackle by Jaylinn Hawkins and Mykal Walker)
