,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,DET 35,0,0,"Jack Fox kicks off 60 yards, returned by Gary Brightwell for 18 yards (tackle by Anthony Pittman)"
1,1,14:53,1,10,NYG 23,0,0,Saquon Barkley right tackle for -3 yards (tackle by John Cominsky)
2,1,14:14,2,13,NYG 20,0,0,Daniel Jones pass complete short left to Saquon Barkley for 7 yards (tackle by Malcolm Rodriguez)
3,1,13:41,3,6,NYG 27,0,0,Daniel Jones sacked by Alim McNeill for -8 yards
4,1,13:06,4,14,NYG 19,0,0,"Jamie Gillan punts 51 yards, fair catch by Kalif Raymond at DET-30"
5,1,12:58,1,10,DET 30,0,0,Jamaal Williams right guard for 12 yards (tackle by Adoree' Jackson)
6,1,12:17,1,10,DET 42,0,0,Jared Goff pass incomplete short left
7,1,12:08,2,10,DET 42,0,0,Justin Jackson right end for 2 yards (tackle by Adoree' Jackson and Jihad Ward)
8,1,11:33,3,8,DET 44,0,0,"Jared Goff pass incomplete short left intended for Amon-Ra St. Brown. Penalty on Oshane Ximines: Roughing the Passer, 15 yards (accepted) (no play)"
9,1,11:33,1,10,NYG 41,0,0,Jamaal Williams right tackle for 4 yards (tackle by Micah McFadden and Dexter Lawrence)
10,1,10:59,2,6,NYG 37,0,0,Jared Goff pass complete short left to Amon-Ra St. Brown for 5 yards (tackle by Darnay Holmes)
11,1,10:37,3,1,NYG 32,0,0,Jared Goff up the middle for 2 yards (tackle by Kayvon Thibodeaux)
12,1,9:59,1,10,NYG 30,0,0,Jared Goff pass complete short right to Brock Wright for 16 yards (tackle by Micah McFadden)
13,1,9:16,1,10,NYG 14,0,0,D'Andre Swift left guard for 2 yards (tackle by Leonard Williams)
14,1,8:40,2,8,NYG 12,0,0,Jared Goff pass incomplete short left intended for Jason Cabinda (defended by Jihad Ward)
15,1,8:33,3,8,NYG 12,0,0,Jared Goff pass complete short right to D'Andre Swift for 6 yards (tackle by Julian Love and Leonard Williams)
16,1,7:55,4,2,NYG 6,3,0,Michael Badgley 24 yard field goal good
17,1,7:52,0,0,DET 35,3,0,"Jack Fox kicks off 65 yards, touchback."
18,1,7:52,1,10,NYG 25,3,0,Daniel Jones pass complete short right to Darius Slayton for 17 yards (tackle by Jeff Okudah and Will Harris)
19,1,7:31,1,10,NYG 42,3,0,Saquon Barkley left tackle for -1 yards (tackle by Alim McNeill)
20,1,6:54,2,11,NYG 41,3,0,Daniel Jones pass complete short left to Lawrence Cager for 7 yards (tackle by Malcolm Rodriguez)
21,1,6:31,3,4,NYG 48,3,0,Saquon Barkley right guard for 3 yards (tackle by John Cominsky)
22,1,5:55,4,1,DET 49,3,0,Matt Breida left end for 5 yards (tackle by DeShon Elliott)
23,1,5:20,1,10,DET 44,3,0,Saquon Barkley up the middle for 1 yard (tackle by Will Harris and Isaiah Buggs)
24,1,4:52,2,9,DET 43,3,0,"Saquon Barkley left end for 2 yards (tackle by Jeff Okudah). Penalty on Nick Gates: Offensive Holding, 10 yards (declined) "
25,1,4:22,3,7,DET 41,3,0,Daniel Jones pass complete short right to Matt Breida for 16 yards (tackle by DeShon Elliott)
26,1,3:42,1,10,DET 25,3,0,Daniel Jones pass complete short left to Wan'Dale Robinson for 18 yards (tackle by Will Harris)
27,1,3:17,1,7,DET 7,3,0,Saquon Barkley up the middle for 4 yards (tackle by Kerby Joseph and Aidan Hutchinson)
28,1,2:46,2,3,DET 3,3,6,"Daniel Jones right end for 3 yards, touchdown"
29,1,2:41,0,0,DET 15,3,6,Graham Gano kicks extra point blocked blocked by John Cominsky
30,1,2:41,0,0,NYG 35,3,6,"Graham Gano kicks off 62 yards, returned by Justin Jackson for 26 yards (tackle by Julian Love and Elerson Smith)"
31,1,2:33,1,10,DET 29,3,6,Jared Goff pass complete short left to Kalif Raymond for -3 yards (tackle by Nick McCloud)
32,1,1:53,2,13,DET 26,3,6,Jamaal Williams left tackle for 1 yard (tackle by Dexter Lawrence)
33,1,1:20,3,12,DET 27,3,6,Jared Goff pass complete short right to Kalif Raymond for 15 yards (tackle by Jason Pinnock)
34,1,0:43,1,10,DET 42,3,6,Jared Goff pass incomplete deep left intended for Kalif Raymond
35,1,0:35,2,10,DET 42,3,6,Jamaal Williams right end for 1 yard (tackle by Dexter Lawrence)
