,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,DAL 35,0,0,"Brett Maher kicks off 65 yards, touchback."
1,1,15:00,1,10,NYG 25,0,0,Daniel Jones pass complete short right to Lawrence Cager for 20 yards (tackle by Jayron Kearse)
2,1,14:23,1,10,NYG 45,0,0,Daniel Jones pass complete short right to Saquon Barkley for 2 yards (tackle by Damone Clark)
3,1,13:45,2,8,NYG 47,0,0,Daniel Jones pass incomplete deep right intended for Darius Slayton
4,1,13:38,3,8,NYG 47,0,0,Daniel Jones pass complete short middle to Saquon Barkley for 5 yards (tackle by Leighton Vander Esch)
5,1,12:55,4,3,DAL 48,0,0,"Jamie Gillan punts 48 yards, touchback."
6,1,12:46,1,10,DAL 20,0,0,CeeDee Lamb right end for 12 yards (tackle by Cordale Flott)
7,1,12:17,1,10,DAL 32,0,0,Dak Prescott pass complete short left to CeeDee Lamb for 8 yards (tackle by Julian Love)
8,1,11:52,2,2,DAL 40,0,0,Dak Prescott pass incomplete short right intended for CeeDee Lamb (defended by Darnay Holmes)
9,1,11:45,3,2,DAL 40,0,0,Dak Prescott pass incomplete deep middle intended for Michael Gallup
10,1,11:40,4,2,DAL 40,0,0,Ezekiel Elliott left tackle for 1 yard (tackle by Jaylon Smith)
11,1,11:35,1,10,DAL 40,0,0,Daniel Jones pass complete short middle to Chris Myarick for 23 yards (tackle by Trevon Diggs)
12,1,10:47,1,10,DAL 17,0,0,Daniel Jones sacked by Dorance Armstrong for -7 yards
13,1,10:06,2,17,DAL 24,0,0,"Daniel Jones pass complete to Isaiah Hodgins for no gain, touchdown. Penalty on Tyre Phillips: Ineligible Downfield Pass, 5 yards (accepted) (no play)"
14,1,9:59,2,22,DAL 29,0,0,Daniel Jones pass incomplete short right
15,1,9:52,3,22,DAL 29,0,0,"Daniel Jones pass incomplete deep right. Penalty on Daniel Jones: Intentional Grounding, 10 yards (accepted) . Penalty on Daniel Jones: Illegal Shift, 5 yards (declined) "
16,1,9:49,4,32,DAL 39,3,0,Graham Gano 57 yard field goal good
17,1,9:44,0,0,NYG 35,3,0,"Graham Gano kicks off 65 yards, touchback."
18,1,9:44,1,10,DAL 25,3,0,Ezekiel Elliott left tackle for 15 yards (tackle by Jason Pinnock)
19,1,9:17,1,10,DAL 39,3,0,"Ezekiel Elliott right guard for no gain (tackle by Kayvon Thibodeaux). Penalty on Zack Martin: Offensive Holding, 10 yards (accepted) (no play)"
20,1,9:01,1,20,DAL 29,3,0,Dak Prescott pass complete short left to Jake Ferguson for 13 yards (tackle by Julian Love)
21,1,8:24,2,6,DAL 43,3,0,Ezekiel Elliott up the middle for 10 yards (tackle by Jason Pinnock)
