,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,LAR 35,0,0,"Matt Gay kicks off 65 yards, touchback."
1,1,15:00,1,10,KAN 25,0,0,Isiah Pacheco right end for 9 yards (tackle by Aaron Donald and Taylor Rapp)
2,1,14:29,2,1,KAN 34,0,0,Patrick Mahomes pass complete short left to Marquez Valdes-Scantling for 4 yards (tackle by David Long and Troy Hill)
3,1,13:55,1,10,KAN 38,0,0,Patrick Mahomes pass incomplete short right
4,1,13:50,2,10,KAN 38,0,0,Isiah Pacheco up the middle for 5 yards (tackle by Aaron Donald)
5,1,13:18,3,5,KAN 43,0,0,Patrick Mahomes pass incomplete short right intended for Jerick McKinnon
6,1,13:12,4,5,KAN 43,0,0,"Tommy Townsend punts 49 yards, fair catch by Brandon Powell at LA-8"
7,1,13:05,1,10,LAR 8,0,0,"Penalty on Jalen Ramsey: Unnecessary Roughness / Defense, 4 yards (accepted) (no play)"
8,1,13:05,1,10,LAR 4,0,0,Cam Akers left end for 2 yards (tackle by Nick Bolton)
9,1,12:23,2,8,LAR 6,0,0,Cam Akers left guard for 2 yards (tackle by Frank Clark and Derrick Nnadi)
10,1,11:40,3,6,LAR 8,0,0,Bryce Perkins pass incomplete short left intended for Lance McCutcheon (defended by Trent McDuffie)
11,1,11:34,4,6,LAR 8,0,0,"Riley Dixon punts 49 yards, recovered by Robert Rochell at KC-43"
12,1,11:23,1,10,KAN 43,0,0,Bryce Perkins sacked by George Karlaftis for -10 yards
13,1,10:42,2,20,LAR 47,0,0,Bryce Perkins up the middle for 8 yards (tackle by Nick Bolton)
14,1,10:13,3,12,KAN 45,0,0,"Bryce Perkins pass complete deep right to Van Jefferson for 19 yards KAN challenged the pass completion ruling, and the original play was overturned. Bryce Perkins pass incomplete deep right intended for Van Jefferson (defended by Joshua Williams)"
15,1,10:06,4,12,KAN 45,0,0,"Riley Dixon punts 35 yards, fair catch by Justin Watson at KC-10"
16,1,10:00,1,10,KAN 10,0,0,Isiah Pacheco right end for 3 yards (tackle by Ernest Jones)
17,1,9:30,2,7,KAN 13,0,0,Patrick Mahomes pass complete short left to Skyy Moore for 18 yards (tackle by Nick Scott)
18,1,8:54,1,10,KAN 31,0,0,Patrick Mahomes scrambles left end for 6 yards (tackle by Jalen Ramsey)
19,1,8:18,2,4,KAN 37,0,0,Patrick Mahomes pass complete short middle to Travis Kelce for 9 yards (tackle by Taylor Rapp)
20,1,7:36,1,10,KAN 46,0,0,Patrick Mahomes scrambles right end for 10 yards (tackle by Ernest Jones and Taylor Rapp)
21,1,7:01,1,10,LAR 44,0,0,Patrick Mahomes pass complete short left to Jerick McKinnon for 11 yards (tackle by Greg Gaines and Taylor Rapp)
22,1,6:20,1,10,LAR 33,0,0,"Patrick Mahomes pass complete short left to Skyy Moore for 4 yards (tackle by Bobby Wagner). Penalty on Justin Watson: Offensive Holding, 10 yards (accepted) "
23,1,6:00,1,16,LAR 39,0,0,Patrick Mahomes pass incomplete deep left
24,1,5:51,2,16,LAR 39,0,6,"Patrick Mahomes pass complete deep left to Travis Kelce for 39 yards, touchdown"
25,1,5:40,0,0,LAR 15,0,7,Harrison Butker kicks extra point good
26,1,5:40,0,0,KAN 35,0,7,"Harrison Butker kicks off 65 yards, touchback."
27,1,5:40,1,10,LAR 25,0,7,Cam Akers right end for 15 yards (tackle by Justin Reid)
28,1,4:58,1,10,LAR 40,0,7,Cam Akers left guard for 4 yards (tackle by Michael Danna and Taylor Stallworth)
29,1,4:14,2,6,LAR 44,0,7,Bryce Perkins pass complete short right to Brandon Powell for 1 yard (tackle by Joshua Williams)
30,1,3:32,3,5,LAR 45,0,7,Bryce Perkins scrambles left end for 13 yards (tackle by Nick Bolton)
31,1,2:50,1,10,KAN 42,0,7,Kyren Williams left guard for 2 yards (tackle by Khalen Saunders and Carlos Dunlap)
32,1,2:06,2,8,KAN 40,0,7,Bryce Perkins pass complete short left to Kyren Williams for 15 yards (tackle by Willie Gay)
33,1,1:20,1,10,KAN 25,0,7,Kyren Williams left end for -1 yards (tackle by Willie Gay and Frank Clark)
34,1,0:35,2,11,KAN 26,0,7,Bryce Perkins pass incomplete deep left intended for Lance McCutcheon
35,1,0:30,3,11,KAN 26,0,7,Kyren Williams right end for -3 yards (tackle by L'Jarius Sneed)
36,2,15:00,4,14,KAN 29,3,7,Matt Gay 47 yard field goal good
37,2,14:57,0,0,LAR 35,3,7,"Matt Gay kicks off 65 yards, touchback."
38,2,14:57,1,10,KAN 25,3,7,Isiah Pacheco left end for 9 yards (tackle by Nick Scott and Troy Hill)
39,2,14:21,2,1,KAN 34,3,7,Patrick Mahomes pass complete short middle to Skyy Moore for 2 yards (tackle by Michael Hoecht and Jalen Ramsey)
40,2,13:41,1,10,KAN 36,3,7,Patrick Mahomes pass complete short middle to Justin Watson for 14 yards (tackle by Ernest Jones)
41,2,12:58,1,10,KAN 50,3,7,"Patrick Mahomes pass incomplete deep right intended for Marquez Valdes-Scantling. Penalty on Derion Kendrick: Defensive Holding, 5 yards (accepted) (no play)"
42,2,12:53,1,10,LAR 45,3,7,Isiah Pacheco up the middle for 3 yards (tackle by Jonah Williams and Troy Hill)
43,2,12:19,2,7,LAR 42,3,7,Patrick Mahomes pass complete short left to Ronald Jones for 22 yards (tackle by Taylor Rapp and Jalen Ramsey)
44,2,11:45,1,10,LAR 20,3,7,Ronald Jones up the middle for 3 yards (tackle by Jonah Williams)
45,2,11:06,2,7,LAR 17,3,7,Patrick Mahomes pass incomplete deep right
46,2,10:56,3,7,LAR 17,3,7,Patrick Mahomes scrambles right end for 13 yards (tackle by Nick Scott)
