,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,MIA 35,0,0,"Jason Sanders kicks off 65 yards, touchback."
1,1,15:00,1,10,HOU 25,0,0,Dare Ogunbowale right tackle for 1 yard (tackle by Jerome Baker and Jaelan Phillips)
2,1,14:22,2,9,HOU 26,0,0,Dameon Pierce right guard for 3 yards (tackle by Zach Sieler and Elandon Roberts)
3,1,13:42,3,6,HOU 29,0,0,Kyle Allen pass incomplete deep right intended for O.J. Howard
4,1,13:32,4,6,HOU 29,0,0,"Cameron Johnston punts 52 yards, returned by Cedrick Wilson for 15 yards (tackle by Eric Murray)"
5,1,13:22,1,10,MIA 34,0,0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 11 yards (tackle by Steven Nelson)
6,1,12:59,1,10,MIA 45,0,0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 13 yards (tackle by Jalen Pitre)
7,1,12:22,1,10,HOU 42,0,0,Jeff Wilson right guard for 3 yards (tackle by Christian Kirksey and Roy Lopez)
8,1,11:47,2,7,HOU 39,0,0,Tua Tagovailoa pass incomplete short right intended for Jeff Wilson
9,1,11:42,3,7,HOU 39,0,0,Tua Tagovailoa pass complete deep middle to Jaylen Waddle for 22 yards (tackle by Jalen Pitre)
10,1,11:02,1,10,HOU 17,0,0,"Jeff Wilson right end for no gain (tackle by Steven Nelson). Penalty on Robert Hunt: Offensive Holding, 10 yards (accepted) (no play)"
11,1,10:36,1,20,HOU 27,0,0,Tua Tagovailoa pass incomplete short left intended for Jaylen Waddle
12,1,10:33,2,20,HOU 27,0,0,Tua Tagovailoa pass incomplete short middle intended for Cedrick Wilson
13,1,10:30,3,20,HOU 27,0,0,Tua Tagovailoa pass incomplete short left intended for Trent Sherfield
14,1,10:26,4,20,HOU 27,0,3,Jason Sanders 45 yard field goal good
15,1,10:21,0,0,MIA 35,0,3,"Jason Sanders kicks off 69 yards, returned by Tremon Smith for 14 yards (tackle by Justin Bethel and Clayton Fejedelem)"
16,1,10:14,1,10,HOU 10,0,3,Kyle Allen pass complete short right to Nico Collins for 11 yards (tackle by Jaelan Phillips)
17,1,9:41,1,10,HOU 21,0,3,Dameon Pierce up the middle for 1 yard (tackle by Christian Wilkins and Kader Kohou)
18,1,9:06,2,9,HOU 22,0,3,Kyle Allen pass complete short left to Brandin Cooks for no gain (tackle by Jevon Holland)
19,1,8:29,3,9,HOU 22,0,3,Kyle Allen sacked by Melvin Ingram for -13 yards
20,1,7:52,4,22,HOU 9,0,3,"Cameron Johnston punts 56 yards, returned by Cedrick Wilson for 6 yards (tackle by M.J. Stewart)"
21,1,7:41,1,10,MIA 41,0,3,Tua Tagovailoa pass complete deep right to Trent Sherfield for 24 yards (tackle by Jalen Pitre)
22,1,7:02,1,10,HOU 35,0,3,Tua Tagovailoa pass complete short middle to Tyreek Hill for 14 yards (tackle by Jalen Pitre)
23,1,6:21,1,10,HOU 21,0,3,Jeff Wilson left guard for no gain (tackle by Christian Kirksey)
24,1,5:44,2,10,HOU 21,0,3,Tyreek Hill left end for 5 yards (tackle by Christian Kirksey)
25,1,5:00,3,5,HOU 16,0,3,Tua Tagovailoa pass complete short left to Tyreek Hill for 4 yards (tackle by Desmond King and Christian Harris)
26,1,4:19,4,1,HOU 12,0,3,Tua Tagovailoa pass complete short left to Trent Sherfield for 9 yards (tackle by Christian Harris)
27,1,3:38,1,3,HOU 3,0,3,Jeff Wilson left guard for -1 yards (tackle by Maliek Collins)
28,1,3:06,2,4,HOU 4,0,9,"Tua Tagovailoa pass complete short left to Durham Smythe for 4 yards, touchdown"
29,1,2:57,0,0,HOU 15,0,10,Jason Sanders kicks extra point good
30,1,2:57,0,0,MIA 35,0,10,"Jason Sanders kicks off 65 yards, touchback."
31,1,2:57,1,10,HOU 25,0,10,Kyle Allen pass incomplete deep right intended for Nico Collins (defended by Xavien Howard)
32,1,2:51,2,10,HOU 25,0,10,Kyle Allen pass complete short right to Dameon Pierce for 9 yards (tackle by Andrew Van Ginkel)
33,1,2:10,3,1,HOU 34,0,10,"Penalty on MIA: Defensive Too Many Men on Field, 5 yards (accepted) (no play)"
34,1,2:01,1,10,HOU 39,0,10,Kyle Allen pass incomplete short right intended for Dameon Pierce
35,1,1:56,2,10,HOU 39,0,10,Kyle Allen pass complete short middle to Chris Moore for 4 yards (tackle by Elandon Roberts)
36,1,1:18,3,6,HOU 43,0,10,Kyle Allen pass incomplete short right intended for O.J. Howard
37,1,1:13,4,6,HOU 43,0,10,"Cameron Johnston punts 48 yards, fair catch by Cedrick Wilson at MIA-9"
38,1,1:06,1,10,MIA 9,0,10,Jeff Wilson left guard for no gain (tackle by Jalen Reeves-Maybin and Desmond King)
39,1,0:28,2,10,MIA 9,0,10,Tua Tagovailoa pass complete short left to Tyreek Hill for 29 yards (tackle by Desmond King)
40,2,15:00,1,10,MIA 38,0,10,Tua Tagovailoa pass complete short left to Alec Ingold for no gain (tackle by Christian Kirksey)
41,2,14:25,2,10,MIA 38,0,10,Tua Tagovailoa pass complete short left to River Cracraft for 11 yards (tackle by Eric Murray)
42,2,13:41,1,10,MIA 49,0,10,Tua Tagovailoa pass incomplete deep middle intended for Tyreek Hill
43,2,13:36,2,10,MIA 49,0,10,Tua Tagovailoa pass incomplete deep middle intended for Jaylen Waddle
44,2,13:31,3,10,MIA 49,0,10,Tua Tagovailoa pass incomplete short left
45,2,13:26,4,10,MIA 49,0,10,"Thomas Morstead punts 51 yards, touchback."
46,2,13:18,1,10,HOU 20,0,10,Kyle Allen pass complete short middle to Dameon Pierce for 1 yard (tackle by Elandon Roberts)
47,2,12:36,2,9,HOU 21,0,10,Kyle Allen pass short right intended for Dameon Pierce is intercepted by Andrew Van Ginkel at HOU-26 and returned for 23 yards (tackle by Dameon Pierce)
48,2,12:27,1,3,HOU 3,0,16,"Jeff Wilson right tackle for 3 yards, touchdown"
49,2,12:22,0,0,HOU 15,0,17,Jason Sanders kicks extra point good
50,2,12:22,0,0,MIA 35,0,17,"Jason Sanders kicks off 65 yards, touchback."
