,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,SEA 35,0,0,"Jason Myers kicks off 65 yards, returned by Ameer Abdullah for 20 yards (tackle by Josh Jones)"
1,1,14:55,1,10,LVR 20,0,0,Derek Carr pass deep middle intended for Davante Adams is intercepted by Quandre Diggs at LV-36 and returned for 24 yards (tackle by Josh Jacobs)
2,1,14:45,1,10,LVR 12,0,0,Geno Smith pass incomplete short middle intended for D.K. Metcalf (defended by Trevon Moehrig)
3,1,14:39,2,10,LVR 12,0,6,"Kenneth Walker right end for 12 yards, touchdown"
4,1,14:32,0,0,LVR 15,0,7,Jason Myers kicks extra point good
5,1,14:32,0,0,SEA 35,0,7,"Jason Myers kicks off 65 yards, touchback."
6,1,14:32,1,10,LVR 25,0,7,Josh Jacobs up the middle for 3 yards (tackle by Al Woods and Cody Barton)
7,1,13:56,2,7,LVR 28,0,7,Derek Carr pass incomplete short right intended for Jakob Johnson (defended by Jordyn Brooks)
8,1,13:50,3,7,LVR 28,0,7,Derek Carr pass complete short right to Ameer Abdullah for 12 yards (tackle by Coby Bryant)
9,1,13:13,1,10,LVR 40,0,7,Josh Jacobs left tackle for no gain (tackle by Cody Barton)
10,1,12:33,2,10,LVR 40,0,7,Derek Carr pass complete short right to Foster Moreau for 11 yards (tackle by Jordyn Brooks)
11,1,11:57,1,10,SEA 49,0,7,Josh Jacobs right guard for 6 yards (tackle by Bryan Mone and Boye Mafe)
12,1,11:19,2,4,SEA 43,0,7,Josh Jacobs up the middle for no gain (tackle by Al Woods and Bruce Irvin)
13,1,10:35,3,4,SEA 43,0,7,Derek Carr pass complete deep left to Mack Hollins for 20 yards (tackle by Josh Jones)
14,1,10:19,1,10,SEA 23,0,7,Josh Jacobs right end for 5 yards (tackle by Uchenna Nwosu and Cody Barton)
15,1,9:37,2,5,SEA 18,0,7,Derek Carr pass incomplete deep right intended for Foster Moreau
16,1,9:30,3,5,SEA 18,6,7,"Derek Carr pass complete deep right to Ameer Abdullah for 18 yards, touchdown"
17,1,9:24,0,0,SEA 15,7,7,Daniel Carlson kicks extra point good
18,1,9:24,1,10,SEA 35,7,7,"Penalty on Ameer Abdullah: Unsportsmanlike Conduct / Offense, 15 yards (accepted) (no play)"
