,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,TAM 35,0,0,"Jake Camarda kicks off 56 yards, returned by Ray-Ray McCloud for 24 yards (tackle by Ko Kieft and Olakunle Fatukasi)"
1,1,14:56,1,10,SFO 33,0,0,"Brock Purdy sacked by Keanu Neal for no gain. Penalty on Keanu Neal: Roughing the Passer, 15 yards (accepted) (no play)"
2,1,14:37,1,10,SFO 48,0,0,Brock Purdy pass incomplete short left intended for Deebo Samuel
3,1,14:34,2,10,SFO 48,0,0,Brock Purdy pass complete short right to George Kittle for 3 yards (tackle by Dee Delaney)
4,1,13:55,3,7,TAM 49,0,0,Brock Purdy pass complete short middle to George Kittle for 15 yards (tackle by Logan Ryan)
5,1,13:15,1,10,TAM 34,0,0,Christian McCaffrey left guard for 21 yards (tackle by Logan Ryan)
6,1,12:33,1,10,TAM 13,0,6,"Deebo Samuel right end for 13 yards, touchdown"
7,1,12:26,0,0,TAM 15,0,7,Robbie Gould kicks extra point good
8,1,12:26,0,0,SFO 35,0,7,"Robbie Gould kicks off 65 yards, returned by Deven Thompkins for 23 yards (tackle by Ambry Thomas)"
9,1,12:21,1,10,TAM 23,0,7,Rachaad White right tackle for 9 yards (tackle by Tashaun Gipson)
10,1,11:46,2,1,TAM 32,0,7,Tom Brady pass complete short right to Leonard Fournette for 9 yards (tackle by Dre Greenlaw)
11,1,11:08,1,10,TAM 41,0,7,Tom Brady pass incomplete short left
12,1,11:04,2,10,TAM 41,0,7,Rachaad White up the middle for 6 yards (tackle by Dre Greenlaw and Fred Warner)
13,1,10:28,3,4,TAM 47,0,7,Tom Brady pass complete short right to Russell Gage for 4 yards (tackle by Deommodore Lenoir)
14,1,9:44,1,10,SFO 49,0,7,Tom Brady pass complete short middle to Ko Kieft for 11 yards (tackle by Dre Greenlaw and Azeez Al-Shaair)
15,1,9:03,1,10,SFO 38,0,7,Leonard Fournette up the middle for 1 yard (tackle by Fred Warner and Charles Omenihu)
16,1,8:26,2,9,SFO 37,0,7,Tom Brady pass incomplete short left intended for Julio Jones
17,1,8:22,3,9,SFO 37,0,7,Tom Brady pass incomplete right
18,1,8:14,4,9,SFO 37,0,7,Ryan Succop 55 yard field goal no good
19,1,8:09,1,10,SFO 45,0,7,Brock Purdy pass incomplete short left intended for George Kittle
20,1,8:04,2,10,SFO 45,0,7,Christian McCaffrey left guard for -1 yards (tackle by Lavonte David)
21,1,7:28,3,11,SFO 44,0,7,"Brock Purdy scrambles right end for no gain (tackle by Keanu Neal). Penalty on Trent Williams: Offensive Holding, 10 yards (accepted) (no play)"
22,1,6:56,3,21,SFO 34,0,7,"Brock Purdy pass complete short right to Deebo Samuel for 6 yards (tackle by Devin White). Penalty on Jauan Jennings: Offensive Holding, 10 yards (declined) "
23,1,6:38,4,15,SFO 40,0,7,"Mitch Wishnowsky punts 41 yards, returned by Deven Thompkins for 11 yards. Deven Thompkins fumbles (forced by Kyle Juszczyk)"
24,1,6:26,1,10,TAM 30,0,7,Leonard Fournette up the middle for 2 yards (tackle by Jimmie Ward)
25,1,5:44,2,8,TAM 32,0,7,"Tom Brady pass complete deep right to Mike Evans for no gain. Penalty on Donovan Smith: Offensive Holding, 10 yards (accepted) (no play)"
26,1,5:34,2,18,TAM 22,0,7,Tom Brady pass incomplete short left intended for Leonard Fournette
27,1,5:30,3,18,TAM 22,0,7,Leonard Fournette left tackle for 8 yards (tackle by Charles Omenihu and Dre Greenlaw)
28,1,4:54,4,10,TAM 30,0,7,"Jake Camarda punts 45 yards, returned by Ray-Ray McCloud for 13 yards (tackle by Ko Kieft)"
29,1,4:43,1,10,SFO 38,0,7,Brock Purdy pass complete short middle to George Kittle for 15 yards (tackle by Logan Ryan)
30,1,4:04,1,10,TAM 47,0,7,Deebo Samuel left tackle for 4 yards (tackle by Dee Delaney)
31,1,3:27,2,6,TAM 43,0,7,Christian McCaffrey left tackle for 13 yards (tackle by Keanu Neal)
32,1,2:48,1,10,TAM 30,0,7,Christian McCaffrey left end for 13 yards (tackle by Logan Ryan)
33,1,2:05,1,10,TAM 17,0,7,Brock Purdy pass complete right to Deebo Samuel for 9 yards (tackle by Keanu Neal)
