,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,PIT 35,0,0,"Chris Boswell kicks off 65 yards, touchback."
1,1,15:00,1,10,CAR 25,0,0,D'Onta Foreman left tackle for -1 yards (tackle by Larry Ogunjobi)
2,1,14:25,2,11,CAR 24,0,0,Chuba Hubbard up the middle for 3 yards (tackle by Terrell Edmunds)
3,1,13:46,3,8,CAR 27,0,0,Sam Darnold pass complete short left to Chuba Hubbard for 6 yards (tackle by Alex Highsmith and James Pierre)
4,1,13:05,4,2,CAR 33,0,0,"Johnny Hekker punts 39 yards, returned by Steven Sims for 5 yards (tackle by Raheem Blackshear)"
5,1,12:54,1,10,PIT 33,0,0,Najee Harris left guard for 3 yards (tackle by Derrick Brown)
6,1,12:17,2,7,PIT 36,0,0,Najee Harris right tackle for 1 yard (tackle by Shaq Thompson)
7,1,11:30,3,6,PIT 37,0,0,Mitchell Trubisky pass complete short left to Diontae Johnson for 8 yards (tackle by Jaycee Horn and Xavier Woods)
8,1,10:50,1,10,PIT 45,0,0,Jaylen Warren right tackle for 3 yards (tackle by Jeremy Chinn and Frankie Luvu)
9,1,10:10,2,7,PIT 48,0,0,Najee Harris left end for 10 yards (tackle by Keith Taylor)
10,1,9:28,1,10,CAR 42,0,0,Mitchell Trubisky pass complete short right to Gunner Olszewski for 3 yards (tackle by Jeremy Chinn)
11,1,8:47,2,7,CAR 39,0,0,Najee Harris left tackle for 8 yards (tackle by Myles Hartsfield and Jeremy Chinn)
12,1,8:09,1,10,CAR 31,0,0,Mitchell Trubisky pass complete short right to Diontae Johnson for 4 yards (tackle by Shaq Thompson)
13,1,7:30,2,6,CAR 27,0,0,Najee Harris up the middle for 5 yards (tackle by Jeremy Chinn and Shaq Thompson)
14,1,6:47,3,1,CAR 22,0,0,Mitchell Trubisky left guard for 4 yards (tackle by Frankie Luvu and Derrick Brown)
15,1,6:11,1,10,CAR 18,0,0,Mitchell Trubisky pass complete short right to Jaylen Warren for 11 yards (tackle by Keith Taylor)
16,1,5:53,1,7,CAR 7,6,0,"Najee Harris left end for 7 yards, touchdown"
17,1,5:48,0,0,CAR 15,7,0,Chris Boswell kicks extra point good
18,1,5:48,0,0,PIT 35,7,0,"Chris Boswell kicks off 63 yards, returned by Raheem Blackshear for 23 yards (tackle by James Pierre and Tre Norwood). Penalty on Sean Chandler: Defensive Holding, 10 yards (accepted) "
19,1,5:42,1,10,CAR 15,7,0,Sam Darnold pass complete short left to Terrace Marshall for 13 yards (tackle by Levi Wallace)
20,1,5:09,1,10,CAR 28,7,0,D'Onta Foreman left guard for -1 yards (tackle by Larry Ogunjobi)
21,1,4:25,2,11,CAR 27,7,0,D'Onta Foreman right tackle for no gain (tackle by Devin Bush)
22,1,3:43,3,11,CAR 27,7,0,Sam Darnold pass complete short left to D.J. Moore for 14 yards (tackle by Cameron Sutton)
23,1,3:02,1,10,CAR 41,7,0,Sam Darnold pass complete short middle to D.J. Moore for 15 yards (tackle by Robert Spillane)
24,1,2:24,1,10,PIT 44,7,0,D'Onta Foreman left guard for 2 yards (tackle by Devin Bush)
25,1,1:36,2,8,PIT 42,7,0,"Sam Darnold pass complete short right to Ian Thomas for 5 yards (tackle by Robert Spillane). Penalty on Bradley Bozeman: Ineligible Downfield Pass, 5 yards (accepted) (no play)"
26,1,1:16,2,13,PIT 47,7,0,Sam Darnold pass incomplete short right
