,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,NWE 35,0,0,"Tristan Vizcaino kicks off 61 yards, returned by Trayveon Williams for 18 yards (tackle by Pierre Strong)"
1,1,14:56,1,10,CIN 22,0,0,Joe Burrow pass complete short right to Mitchell Wilcox for 8 yards (tackle by Marcus Jones)
2,1,14:26,2,2,CIN 30,0,0,Joe Burrow pass complete deep right to Tee Higgins for 39 yards (tackle by Marcus Jones)
3,1,13:44,1,10,NWE 31,0,0,Joe Burrow pass complete short left to Joe Mixon for 17 yards (tackle by Jonathan Jones)
4,1,13:05,1,10,NWE 14,0,0,Joe Mixon up the middle for 5 yards (tackle by Davon Godchaux)
5,1,12:31,2,5,NWE 9,6,0,"Joe Burrow pass complete short right to Tee Higgins for 9 yards, touchdown"
6,1,12:24,0,0,NWE 15,6,0,Evan McPherson kicks extra point no good
7,1,12:24,0,0,CIN 35,6,0,"Evan McPherson kicks off 60 yards, returned by Marcus Jones for 21 yards (tackle by Daxton Hill)"
8,1,12:18,1,10,NWE 26,6,0,Rhamondre Stevenson left end for 2 yards (tackle by Trey Hendrickson)
9,1,11:59,2,8,NWE 28,6,0,Rhamondre Stevenson up the middle for 4 yards (tackle by B.J. Hill and Cameron Sample)
10,1,11:27,3,4,NWE 32,6,0,Mac Jones sacked by Logan Wilson for no gain
11,1,10:47,4,4,NWE 32,6,0,"Michael Palardy punts 45 yards, returned by Trent Taylor for 18 yards (tackle by Ja'Whaun Bentley)"
12,1,10:35,1,10,CIN 41,6,0,Joe Mixon up the middle for 5 yards (tackle by Lawrence Guy and Deatrich Wise)
13,1,10:00,2,5,CIN 46,6,0,Joe Burrow pass complete short middle to Joe Mixon for 6 yards (tackle by Ja'Whaun Bentley)
14,1,9:23,1,10,NWE 48,6,0,Joe Burrow pass complete short left to Samaje Perine for 5 yards (tackle by Jahlani Tavai)
15,1,8:42,2,5,NWE 43,6,0,Samaje Perine right guard for 2 yards (tackle by Deatrich Wise)
16,1,8:01,3,3,NWE 41,6,0,Joe Burrow scrambles left end for 5 yards (tackle by Kyle Dugger)
17,1,7:20,1,10,NWE 36,6,0,Joe Burrow pass complete short left to Joe Mixon for 3 yards (tackle by Ja'Whaun Bentley)
18,1,6:30,2,7,NWE 33,6,0,"Penalty on CIN: Delay of Game, 5 yards (accepted) (no play)"
19,1,6:24,2,12,NWE 38,6,0,Joe Burrow pass complete short left to Tee Higgins for 11 yards (tackle by Ja'Whaun Bentley)
20,1,5:44,3,1,NWE 27,6,0,Joe Mixon left tackle for 4 yards (tackle by Adrian Phillips and Kyle Dugger)
21,1,5:23,1,10,NWE 23,12,0,"Joe Burrow pass complete deep middle to Trenton Irwin for 23 yards, touchdown"
22,1,5:16,0,0,NWE 15,12,0,"Evan McPherson kicks extra point no good. Penalty on Daniel Ekuale: Unnecessary Roughness / Defense, 1 yard (accepted) (no play)"
23,1,5:16,0,0,NWE 1,12,0,"Two Point Attempt: Samaje Perine rushes, conversion fails."
24,1,5:16,0,0,CIN 35,12,0,"Evan McPherson kicks off 60 yards, returned by Marcus Jones for 25 yards (tackle by Joe Bachie and Samaje Perine)"
25,1,5:10,1,10,NWE 30,12,0,Rhamondre Stevenson left guard for 6 yards (tackle by Vonn Bell and B.J. Hill)
26,1,4:34,2,4,NWE 36,12,0,Rhamondre Stevenson up the middle for -2 yards (tackle by Jessie Bates)
27,1,4:03,3,6,NWE 34,12,0,Mac Jones pass incomplete short middle intended for Rhamondre Stevenson
28,1,3:49,4,6,NWE 34,12,0,"Michael Palardy aborted snap, recovered by Michael Palardy at NE-34 Michael Palardy punts 22 yards out of bounds. Penalty on Jahlani Tavai: Ineligible Downfield Kick, 5 yards (accepted) "
29,1,3:49,1,10,CIN 49,12,0,Joe Burrow pass complete short right to Devin Asiasi for 6 yards (tackle by Marcus Jones)
30,1,3:12,2,4,NWE 45,12,0,Joe Mixon up the middle for no gain (tackle by Jahlani Tavai)
31,1,2:23,3,4,NWE 45,12,0,"Joe Burrow pass complete deep left to Trenton Irwin for 18 yards (tackle by Devin McCourty). Penalty on Matt Judon: Roughing the Passer, 14 yards (accepted) "
32,1,2:04,1,10,NWE 13,12,0,"Joe Burrow pass incomplete short middle. Penalty on Cordell Volson: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)"
33,1,1:58,1,20,NWE 23,12,0,Samaje Perine up the middle for 3 yards (tackle by Ja'Whaun Bentley and Matt Judon)
34,1,1:21,2,17,NWE 20,12,0,Joe Burrow pass incomplete deep left intended for Ja'Marr Chase
35,1,1:16,3,17,NWE 20,12,0,Joe Burrow pass complete deep right to Ja'Marr Chase for 18 yards (tackle by Marcus Jones)
36,1,0:42,1,2,NWE 2,12,0,Joe Burrow pass incomplete short middle
37,1,0:35,2,2,NWE 2,12,0,"Joe Mixon left tackle for no gain, touchdown. Penalty on Devin Asiasi: Offensive Holding, 10 yards (accepted) (no play)"
38,1,0:30,2,12,NWE 12,12,0,Joe Burrow pass complete short right to Joe Mixon for 2 yards (tackle by Ja'Whaun Bentley)
39,2,15:00,3,10,NWE 10,12,0,Joe Burrow pass incomplete short left intended for Joe Mixon (defended by Ja'Whaun Bentley)
40,2,14:54,4,10,NWE 10,15,0,Evan McPherson 28 yard field goal good
41,2,14:51,0,0,CIN 35,15,0,"Evan McPherson kicks off 67 yards, returned by Pierre Strong for 20 yards (tackle by Trayveon Williams and Michael Thomas)"
42,2,14:45,1,10,NWE 18,15,0,Mac Jones pass complete short right to Jonnu Smith for 9 yards (tackle by Vonn Bell and Germaine Pratt)
43,2,13:59,2,1,NWE 27,15,0,Kevin Harris left guard for 3 yards (tackle by B.J. Hill)
44,2,13:21,1,10,NWE 30,15,0,Mac Jones pass incomplete short middle intended for Jakobi Meyers
45,2,13:15,2,10,NWE 30,15,0,Mac Jones pass complete short middle to Pierre Strong for 5 yards (tackle by Logan Wilson)
46,2,12:36,3,5,NWE 35,15,0,Mac Jones pass complete short middle to Jakobi Meyers for 4 yards (tackle by Mike Hilton)
47,2,11:56,4,1,NWE 39,15,0,"Michael Palardy punts 37 yards, fair catch by Trent Taylor at CIN-24"
48,2,11:50,1,10,CIN 24,15,0,Joe Burrow pass complete short middle to Mitchell Wilcox for 6 yards (tackle by Jahlani Tavai)
49,2,11:17,2,4,CIN 30,15,0,Joe Burrow pass complete short right to Ja'Marr Chase for 11 yards (tackle by Marcus Jones)
50,2,10:45,1,10,CIN 41,15,0,Joe Burrow pass incomplete deep left intended for Ja'Marr Chase
51,2,10:38,2,10,CIN 41,15,0,Joe Burrow sacked by Matt Judon for -3 yards
52,2,9:52,3,13,CIN 38,15,0,Joe Burrow pass complete short middle to Tee Higgins for 12 yards (tackle by Devin McCourty and Adrian Phillips)
53,2,9:05,4,1,CIN 50,15,0,Joe Burrow right tackle for 1 yard (tackle by Ja'Whaun Bentley)
54,2,8:28,1,10,NWE 49,15,0,"Joe Mixon up the middle for 4 yards (tackle by Matt Judon). Penalty on Carl Davis: Defensive Holding, 5 yards (accepted) "
55,2,8:01,1,10,NWE 40,15,0,Joe Burrow pass complete short right to Ja'Marr Chase for 12 yards (tackle by Marcus Jones)
56,2,7:18,1,10,NWE 28,15,0,Joe Burrow pass complete short right to Tee Higgins for 3 yards (tackle by Jabrill Peppers)
57,2,6:37,2,7,NWE 25,15,0,Joe Burrow pass complete short left to Tyler Boyd for 10 yards (tackle by Myles Bryant)
58,2,6:03,1,10,NWE 15,15,0,Joe Burrow sacked by Josh Uche for -3 yards
59,2,5:18,2,13,NWE 18,15,0,"Joe Burrow sacked by Matt Judon for no gain. Penalty on Josh Uche: Illegal Use of Hands / Defense, 4 yards (accepted) (no play)"
60,2,5:11,1,10,NWE 14,15,0,Samaje Perine right end for -4 yards (tackle by Marcus Jones and Davon Godchaux)
61,2,4:28,2,15,NWE 18,15,0,Joe Burrow pass short middle intended for Tyler Boyd is intercepted by Devin McCourty at NE-15 and returned for no gain (tackle by Samaje Perine)
62,2,4:19,1,10,NWE 15,15,0,Kendrick Bourne left end for 29 yards (tackle by Jessie Bates)
63,2,3:44,1,10,NWE 44,15,0,Mac Jones pass incomplete deep right intended for Kendrick Bourne
64,2,3:37,2,10,NWE 44,15,0,Mac Jones pass complete short right to Pierre Strong for 5 yards (tackle by Zachary Carter and Cameron Sample)
65,2,2:57,3,5,NWE 49,15,0,Mac Jones sacked by Cameron Sample for -5 yards
66,2,2:22,4,10,NWE 44,15,0,"Michael Palardy punts 36 yards, fair catch by Trent Taylor at CIN-20"
67,2,2:16,1,10,CIN 20,15,0,Joe Burrow pass complete short left to Ja'Marr Chase for 11 yards (tackle by Jonathan Jones)
68,2,2:00,1,10,CIN 31,15,0,Joe Burrow pass complete short right to Mitchell Wilcox for -1 yards (tackle by Marcus Jones)
69,2,1:42,2,11,CIN 30,15,0,Joe Burrow pass complete short middle to Samaje Perine for 10 yards (tackle by Ja'Whaun Bentley)
70,2,1:18,3,1,CIN 40,15,0,"Joe Burrow pass complete short middle to Mitchell Wilcox for 10 yards (tackle by Kyle Dugger and Myles Bryant). Penalty on Kyle Dugger: Face Mask (15 Yards), 15 yards (accepted) "
71,2,1:10,1,10,NWE 35,15,0,Joe Burrow pass complete short left to Tyler Boyd for 2 yards (tackle by Jonathan Jones)
72,2,1:04,2,8,NWE 33,15,0,Joe Burrow pass incomplete short left intended for Samaje Perine
73,2,1:00,3,8,NWE 33,15,0,Joe Burrow pass complete short middle to Tyler Boyd for 9 yards (tackle by Ja'Whaun Bentley)
74,2,0:42,1,10,NWE 24,15,0,Joe Burrow pass complete short left to Samaje Perine for 4 yards (tackle by Ja'Whaun Bentley)
75,2,0:35,2,6,NWE 20,15,0,Joe Burrow pass complete short right to Tee Higgins for 16 yards (tackle by Marcus Jones and Myles Bryant)
76,2,0:29,1,4,NWE 4,15,0,Joe Burrow pass incomplete short left intended for Tee Higgins
77,2,0:25,2,4,NWE 4,15,0,Joe Burrow pass incomplete short middle
78,2,0:19,3,4,NWE 4,21,0,"Joe Burrow pass complete short right to Trenton Irwin for 4 yards, touchdown"
79,2,0:14,0,0,NWE 15,22,0,Evan McPherson kicks extra point good
80,2,0:14,0,0,CIN 35,22,0,"Evan McPherson kicks off 66 yards, returned by Pierre Strong for 26 yards (tackle by Michael Thomas)"
81,2,0:08,1,10,NWE 25,22,0,Mac Jones pass complete short middle to Jakobi Meyers for 11 yards (tackle by Cameron Sample)
82,2,0:04,1,10,NWE 36,22,0,Mac Jones kneels for -1 yards
83,3,15:00,0,0,CIN 35,22,0,"Evan McPherson kicks off 60 yards, returned by Marcus Jones for 19 yards (tackle by Markus Bailey and Joe Bachie)"
84,3,14:55,1,10,NWE 24,22,0,Mac Jones pass complete short right to Rhamondre Stevenson for 4 yards. Rhamondre Stevenson fumbles (forced by Logan Wilson) (tackle by Logan Wilson)
85,3,14:12,2,6,NWE 28,22,0,"Mac Jones pass incomplete deep right intended for Nelson Agholor. Penalty on Cam Taylor-Britt: Defensive Pass Interference, 11 yards (accepted) (no play)"
86,3,14:12,1,10,NWE 39,22,0,Mac Jones pass incomplete deep right intended for Tyquan Thornton
87,3,14:06,2,10,NWE 39,22,0,Rhamondre Stevenson left end for no gain (tackle by Logan Wilson)
88,3,13:29,3,10,NWE 39,22,0,Mac Jones pass incomplete deep right intended for Kendrick Bourne (defended by Cam Taylor-Britt)
89,3,13:22,4,10,NWE 39,22,0,"Michael Palardy punts 52 yards, returned by Trent Taylor for 10 yards (tackle by Jabrill Peppers)"
90,3,13:10,1,10,CIN 19,22,0,Joe Mixon right end for 19 yards (tackle by Marcus Jones)
91,3,12:33,1,10,CIN 38,22,0,Joe Burrow pass complete short left to Ja'Marr Chase for 8 yards (tackle by Jonathan Jones and Jahlani Tavai)
92,3,11:58,2,2,CIN 46,22,0,Joe Mixon up the middle for 3 yards (tackle by Deatrich Wise)
93,3,11:23,1,10,CIN 49,22,0,Samaje Perine up the middle for 2 yards (tackle by Matt Judon)
94,3,10:49,2,8,NWE 49,22,0,Joe Burrow pass complete short middle to Tee Higgins for 7 yards (tackle by Jonathan Jones)
95,3,10:09,3,1,NWE 42,22,0,Joe Burrow up the middle for no gain (tackle by Jahlani Tavai and Anfernee Jennings)
96,3,9:22,4,1,NWE 42,22,0,"Penalty on CIN: Delay of Game, 6 yards (accepted) (no play)"
97,3,9:15,4,7,NWE 48,22,0,"Drue Chrisman punts 36 yards, fair catch by Marcus Jones at NE-12"
98,3,9:06,1,10,NWE 12,22,0,Mac Jones sacked by Josh Tupou for -10 yards
99,3,8:27,2,20,NWE 2,22,0,Mac Jones pass complete short right to Jakobi Meyers for 6 yards (tackle by Germaine Pratt)
100,3,7:46,3,14,NWE 8,22,0,Mac Jones pass complete short right to Jonnu Smith for 8 yards (tackle by Akeem Davis-Gaither)
101,3,7:11,4,6,NWE 16,22,0,"Michael Palardy punts 46 yards, returned by Trent Taylor for 7 yards (tackle by Matthew Slater)"
102,3,7:00,1,10,CIN 45,22,0,Joe Burrow pass complete short left to Devin Asiasi for -1 yards (tackle by Kyle Dugger)
103,3,6:24,2,11,CIN 44,22,0,Joe Burrow pass complete short right to Ja'Marr Chase for 15 yards (tackle by Marcus Jones)
104,3,5:50,1,10,NWE 41,22,0,Joe Burrow pass complete short right to Joe Mixon for 6 yards (tackle by Myles Bryant)
105,3,5:09,2,4,NWE 35,22,0,Joe Mixon up the middle for 3 yards (tackle by Matt Judon)
106,3,4:29,3,1,NWE 32,22,0,"Joe Burrow pass complete short right to Joe Mixon for no gain. Penalty on Max Scharping: Offensive Holding, 10 yards (accepted) (no play)"
107,3,4:05,3,11,NWE 42,22,6,"Joe Burrow pass short right intended for Ja'Marr Chase is intercepted by Marcus Jones at NE-31 and returned for 69 yards, touchdown"
108,3,3:51,0,0,CIN 15,22,6,Nick Folk kicks extra point no good
109,3,3:51,0,0,NWE 35,22,6,"Tristan Vizcaino kicks off 58 yards, returned by Trayveon Williams for 33 yards (tackle by Jonathan Jones)"
110,3,3:45,1,10,CIN 40,22,6,Joe Burrow pass complete short left to Mitchell Wilcox for 5 yards (tackle by Jabrill Peppers)
111,3,3:08,2,5,CIN 45,22,6,Joe Burrow pass incomplete short middle intended for Joe Mixon
112,3,3:05,3,5,CIN 45,22,6,Joe Burrow pass incomplete short middle
113,3,3:02,4,5,CIN 45,22,6,"Drue Chrisman punts 43 yards, returned by Marcus Jones for 11 yards (tackle by Cal Adomitis)"
114,3,2:51,1,10,NWE 23,22,6,Mac Jones pass complete short left to Jakobi Meyers for 3 yards (tackle by Mike Hilton)
115,3,2:25,2,7,NWE 26,22,6,Mac Jones pass complete short middle to Jakobi Meyers for 11 yards (tackle by Cam Taylor-Britt)
116,3,1:48,1,10,NWE 37,22,6,Mac Jones sacked by and Zachary Carter for -1 yards and Joseph Ossai for -1 yards
117,3,1:03,2,11,NWE 36,22,6,Mac Jones pass complete short right to Jonnu Smith for 4 yards (tackle by Logan Wilson)
118,3,0:15,3,7,NWE 40,22,6,Mac Jones pass complete deep right to Kendrick Bourne for 19 yards (tackle by Cam Taylor-Britt)
119,4,15:00,1,10,CIN 42,22,6,Mac Jones pass incomplete deep left intended for Kendrick Bourne (defended by Eli Apple)
120,4,14:53,2,10,CIN 42,22,6,Mac Jones pass incomplete short right intended for Jonnu Smith (defended by Germaine Pratt)
121,4,14:49,3,10,CIN 41,22,6,Mac Jones pass complete deep middle to Kendrick Bourne for 32 yards (tackle by Jessie Bates and Mike Hilton)
122,4,14:22,1,9,CIN 9,22,6,Rhamondre Stevenson left guard for 4 yards (tackle by Logan Wilson)
123,4,13:44,2,5,CIN 5,22,6,Rhamondre Stevenson up the middle for no gain (tackle by Cameron Sample and D.J. Reader)
124,4,13:08,3,5,CIN 5,22,12,"Mac Jones pass complete short right to Kendrick Bourne for 5 yards, touchdown"
125,4,12:58,0,0,CIN 2,22,12,Two Point Attempt: Mac Jones pass incomplete intended for intended for Jakobi Meyers
126,4,12:58,0,0,NWE 35,22,12,"Tristan Vizcaino kicks off 62 yards, returned by Trayveon Williams for 24 yards (tackle by Jahlani Tavai)"
127,4,12:52,1,10,CIN 27,22,12,Joe Burrow pass complete deep right to Tee Higgins for 31 yards (tackle by Marcus Jones)
128,4,12:09,1,10,NWE 42,22,12,Joe Mixon right tackle for 3 yards (tackle by Carl Davis and Ja'Whaun Bentley)
129,4,11:30,2,7,NWE 39,22,12,Joe Mixon left tackle for 5 yards (tackle by Raekwon McMillan)
130,4,11:02,3,2,NWE 34,22,12,Joe Mixon left guard for 3 yards (tackle by Adrian Phillips and Daniel Ekuale)
131,4,10:20,1,10,NWE 31,22,12,Joe Burrow pass complete short left to Joe Mixon for 4 yards (tackle by Jonathan Jones)
132,4,9:48,2,6,NWE 27,22,12,Joe Mixon up the middle for 2 yards (tackle by Christian Barmore and Ja'Whaun Bentley)
133,4,9:14,3,4,NWE 25,22,12,Joe Burrow pass incomplete deep middle intended for Trenton Irwin
134,4,9:10,4,4,NWE 25,22,12,Evan McPherson 43 yard field goal no good
135,4,9:06,1,10,NWE 33,22,12,Mac Jones pass complete short middle to Tyquan Thornton for 8 yards (tackle by Vonn Bell and Logan Wilson)
136,4,8:23,2,2,NWE 41,22,12,Mac Jones pass complete short middle to Kendrick Bourne for 1 yard (tackle by Logan Wilson)
137,4,7:51,3,1,NWE 42,22,12,Rhamondre Stevenson up the middle for 1 yard (tackle by Jessie Bates and Logan Wilson)
