,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,CIN 35,0,0,"Evan McPherson kicks off 66 yards, returned by Justice Hill for 30 yards (tackle by Tre Flowers)"
1,1,14:54,1,10,BAL 29,0,0,Gus Edwards left tackle for 11 yards (tackle by Jessie Bates)
2,1,14:14,1,10,BAL 40,0,0,Gus Edwards right guard for no gain (tackle by D.J. Reader and Vonn Bell)
3,1,13:37,2,10,BAL 40,0,0,Anthony Brown pass incomplete short right intended for Demarcus Robinson
4,1,13:31,3,10,BAL 40,0,0,Anthony Brown pass complete short right to Isaiah Likely for 5 yards (tackle by Daxton Hill and Cam Taylor-Britt)
5,1,12:56,4,5,BAL 45,0,0,"Jordan Stout punts 34 yards, fair catch by Trent Taylor at CIN-21"
6,1,12:50,1,10,CIN 21,0,0,Joe Burrow pass complete short middle to Joe Mixon for 2 yards (tackle by Roquan Smith)
7,1,12:14,2,8,CIN 23,0,0,Joe Burrow pass complete short left to Tee Higgins for 7 yards (tackle by Marlon Humphrey)
8,1,11:35,3,1,CIN 30,0,0,Joe Mixon left guard for 3 yards (tackle by Chuck Clark and Roquan Smith)
9,1,10:59,1,10,CIN 33,0,0,Joe Mixon right guard for 2 yards (tackle by Kyle Hamilton)
10,1,10:26,2,8,CIN 35,0,0,Joe Burrow scrambles right end for 6 yards (tackle by Brent Urban)
11,1,9:37,3,2,CIN 41,0,0,Joe Burrow pass complete short left to Hayden Hurst for 3 yards (tackle by Marcus Williams)
12,1,9:02,1,10,CIN 44,0,0,Joe Mixon left guard for 3 yards (tackle by Roquan Smith)
13,1,8:20,2,7,CIN 47,0,0,Joe Burrow pass complete short middle to Joe Mixon for 2 yards (tackle by Roquan Smith)
14,1,7:42,3,5,CIN 49,0,0,Joe Burrow pass complete short right to Hayden Hurst for 6 yards (tackle by Daryl Worley)
15,1,6:58,1,10,BAL 45,0,0,Joe Burrow pass incomplete deep middle intended for Ja'Marr Chase (defended by Daryl Worley)
16,1,6:48,2,10,BAL 45,0,0,Joe Burrow pass complete short middle to Trenton Irwin for 12 yards (tackle by Daryl Worley and Marcus Williams)
17,1,6:07,1,10,BAL 33,0,0,Joe Burrow pass incomplete short left intended for Tee Higgins
18,1,6:02,2,10,BAL 33,0,0,Joe Burrow pass complete short left to Ja'Marr Chase for 17 yards (tackle by Marcus Williams)
19,1,5:23,1,10,BAL 16,0,0,Joe Burrow pass incomplete short right intended for Hayden Hurst
20,1,5:17,2,10,BAL 16,0,0,Joe Burrow pass incomplete deep left
21,1,5:09,3,10,BAL 16,0,0,Joe Burrow pass incomplete short right intended for Trenton Irwin
22,1,5:05,4,10,BAL 16,0,3,Evan McPherson 34 yard field goal good
23,1,5:01,0,0,CIN 35,0,3,"Evan McPherson kicks off 65 yards, touchback."
24,1,5:01,1,10,BAL 25,0,3,Anthony Brown pass deep middle intended for Isaiah Likely is intercepted by Jessie Bates at CIN-48 and returned for 4 yards (tackle by Isaiah Likely)
25,1,4:49,1,10,BAL 48,0,3,Joe Burrow pass incomplete deep right intended for Tyler Boyd
26,1,4:45,2,10,BAL 48,0,3,Joe Burrow pass incomplete short left intended for Tee Higgins
27,1,4:41,3,10,BAL 48,0,3,Joe Burrow pass complete deep middle to Tyler Boyd for 22 yards (tackle by Marcus Williams)
28,1,3:59,1,10,BAL 26,0,3,Joe Mixon right tackle for 8 yards (tackle by Patrick Queen and Chuck Clark)
29,1,3:19,2,2,BAL 18,0,3,Joe Burrow pass complete short left to Hayden Hurst for 7 yards (tackle by Marcus Williams)
30,1,2:46,1,10,BAL 11,0,3,Joe Burrow pass complete short right to Ja'Marr Chase for -2 yards (tackle by Daryl Worley)
31,1,2:08,2,12,BAL 13,0,3,Joe Burrow pass complete short middle to Tyler Boyd for 12 yards (tackle by Kyle Hamilton)
32,1,1:18,1,1,BAL 1,0,9,"Joe Mixon left guard for 1 yard, touchdown"
33,1,1:11,0,0,BAL 15,0,10,Evan McPherson kicks extra point good
34,1,1:11,0,0,CIN 35,0,10,"Evan McPherson kicks off 65 yards, touchback."
35,1,1:11,1,10,BAL 25,0,10,Gus Edwards left end for 5 yards (tackle by Eli Apple)
36,1,0:43,2,5,BAL 30,0,10,Gus Edwards left tackle for no gain (tackle by Cameron Sample)
37,2,15:00,3,5,BAL 30,0,10,Anthony Brown pass short middle intended for Demarcus Robinson is intercepted by Mike Hilton at BAL-37 and returned for 5 yards (tackle by Demarcus Robinson)
38,2,14:55,1,10,BAL 32,0,10,Samaje Perine right tackle for 6 yards (tackle by Roquan Smith)
39,2,14:22,2,4,BAL 26,0,10,Joe Burrow pass incomplete deep left intended for Tee Higgins
40,2,14:17,3,4,BAL 26,0,16,"Joe Burrow pass complete deep left to Ja'Marr Chase for 26 yards, touchdown"
41,2,14:12,0,0,BAL 15,0,17,Evan McPherson kicks extra point good
42,2,14:12,0,0,CIN 35,0,17,"Evan McPherson kicks off 62 yards, returned by Justice Hill for 21 yards (tackle by Markus Bailey)"
43,2,14:06,1,10,BAL 24,0,17,Anthony Brown pass complete short left to Kenyan Drake for 9 yards (tackle by D.J. Reader and Logan Wilson)
44,2,13:25,2,1,BAL 33,0,17,Kenyan Drake right tackle for 18 yards (tackle by Cam Taylor-Britt)
45,2,12:45,1,10,CIN 49,0,17,Kenyan Drake up the middle for 6 yards (tackle by Cam Taylor-Britt and Joseph Ossai)
46,2,12:01,2,4,CIN 43,0,17,Justice Hill right end for 6 yards (tackle by Cam Taylor-Britt)
47,2,11:23,1,10,CIN 37,0,17,"Kenyan Drake left end for no gain (tackle by Sam Hubbard). Penalty on Tyler Linderbaum: Offensive Holding, 10 yards (accepted) (no play)"
48,2,11:02,1,20,CIN 47,0,17,Anthony Brown pass complete short right to Isaiah Likely for 7 yards (tackle by Logan Wilson and Germaine Pratt)
49,2,10:19,2,13,CIN 40,0,17,Justice Hill right end for no gain (tackle by Germaine Pratt and Joseph Ossai)
50,2,9:39,3,13,CIN 40,0,17,Anthony Brown pass complete short middle to Isaiah Likely for 12 yards (tackle by Logan Wilson)
51,2,9:01,4,1,CIN 28,0,17,Kenyan Drake left guard for -1 yards (tackle by Cam Taylor-Britt)
52,2,8:52,1,10,CIN 29,0,17,Joe Burrow up the middle for 4 yards (tackle by Travis Jones and Broderick Washington)
53,2,8:12,2,6,CIN 33,0,17,Joe Burrow pass complete short right to Tyler Boyd for 8 yards (tackle by Roquan Smith and Daryl Worley)
54,2,7:50,1,10,CIN 41,0,17,Joe Burrow pass complete short right to Joe Mixon for 2 yards (tackle by Travis Jones and Roquan Smith)
55,2,7:07,2,8,CIN 43,0,17,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Jason Pierre-Paul)
56,2,7:03,3,8,CIN 43,0,17,Joe Burrow pass complete short left to Ja'Marr Chase for -2 yards (tackle by Roquan Smith)
57,2,6:16,4,10,CIN 41,0,17,"Drue Chrisman punts 43 yards, returned by James Proche for 8 yards (tackle by Clay Johnston)"
58,2,6:05,1,10,BAL 24,0,17,Kenyan Drake right guard for 2 yards (tackle by Cameron Sample)
59,2,5:42,2,8,BAL 26,0,17,"Anthony Brown pass complete short left to Isaiah Likely for no gain (tackle by Akeem Davis-Gaither). Penalty on Josh Oliver: Illegal Shift, 5 yards (accepted) (no play)"
60,2,5:15,2,13,BAL 21,0,17,Anthony Brown pass incomplete short right intended for Demarcus Robinson
