,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,BUF 35,0,0,"Tyler Bass kicks off 65 yards, touchback."
1,1,15:00,1,10,LVR 25,0,0,Josh Jacobs up the middle for -4 yards (tackle by Ed Oliver)
2,1,14:24,2,14,LVR 21,0,0,Jimmy Garoppolo pass complete short left to Josh Jacobs for 12 yards (tackle by Micah Hyde and Taron Johnson)
3,1,13:37,3,2,LVR 33,0,0,Jimmy Garoppolo pass complete short right to Davante Adams for 17 yards (tackle by Taron Johnson)
4,1,13:03,1,10,BUF 50,0,0,Tre Tucker left end for 34 yards (tackle by Tre'Davious White and Micah Hyde)
5,1,12:22,1,10,BUF 16,6,0,"Jimmy Garoppolo pass complete short left to Davante Adams for 16 yards, touchdown"
6,1,12:16,0,0,BUF 15,7,0,Daniel Carlson kicks extra point good
7,1,12:16,0,0,LVR 35,7,0,"Daniel Carlson kicks off 65 yards, touchback."
8,1,12:16,1,10,BUF 25,7,0,James Cook up the middle for 2 yards (tackle by Divine Deablo and Robert Spillane)
9,1,11:44,2,8,BUF 27,7,0,James Cook right guard for 3 yards (tackle by Maxx Crosby and John Jenkins)
10,1,11:05,3,5,BUF 30,7,0,Josh Allen sacked by Robert Spillane for no gain
11,1,10:30,4,5,BUF 30,7,0,Sam Martin punts 54 yards out of bounds
12,1,10:22,1,10,LVR 16,7,0,Josh Jacobs left guard for no gain (tackle by Terrel Bernard and Leonard Floyd)
13,1,9:40,2,10,LVR 16,7,0,Jimmy Garoppolo pass complete short middle to Josh Jacobs for 12 yards (tackle by Taron Johnson and Terrel Bernard)
14,1,9:03,1,10,LVR 28,7,0,Josh Jacobs up the middle for 2 yards (tackle by Ed Oliver and Matt Milano)
15,1,8:22,2,8,LVR 30,7,0,Jimmy Garoppolo pass short middle (defended by Gregory Rousseau) intended for Ameer Abdullah is intercepted by Terrel Bernard at LV-28 and returned for no gain (tackle by Ameer Abdullah)
16,1,8:17,1,10,LVR 28,7,0,Josh Allen pass complete short left to Stefon Diggs for 5 yards (tackle by Jakorian Bennett)
17,1,7:40,2,5,LVR 23,7,0,Latavius Murray left end for 8 yards (tackle by Robert Spillane and Jakorian Bennett)
