,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,CHI 35,0,0,"Cairo Santos kicks off 65 yards, touchback."
1,1,15:00,1,10,TAM 25,0,0,Rachaad White up the middle for 2 yards (tackle by T.J. Edwards and Justin Jones)
2,1,14:36,2,8,TAM 27,0,0,Baker Mayfield pass incomplete short middle intended for Mike Evans (defended by Jaquan Brisker)
3,1,14:31,3,8,TAM 27,0,0,Baker Mayfield pass complete short right to Chris Godwin for 16 yards (tackle by Tyrique Stevenson)
4,1,14:03,1,10,TAM 43,0,0,Deven Thompkins left end for 11 yards (tackle by T.J. Edwards)
5,1,13:18,1,10,CHI 46,0,0,Baker Mayfield pass complete short left to Rachaad White for 3 yards (tackle by Dominique Robinson and Tyrique Stevenson)
6,1,12:34,2,7,CHI 43,0,0,Rachaad White left guard for 6 yards (tackle by T.J. Edwards and Jaquan Brisker)
7,1,11:57,3,1,CHI 37,0,0,"Rachaad White for no gain (tackle by Gervon Dexter and Tremaine Edmunds). Penalty on Cody Mauch: Offensive Holding, 10 yards (accepted) (no play)"
8,1,11:37,3,11,CHI 47,0,0,Baker Mayfield pass complete deep left to Mike Evans for 20 yards (tackle by Jaquan Brisker)
9,1,10:52,1,10,CHI 27,0,0,Chase Edmonds up the middle for 14 yards (tackle by Tremaine Edmunds)
10,1,10:29,1,10,CHI 13,0,0,Chase Edmonds left guard for -2 yards (tackle by Justin Jones)
11,1,9:54,2,12,CHI 15,0,0,Baker Mayfield pass incomplete short left intended for Chris Godwin
12,1,9:48,3,12,CHI 15,0,0,Baker Mayfield pass complete short right to Chris Godwin for 7 yards (tackle by Greg Stroman)
13,1,9:06,4,5,CHI 8,0,3,Chase McLaughlin 26 yard field goal good
14,1,9:03,0,0,TAM 35,0,3,"Jake Camarda kicks off 65 yards, touchback."
15,1,9:03,1,10,CHI 25,0,3,Justin Fields pass complete deep left to D.J. Moore for 33 yards (tackle by Ryan Neal)
16,1,8:27,1,10,TAM 42,0,3,Justin Fields pass incomplete short right intended for Robert Tonyan
17,1,8:22,2,10,TAM 42,0,3,Justin Fields left end for 5 yards (tackle by Joe Tryon-Shoyinka)
18,1,7:37,3,5,TAM 37,0,3,Justin Fields pass complete short left to D.J. Moore for 31 yards (tackle by Antoine Winfield)
19,1,6:58,1,6,TAM 6,0,3,Khalil Herbert up the middle for 5 yards (tackle by Ryan Neal)
20,1,6:23,2,1,TAM 1,6,3,"Justin Fields right end for 1 yard, touchdown"
21,1,6:17,0,0,TAM 15,7,3,Cairo Santos kicks extra point good
22,1,6:17,0,0,CHI 35,7,3,"Cairo Santos kicks off 65 yards, touchback."
23,1,6:17,1,10,TAM 25,7,3,Rachaad White left tackle for 7 yards (tackle by Gervon Dexter)
24,1,5:36,2,3,TAM 32,7,3,Rachaad White up the middle for 2 yards (tackle by Tremaine Edmunds and Zacch Pickens)
25,1,4:57,3,1,TAM 34,7,3,Rachaad White up the middle for 5 yards (tackle by Gervon Dexter)
26,1,4:21,1,10,TAM 39,7,3,Sean Tucker left tackle for no gain (tackle by T.J. Edwards and Jack Sanborn)
27,1,3:40,2,10,TAM 39,7,3,Baker Mayfield pass complete deep middle to Chris Godwin for 24 yards (tackle by Elijah Hicks and Jaylon Johnson)
28,1,3:03,1,10,CHI 37,7,3,Sean Tucker for 2 yards (tackle by T.J. Edwards and Tremaine Edmunds)
29,1,2:24,2,8,CHI 35,7,3,Baker Mayfield pass complete short right to Cade Otton for 9 yards (tackle by Tremaine Edmunds)
30,1,1:42,1,10,CHI 26,7,3,Baker Mayfield scrambles right end for 8 yards (tackle by Quindell Johnson)
31,1,1:03,2,2,CHI 18,7,3,Baker Mayfield scrambles up the middle for 1 yard (tackle by Gervon Dexter)
32,1,0:19,3,1,CHI 17,7,3,"Penalty on Tristan Wirfs: False Start, 5 yards (accepted) (no play)"
33,2,15:00,3,6,CHI 22,7,3,Baker Mayfield pass incomplete deep right intended for Trey Palmer
34,2,14:56,4,6,CHI 22,7,3,Chase McLaughlin 40 yard field goal no good blocked by Rasheem Green
35,2,14:49,1,10,CHI 50,7,3,Justin Fields sacked by Shaquil Barrett for no gain
36,2,14:10,2,10,CHI 50,7,3,Velus Jones left end for -3 yards (tackle by Ryan Neal)
37,2,13:36,3,13,CHI 47,7,3,"Justin Fields sacked by Joe Tryon-Shoyinka for -11 yards. Penalty on Braxton Jones: Offensive Holding, 10 yards (declined) "
38,2,13:30,4,24,CHI 36,7,3,"Trenton Gill punts 47 yards, returned by Deven Thompkins for 6 yards. Deven Thompkins fumbles, ball out of bounds at TB-23 (forced by Noah Sewell). Deven Thompkins fumbles out of bounds. Penalty on K.J. Britt: Defensive Offside, 5 yards (declined) "
39,2,13:15,1,10,TAM 23,7,3,Baker Mayfield pass complete deep left to Mike Evans for 70 yards (tackle by Jaylon Johnson)
40,2,12:22,1,7,CHI 7,7,3,Rachaad White left tackle for 1 yard (tackle by Yannick Ngakoue)
41,2,11:44,2,6,CHI 6,7,3,Baker Mayfield pass complete short left to Rachaad White for 2 yards (tackle by Tyrique Stevenson and T.J. Edwards)
42,2,10:58,3,4,CHI 4,7,9,"Rachaad White left guard for 4 yards, touchdown"
43,2,10:53,0,0,CHI 15,7,10,Chase McLaughlin kicks extra point good
44,2,10:53,0,0,TAM 35,7,10,"Jake Camarda kicks off 65 yards, touchback."
