,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,GNB 35,0,0,"Anders Carlson kicks off 65 yards, touchback."
1,1,15:00,1,10,NOR 25,0,0,Tony Jones right guard for no gain (tackle by Tedarrell Slaton and Kenny Clark)
2,1,14:31,2,9,NOR 25,0,0,Derek Carr pass incomplete short right intended for Michael Thomas
3,1,14:29,3,9,NOR 25,0,0,Derek Carr sacked by Kenny Clark for -9 yards
4,1,13:50,4,19,NOR 16,0,0,"Lou Hedley punts 38 yards, returned by Jayden Reed for 2 yards (tackle by Nephi Sewell and J.T. Gray)"
5,1,13:41,1,10,GNB 48,0,0,"AJ Dillon left tackle for no gain (tackle by Alontae Taylor and Demario Davis). Penalty on Jon Runyan: Offensive Holding, 10 yards (accepted) (no play)"
6,1,13:21,1,20,GNB 38,0,0,"Penalty on Royce Newman: False Start, 5 yards (accepted) (no play)"
7,1,13:09,1,25,GNB 33,0,0,Jordan Love pass complete short right to Luke Musgrave for 10 yards (tackle by Isaac Yiadom and Pete Werner)
8,1,12:23,2,15,GNB 43,0,0,Jordan Love scrambles left end for 8 yards (tackle by Marshon Lattimore)
9,1,11:37,3,7,NOR 49,0,0,Jordan Love pass complete short right to Romeo Doubs for 5 yards (tackle by Isaac Yiadom and Tyrann Mathieu)
10,1,10:56,4,2,NOR 44,0,0,"Emanuel Wilson aborted snap, recovered by Jordan Love at NO-44 Jordan Love pass incomplete short left intended for Dontayvion Wicks"
11,1,10:44,1,10,NOR 44,0,0,"Kendre Miller right end for 1 yard (tackle by Kenny Clark). Penalty on Kenny Clark: Unnecessary Roughness / Defense, 15 yards (accepted) "
12,1,10:25,1,10,GNB 40,0,0,Kendre Miller right guard for 1 yard (tackle by Darnell Savage and Quay Walker)
13,1,9:55,2,9,GNB 39,0,0,Derek Carr pass complete short left to Chris Olave for 12 yards (tackle by Rudy Ford and Justin Hollins)
14,1,9:22,1,10,GNB 27,0,0,Taysom Hill right tackle for -1 yards (tackle by Kingsley Enagbare)
15,1,8:48,2,11,GNB 28,0,0,Kendre Miller up the middle for 5 yards (tackle by Quay Walker)
16,1,8:08,3,6,GNB 23,0,0,Derek Carr pass complete short left to Tony Jones for 10 yards (tackle by Rasul Douglas)
17,1,7:26,1,10,GNB 13,0,0,Taysom Hill up the middle for 5 yards (tackle by De'Vondre Campbell and Quay Walker)
18,1,6:52,2,5,GNB 8,0,0,Derek Carr pass incomplete short left intended for Keith Kirkwood
19,1,6:44,3,5,GNB 8,6,0,"Derek Carr pass complete short middle to Jimmy Graham for 8 yards, touchdown"
20,1,6:40,0,0,GNB 15,7,0,Blake Grupe kicks extra point good
21,1,6:40,0,0,NOR 35,7,0,"Blake Grupe kicks off 65 yards, touchback."
22,1,6:40,1,10,GNB 25,7,0,Jordan Love pass complete short right to Romeo Doubs for 13 yards (tackle by Marshon Lattimore)
23,1,6:03,1,10,GNB 38,7,0,Jordan Love pass incomplete short right
24,1,5:56,2,10,GNB 38,7,0,Jordan Love pass incomplete deep middle intended for Luke Musgrave
25,1,5:51,3,10,GNB 38,7,0,AJ Dillon left end for 14 yards (tackle by Pete Werner and Lonnie Johnson)
26,1,5:10,1,10,NOR 48,7,0,AJ Dillon left tackle for 7 yards (tackle by Tyrann Mathieu and Pete Werner)
27,1,4:30,2,3,NOR 41,7,0,AJ Dillon up the middle for -2 yards (tackle by Malcolm Roach)
28,1,3:50,3,5,NOR 43,7,0,"Penalty on Zach Tom: False Start, 5 yards (accepted) (no play)"
29,1,3:28,3,10,NOR 48,7,0,Jordan Love pass incomplete short left intended for Romeo Doubs (defended by Bryan Bresee)
30,1,3:19,4,10,NOR 48,7,0,"Daniel Whelan punts 38 yards, fair catch by Rashid Shaheed at NO-10"
31,1,3:12,1,10,NOR 10,7,0,Kendre Miller left guard for no gain (tackle by Kingsley Enagbare)
32,1,2:40,2,10,NOR 10,7,0,Derek Carr pass complete short left to Juwan Johnson for 7 yards (tackle by Isaiah McDuffie)
33,1,2:05,3,3,NOR 17,7,0,Derek Carr pass complete short left to Chris Olave for 4 yards (tackle by Eric Wilson)
34,1,1:31,1,10,NOR 21,7,0,Derek Carr pass complete short middle to Tony Jones for 4 yards (tackle by Isaiah McDuffie)
35,1,0:54,2,6,NOR 25,7,0,"Kendre Miller right tackle for no gain (tackle by Isaiah McDuffie). Penalty on James Hurst: Offensive Holding, 10 yards (accepted) (no play)"
36,1,0:23,2,16,NOR 15,7,0,Derek Carr pass complete short right to Tony Jones for 7 yards (tackle by Darnell Savage)
37,2,15:00,3,9,NOR 22,7,0,Derek Carr sacked by Rashan Gary for -5 yards
38,2,14:29,4,14,NOR 17,7,0,"Lou Hedley punts 49 yards, returned by Jayden Reed for 2 yards (tackle by Nephi Sewell). Penalty on Jonathan Owens: Offensive Holding, 10 yards (accepted) "
39,2,14:18,1,10,GNB 26,7,0,Emanuel Wilson left end for 4 yards (tackle by Carl Granderson)
40,2,13:42,2,6,GNB 30,7,0,Emanuel Wilson left tackle for 2 yards (tackle by Carl Granderson and Demario Davis)
41,2,12:56,3,4,GNB 32,7,0,Jordan Love pass complete short left to Luke Musgrave for 9 yards (tackle by Tyrann Mathieu and Marshon Lattimore)
42,2,12:13,1,10,GNB 41,7,0,Jordan Love scrambles right end for 5 yards (tackle by Demario Davis)
43,2,11:32,2,5,GNB 46,7,0,"Emanuel Wilson left end for no gain (tackle by Demario Davis). Penalty on Jayden Reed: Offensive Holding, 10 yards (accepted) (no play)"
44,2,10:59,2,15,GNB 36,7,0,Jordan Love pass incomplete short left intended for Malik Heath (defended by Alontae Taylor)
45,2,10:54,3,15,GNB 36,7,0,Jordan Love pass incomplete deep left intended for Samori Toure (defended by Marshon Lattimore)
46,2,10:47,4,15,GNB 36,13,0,"Daniel Whelan punts 40 yards, returned by Rashid Shaheed for 76 yards, touchdown"
47,2,10:30,0,0,GNB 15,14,0,Blake Grupe kicks extra point good
48,2,10:30,0,0,NOR 35,14,0,"Blake Grupe kicks off 71 yards, returned by Keisean Nixon for 24 yards (tackle by Isaac Yiadom)"
49,2,10:25,1,10,GNB 18,14,0,Jordan Love pass complete short left to Luke Musgrave for 8 yards (tackle by Pete Werner)
50,2,9:34,2,2,GNB 26,14,0,Jordan Love pass complete short left to Dontayvion Wicks for 18 yards (tackle by Alontae Taylor)
51,2,9:09,1,10,GNB 44,14,0,Keisean Nixon right end for 11 yards (tackle by Jordan Howden and Marshon Lattimore)
52,2,8:13,1,10,NOR 45,14,0,Jordan Love pass incomplete deep middle intended for Samori Toure (defended by Tyrann Mathieu)
53,2,8:05,2,10,NOR 45,14,0,"Jordan Love pass complete short left to Jayden Reed for no gain (tackle by Alontae Taylor). Penalty on Bryan Bresee: Defensive Holding, 5 yards (accepted) (no play)"
54,2,7:42,1,10,NOR 40,14,0,AJ Dillon left tackle for 5 yards (tackle by Demario Davis and Carl Granderson)
55,2,6:56,2,6,NOR 35,14,0,Jordan Love pass incomplete short right intended for Romeo Doubs (defended by Alontae Taylor)
56,2,6:51,3,5,NOR 35,14,0,"Patrick Taylor left guard for no gain (tackle by Tanoh Kpassagnon). Penalty on Rasheed Walker: Illegal Shift, 5 yards (accepted) (no play)"
57,2,6:23,3,10,NOR 40,14,0,Jordan Love pass complete short left to Dontayvion Wicks for 11 yards
58,2,5:49,1,10,NOR 29,14,0,AJ Dillon up the middle for 2 yards (tackle by Khalen Saunders and Nathan Shepherd)
59,2,5:05,2,8,NOR 27,14,0,Jordan Love pass incomplete deep right intended for Romeo Doubs (defended by Alontae Taylor)
60,2,4:59,3,8,NOR 27,14,0,Jordan Love sacked by Alontae Taylor for -14 yards
61,2,4:35,4,22,NOR 41,14,0,"Daniel Whelan punts 30 yards, fair catch by Rashid Shaheed at NO-11"
62,2,4:30,1,10,NOR 11,14,0,Tony Jones left end for 19 yards (tackle by Rudy Ford)
63,2,3:56,1,10,NOR 30,14,0,Derek Carr pass incomplete deep right intended for Rashid Shaheed (defended by Rudy Ford)
64,2,3:43,2,10,NOR 30,14,0,Kendre Miller right end for 10 yards (tackle by Kingsley Enagbare)
65,2,3:02,1,10,NOR 40,14,0,Derek Carr pass complete short left to Taysom Hill for 9 yards (tackle by Quay Walker)
66,2,2:33,2,1,NOR 49,14,0,Kendre Miller right end for 6 yards (tackle by Darnell Savage)
67,2,2:00,1,10,GNB 45,14,0,Kendre Miller left end for 1 yard (tackle by Lukas Van Ness)
68,2,1:55,2,9,GNB 44,14,0,Derek Carr pass complete short middle to Chris Olave for 8 yards (tackle by Keisean Nixon)
69,2,1:21,3,1,GNB 36,14,0,Derek Carr pass complete short right to Tony Jones for no gain (tackle by Rudy Ford)
70,2,1:15,4,1,GNB 36,14,0,Tony Jones right end for 2 yards (tackle by Isaiah McDuffie)
71,2,0:37,1,10,GNB 34,14,0,Derek Carr pass complete deep right to Chris Olave for 27 yards
72,2,0:31,1,7,GNB 7,14,0,Derek Carr pass incomplete short right intended for Michael Thomas (defended by Karl Brooks)
73,2,0:26,2,7,GNB 7,14,0,Tony Jones left end for no gain (tackle by Darnell Savage and Quay Walker)
74,2,0:14,3,7,GNB 7,14,0,Derek Carr pass incomplete short right intended for Chris Olave (defended by Keisean Nixon)
75,2,0:10,4,7,GNB 7,17,0,Blake Grupe 25 yard field goal good
76,2,0:06,0,0,NOR 35,17,0,"Blake Grupe kicks off 65 yards, touchback."
77,2,0:06,1,10,GNB 25,17,0,Jordan Love kneels for -1 yards
78,3,15:00,0,0,NOR 35,17,0,"Blake Grupe kicks off 65 yards, touchback."
79,3,15:00,1,10,GNB 25,17,0,AJ Dillon right end for -6 yards (tackle by Alontae Taylor)
80,3,14:18,2,16,GNB 19,17,0,Jordan Love pass complete short right to Luke Musgrave for 7 yards (tackle by Pete Werner)
81,3,13:47,3,9,GNB 26,17,0,"Penalty on Luke Musgrave: False Start, 5 yards (accepted) (no play)"
82,3,13:39,3,14,GNB 21,17,0,Jordan Love pass deep right intended for Romeo Doubs is intercepted by Lonnie Johnson at NO-38 and returned for no gain (tackle by Romeo Doubs)
83,3,13:17,1,10,NOR 38,17,0,Tony Jones right end for 4 yards (tackle by Quay Walker)
84,3,12:40,2,6,NOR 42,17,0,Derek Carr pass complete short left to Chris Olave for 7 yards (tackle by Corey Ballentine)
85,3,12:04,1,10,NOR 49,17,0,Tony Jones up the middle for 1 yard (tackle by Kenny Clark)
86,3,11:30,2,9,GNB 50,17,0,Derek Carr pass complete short left to Kendre Miller for no gain (tackle by Rasul Douglas)
87,3,10:54,3,9,GNB 50,17,0,Derek Carr sacked by Rashan Gary for -7 yards
88,3,10:29,4,16,NOR 43,17,0,Lou Hedley punts 47 yards out of bounds
89,3,10:17,1,10,GNB 10,17,0,"Jordan Love pass complete short left to Jayden Reed for no gain (tackle by Marshon Lattimore). Penalty on Samori Toure: Offensive Pass Interference, 5 yards (accepted) (no play)"
90,3,9:57,1,15,GNB 5,17,0,Jordan Love pass complete short right to Emanuel Wilson for 6 yards (tackle by Pete Werner and Isaac Yiadom)
91,3,9:13,2,9,GNB 11,17,0,Jordan Love pass incomplete short middle intended for Romeo Doubs (defended by Alontae Taylor)
92,3,9:03,3,9,GNB 11,17,0,Jordan Love pass incomplete short right intended for Dontayvion Wicks (defended by Isaac Yiadom)
93,3,8:59,4,9,GNB 11,17,0,"Daniel Whelan punts 45 yards, fair catch by Rashid Shaheed at NO-44"
94,3,8:52,1,10,NOR 44,17,0,Jameis Winston pass complete short right to Juwan Johnson for 5 yards (tackle by Corey Ballentine)
95,3,8:23,2,5,NOR 49,17,0,Tony Jones left guard for 4 yards (tackle by Kingsley Enagbare and Quay Walker)
96,3,7:47,3,1,GNB 47,17,0,Kendre Miller left guard for 6 yards (tackle by Isaiah McDuffie and Justin Hollins)
97,3,7:16,1,10,GNB 41,17,0,Jameis Winston pass incomplete short right intended for Michael Thomas (defended by Rasul Douglas)
98,3,7:13,2,10,GNB 41,17,0,Kendre Miller up the middle for 4 yards (tackle by Devonte Wyatt)
99,3,6:29,3,6,GNB 37,17,0,Jameis Winston pass incomplete short right intended for Juwan Johnson
100,3,6:26,4,6,GNB 37,17,0,"Penalty on NOR: Delay of Game, 5 yards (accepted) (no play)"
101,3,6:26,4,11,GNB 42,17,0,Lou Hedley punts 37 yards downed by J.T. Gray
102,3,6:15,1,10,GNB 5,17,0,AJ Dillon up the middle for no gain (tackle by Carl Granderson)
103,3,5:34,2,10,GNB 5,17,0,AJ Dillon right tackle for 4 yards (tackle by Isaiah Foskey)
104,3,5:02,3,6,GNB 9,17,0,Jordan Love pass complete short left to Luke Musgrave for 12 yards (tackle by Jordan Howden)
105,3,4:23,1,10,GNB 21,17,0,Jordan Love scrambles right end for 5 yards (tackle by Isaiah Foskey)
106,3,3:45,2,5,GNB 26,17,0,Patrick Taylor right end for 1 yard (tackle by Bryan Bresee)
107,3,3:19,3,4,GNB 27,17,0,Jordan Love pass complete short right to Patrick Taylor for 12 yards (tackle by Pete Werner and Jordan Howden)
108,3,2:40,1,10,GNB 39,17,0,Jordan Love pass complete short left to Patrick Taylor for 10 yards (tackle by Marshon Lattimore)
109,3,1:56,1,10,GNB 49,17,0,"Jordan Love pass complete deep left to Romeo Doubs for 30 yards. Penalty on Tyrann Mathieu: Illegal Contact, 5 yards (declined) "
110,3,1:33,1,10,NOR 21,17,0,Jordan Love pass complete short middle to Patrick Taylor for 1 yard (tackle by Isaiah Foskey)
111,3,0:54,2,9,NOR 20,17,0,Patrick Taylor right end for 4 yards (tackle by Khalen Saunders and Isaiah Foskey)
112,3,0:12,3,5,NOR 16,17,0,Jordan Love pass complete short left to Luke Musgrave for 3 yards (tackle by Jordan Howden and Marshon Lattimore)
113,4,15:00,4,2,NOR 13,17,0,Jordan Love pass incomplete short right intended for Patrick Taylor
114,4,14:58,1,10,NOR 13,17,0,Tony Jones right end for 1 yard (tackle by Tedarrell Slaton and Isaiah McDuffie)
115,4,14:22,2,9,NOR 14,17,0,Rashid Shaheed right end for no gain (tackle by Rudy Ford)
116,4,13:41,3,9,NOR 14,17,0,Jameis Winston pass complete short left to Michael Thomas for 7 yards (tackle by Keisean Nixon)
117,4,12:59,4,2,NOR 21,17,0,"Lou Hedley punts 35 yards out of bounds. Penalty on Rasul Douglas: Offensive Holding, 10 yards (accepted) "
118,4,12:50,1,10,GNB 34,17,0,AJ Dillon right tackle for 4 yards (tackle by Bryan Bresee)
119,4,12:30,2,6,GNB 38,17,0,Jordan Love pass complete short left to Jayden Reed for 22 yards (tackle by Marshon Lattimore)
120,4,11:59,1,10,NOR 40,17,0,Jordan Love pass complete deep middle to Romeo Doubs for 17 yards (tackle by Pete Werner)
121,4,11:32,1,10,NOR 23,17,0,AJ Dillon right tackle for 3 yards (tackle by Pete Werner)
122,4,11:15,2,7,NOR 20,17,0,Jordan Love pass incomplete deep left intended for Jayden Reed (defended by Alontae Taylor)
123,4,11:08,3,7,NOR 20,17,0,Jordan Love pass incomplete deep right intended for Malik Heath (defended by Isaac Yiadom)
124,4,11:04,4,7,NOR 20,17,3,Anders Carlson 38 yard field goal good
125,4,11:00,0,0,GNB 35,17,3,"Anders Carlson kicks off 63 yards, returned by Rashid Shaheed for 17 yards (tackle by Josiah Deguara)"
126,4,10:56,1,10,NOR 19,17,3,Jameis Winston pass complete short middle to Michael Thomas for 14 yards (tackle by Rudy Ford)
127,4,10:18,1,10,NOR 33,17,3,"Taysom Hill up the middle for 6 yards (tackle by Rudy Ford). Penalty on Michael Thomas: Offensive Holding, 10 yards (accepted) "
128,4,10:07,1,14,NOR 29,17,3,Jameis Winston sacked by Rashan Gary for -8 yards
129,4,9:27,2,22,NOR 21,17,3,Jameis Winston pass complete short right to Michael Thomas for 18 yards (tackle by Rudy Ford)
130,4,8:43,3,4,NOR 39,17,3,"Jameis Winston pass incomplete deep right intended for Chris Olave (defended by Corey Ballentine). Penalty on Trevor Penning: Offensive Holding, 10 yards (declined) "
131,4,8:38,4,4,NOR 39,17,3,Lou Hedley punts 41 yards downed by J.T. Gray
132,4,8:27,1,10,GNB 20,17,3,"Jordan Love pass incomplete deep right intended for Dontayvion Wicks. Penalty on Alontae Taylor: Defensive Pass Interference, 45 yards (accepted) (no play)"
133,4,8:20,1,10,NOR 35,17,3,"Jordan Love pass incomplete deep right intended for Romeo Doubs. Penalty on Isaac Yiadom: Defensive Pass Interference, 22 yards (accepted) (no play)"
134,4,8:16,1,10,NOR 13,17,3,Jordan Love pass incomplete short right intended for Romeo Doubs (defended by Isaac Yiadom)
135,4,8:13,2,10,NOR 13,17,3,Jordan Love pass incomplete short middle intended for Luke Musgrave
136,4,8:08,3,10,NOR 13,17,3,Jordan Love pass complete short middle to Jayden Reed for 11 yards (tackle by Pete Werner)
137,4,7:46,1,2,NOR 2,17,3,Jordan Love pass incomplete short left intended for Jayden Reed
138,4,7:41,2,2,NOR 2,17,3,Jordan Love pass incomplete short left intended for Jayden Reed
139,4,7:37,3,2,NOR 2,17,3,Patrick Taylor up the middle for 1 yard (tackle by Isaac Yiadom and Khalen Saunders)
140,4,7:03,4,1,NOR 1,17,9,"Jordan Love right end for 1 yard, touchdown"
141,4,6:58,0,0,NOR 2,17,11,Two Point Attempt: Jordan Love pass complete to to Samori Toure for no gain
142,4,6:58,0,0,GNB 35,17,11,"Anders Carlson kicks off 63 yards, returned by Rashid Shaheed for 15 yards (tackle by Darnell Savage)"
143,4,6:55,1,10,NOR 17,17,11,Jameis Winston pass complete short right to Michael Thomas for 4 yards (tackle by Darnell Savage)
