,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,LAR 35,0,0,"Ethan Evans kicks off 65 yards, touchback."
1,1,15:00,1,10,ARI 25,0,0,Keaontay Ingram right tackle for no gain (tackle by Kobie Turner and Aaron Donald)
2,1,14:21,2,10,ARI 25,0,0,Joshua Dobbs pass complete short middle to Marquise Brown for no gain (tackle by Christian Rozeboom)
3,1,13:42,3,10,ARI 25,0,0,Joshua Dobbs scrambles right end for 24 yards (tackle by Ernest Jones)
4,1,13:01,1,10,ARI 49,0,0,Keaontay Ingram right tackle for 12 yards (tackle by Ahkello Witherspoon)
5,1,12:23,1,10,LAR 39,0,0,Joshua Dobbs pass incomplete deep right
6,1,12:17,2,10,LAR 39,0,0,Joshua Dobbs pass complete short right to Keaontay Ingram for 2 yards (tackle by Ahkello Witherspoon)
7,1,11:35,3,8,LAR 37,0,0,Joshua Dobbs pass incomplete deep right intended for Marquise Brown (defended by Ahkello Witherspoon)
8,1,11:30,4,8,LAR 37,3,0,Matt Prater 55 yard field goal good
9,1,11:25,0,0,ARI 35,3,0,"Matt Prater kicks off 65 yards, touchback."
10,1,11:25,1,10,LAR 25,3,0,Kyren Williams left tackle for 5 yards (tackle by Josh Woods and Andre Chachere)
11,1,10:44,2,5,LAR 30,3,0,Matthew Stafford pass complete short right to Cooper Kupp for 15 yards (tackle by Kei'Trel Clark)
12,1,10:06,1,10,LAR 45,3,0,Matthew Stafford pass incomplete short right
13,1,10:01,2,10,LAR 45,3,0,Matthew Stafford pass incomplete short left intended for Cooper Kupp
14,1,9:58,3,10,LAR 45,3,0,Matthew Stafford pass complete short left to Puka Nacua for 5 yards (tackle by Antonio Hamilton)
15,1,9:16,4,5,LAR 50,3,0,"Ethan Evans punts 43 yards, fair catch by Greg Dortch at ARI-7"
16,1,9:09,1,10,ARI 7,3,0,Damien Williams up the middle for 4 yards (tackle by Zach VanValkenburg and Kobie Turner)
17,1,8:33,2,7,ARI 11,3,0,Damien Williams up the middle for 2 yards (tackle by Ernest Jones and Michael Hoecht)
18,1,7:48,3,4,ARI 13,3,0,Joshua Dobbs pass complete deep right to Michael Wilson for 17 yards (tackle by Cobie Durant)
19,1,7:19,1,10,ARI 30,3,0,Emari Demercado right tackle for 5 yards (tackle by Aaron Donald and Cobie Durant)
20,1,6:42,2,5,ARI 35,3,0,Joshua Dobbs pass complete short right to Rondale Moore for 7 yards (tackle by Jordan Fuller)
21,1,6:03,1,10,ARI 42,3,0,Damien Williams up the middle for -1 yards (tackle by Aaron Donald)
22,1,5:25,2,11,ARI 41,3,0,Damien Williams right tackle for 2 yards (tackle by Kobie Turner)
23,1,4:45,3,9,ARI 43,3,0,Joshua Dobbs pass complete short left to Rondale Moore for 9 yards (tackle by Jordan Fuller)
24,1,4:05,1,10,LAR 48,3,0,Joshua Dobbs pass incomplete short middle intended for Trey McBride (defended by Cobie Durant)
25,1,4:00,2,10,LAR 48,3,0,Damien Williams right tackle for 8 yards (tackle by Christian Rozeboom)
26,1,3:19,3,2,LAR 40,3,0,Joshua Dobbs sacked by Jonah Williams for -13 yards
27,1,2:20,4,15,ARI 47,3,0,"Blake Gillikin punts 41 yards, returned by Austin Trammell for 29 yards (tackle by Blake Gillikin)"
28,1,2:07,1,10,LAR 41,3,0,Matthew Stafford pass complete short right to Puka Nacua for 6 yards (tackle by Kei'Trel Clark)
29,1,1:27,2,4,LAR 47,3,0,Matthew Stafford pass complete short left to Cooper Kupp for 37 yards (tackle by Marco Wilson)
30,1,0:37,1,10,ARI 16,3,0,"Matthew Stafford pass incomplete intended for Puka Nacua. Penalty on Marco Wilson: Defensive Holding, 5 yards (accepted) (no play)"
31,1,0:30,1,10,ARI 11,3,0,Matthew Stafford pass incomplete short middle intended for Puka Nacua
32,1,0:26,2,10,ARI 11,3,0,Matthew Stafford pass incomplete short middle intended for Cooper Kupp
33,1,0:19,3,10,ARI 11,3,0,Matthew Stafford pass incomplete short right intended for Puka Nacua
34,1,0:15,4,10,ARI 11,3,3,Brett Maher 29 yard field goal good
35,1,0:11,0,0,LAR 35,3,3,"Ethan Evans kicks off 65 yards, touchback."
36,1,0:11,1,10,ARI 25,3,3,Joshua Dobbs pass complete short right to Trey McBride for 16 yards (tackle by Jordan Fuller)
37,2,15:00,1,10,ARI 41,3,3,Joshua Dobbs pass complete short right to Rondale Moore for 5 yards (tackle by Michael Hoecht)
38,2,14:22,2,5,ARI 46,3,3,Joshua Dobbs right end for -6 yards (tackle by Aaron Donald)
39,2,13:41,3,11,ARI 40,3,3,Joshua Dobbs pass incomplete short middle intended for Zach Ertz
40,2,13:38,4,11,ARI 40,3,3,"Blake Gillikin punts 45 yards, returned by Austin Trammell for 1 yard. Austin Trammell fumbles (forced by Joey Blount) (tackle by Bobby Price), recovered by Bobby Price at LA-17"
41,2,13:27,1,10,LAR 17,3,3,Joshua Dobbs pass incomplete deep right intended for Marquise Brown
42,2,13:23,2,10,LAR 17,3,3,Joshua Dobbs pass incomplete deep right intended for Marquise Brown
43,2,13:20,3,10,LAR 17,3,3,Joshua Dobbs pass complete short middle to Marquise Brown for 3 yards (tackle by Russ Yeast)
44,2,12:38,4,7,LAR 14,6,3,Matt Prater 32 yard field goal good
45,2,12:35,0,0,ARI 35,6,3,"Matt Prater kicks off 64 yards,"
46,2,12:35,1,10,LAR 25,6,3,Matthew Stafford pass complete short right to Ronnie Rivers for 4 yards (tackle by Antonio Hamilton)
