,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,NOR 35,0,0,"Blake Grupe kicks off 65 yards, touchback."
1,1,15:00,1,10,JAX 25,0,0,Travis Etienne left tackle for no gain (tackle by Demario Davis)
2,1,14:26,2,10,JAX 25,0,0,Trevor Lawrence pass complete short left to Evan Engram for 21 yards (tackle by Marshon Lattimore and Marcus Maye)
3,1,13:45,1,10,JAX 46,0,0,Trevor Lawrence pass complete short right to Travis Etienne for 15 yards (tackle by Demario Davis)
4,1,13:07,1,10,NOR 39,0,0,Travis Etienne right tackle for 4 yards (tackle by Malcolm Roach)
5,1,12:29,2,6,NOR 35,0,0,Trevor Lawrence scrambles up the middle for 9 yards (tackle by Alontae Taylor)
6,1,11:51,1,10,NOR 26,0,0,Trevor Lawrence pass incomplete short left intended for Evan Engram
7,1,11:47,2,10,NOR 26,0,0,Trevor Lawrence pass complete short left to Evan Engram for 3 yards (tackle by Carl Granderson)
8,1,11:07,3,7,NOR 23,0,0,Trevor Lawrence pass complete short right to Christian Kirk for 7 yards (tackle by Ugo Amadi and Marcus Maye)
9,1,10:30,1,10,NOR 16,0,0,Trevor Lawrence pass complete short middle to Jamal Agnew for 14 yards (tackle by Paulson Adebo)
10,1,9:48,1,2,NOR 2,6,0,"Travis Etienne left guard for 2 yards, touchdown"
11,1,9:44,0,0,NOR 15,7,0,Brandon McManus kicks extra point good
12,1,9:44,0,0,JAX 35,7,0,"Brandon McManus kicks off 65 yards, touchback."
13,1,9:44,1,10,NOR 25,7,0,Derek Carr pass incomplete short middle intended for Alvin Kamara
14,1,9:40,2,10,NOR 25,7,0,Alvin Kamara left guard for 6 yards (tackle by Rayshawn Jenkins and Roy Robertson-Harris)
15,1,9:08,3,4,NOR 31,7,0,Derek Carr pass complete short middle to Alvin Kamara for 5 yards (tackle by Tre Herndon)
16,1,8:33,1,10,NOR 36,7,0,Taysom Hill left end for 6 yards (tackle by Rayshawn Jenkins)
17,1,8:02,2,4,NOR 42,7,0,Derek Carr scrambles right end for 10 yards (tackle by Angelo Blackson)
18,1,7:20,1,10,JAX 48,7,0,Alvin Kamara right end for -1 yards (tackle by Angelo Blackson)
19,1,6:47,2,11,JAX 49,7,0,Derek Carr pass complete short left to Chris Olave for 14 yards (tackle by Montaric Brown)
20,1,6:12,1,10,JAX 35,7,0,Alvin Kamara right tackle for 3 yards (tackle by Roy Robertson-Harris)
21,1,5:34,2,7,JAX 32,7,0,Derek Carr pass incomplete short right intended for Chris Olave (defended by Foyesade Oluokun)
22,1,5:26,3,7,JAX 32,7,0,Derek Carr pass incomplete short right intended for Chris Olave (defended by Tre Herndon)
23,1,5:21,4,7,JAX 32,7,0,Blake Grupe 51 yard field goal no good
24,1,5:16,1,10,JAX 41,7,0,"Trevor Lawrence pass complete deep left to Christian Kirk for 19 yards. Christian Kirk fumbles (forced by Paulson Adebo), recovered by Carl Granderson at NO-41 (tackle by Paulson Adebo)"
25,1,5:02,1,10,NOR 41,7,0,Alvin Kamara right end for 1 yard (tackle by Jeremiah Ledbetter and Travon Walker)
26,1,4:16,2,9,NOR 42,7,0,Derek Carr pass complete short middle to Chris Olave for 3 yards (tackle by Devin Lloyd)
27,1,3:51,3,6,NOR 45,7,0,Derek Carr pass incomplete deep middle intended for Rashid Shaheed
28,1,3:44,4,6,NOR 45,7,0,"Lou Hedley punts 40 yards, recovered by Lonnie Johnson at JAC-17"
29,1,3:36,1,10,JAX 17,7,0,Jamaal Williams left guard for 4 yards (tackle by Devin Lloyd and Rayshawn Jenkins)
30,1,3:02,2,6,JAX 13,7,0,Derek Carr pass complete short left to Alvin Kamara for 7 yards (tackle by Devin Lloyd and Montaric Brown)
