,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,ATL 35,0,0,"Bradley Pinion kicks off 65 yards, touchback."
1,1,15:00,1,10,TEN 25,0,0,Derrick Henry left guard for 3 yards (tackle by Kaden Elliss and Bud Dupree)
2,1,14:25,2,7,TEN 28,0,0,Derrick Henry up the middle for 6 yards (tackle by Jessie Bates and Jeff Okudah)
3,1,13:45,3,1,TEN 34,0,0,Will Levis up the middle for 3 yards (tackle by David Onyemata)
4,1,13:07,1,10,TEN 37,0,0,"Malik Willis aborted snap, recovered by Calais Campbell at TEN-28"
5,1,13:02,1,10,TEN 28,0,0,"Desmond Ridder pass complete short right to Bijan Robinson for no gain (tackle by Eric Garror). Penalty on Van Jefferson: Illegal Shift, 5 yards (accepted) (no play)"
6,1,12:52,1,15,TEN 33,0,0,Bijan Robinson left tackle for 5 yards (tackle by Azeez Al-Shaair)
7,1,12:20,2,10,TEN 28,0,0,Desmond Ridder scrambles up the middle for 4 yards (tackle by Jack Gibbens)
8,1,11:49,3,6,TEN 24,0,0,Desmond Ridder pass complete short right to Drake London for 12 yards (tackle by Amani Hooker)
9,1,11:12,1,10,TEN 12,0,0,Tyler Allgeier left guard for 5 yards (tackle by Elijah Molden and Kristian Fulton)
10,1,10:37,2,5,TEN 7,0,0,Jonnu Smith pass incomplete short right intended for MyCole Pruitt
11,1,10:31,3,5,TEN 7,0,0,Desmond Ridder sacked by Harold Landry for -3 yards
12,1,9:51,4,8,TEN 10,3,0,Younghoe Koo 29 yard field goal good
13,1,9:47,0,0,ATL 35,3,0,"Bradley Pinion kicks off 65 yards, touchback."
14,1,9:47,1,10,TEN 25,3,0,Will Levis pass complete short right to Tyjae Spears for 1 yard (tackle by DeAundre Alford and Nathan Landman)
15,1,9:12,2,9,TEN 26,3,0,Will Levis pass complete short right to Tyjae Spears for 5 yards (tackle by Lorenzo Carter)
16,1,8:31,3,4,TEN 31,3,0,Will Levis pass complete short middle to Chigoziem Okonkwo for 3 yards (tackle by Kaden Elliss)
17,1,7:46,4,1,TEN 34,3,0,Amani Hooker up the middle for 2 yards (tackle by DeAngelo Malone and Richie Grant)
18,1,7:09,1,10,TEN 36,3,0,Will Levis pass incomplete deep right intended for Treylon Burks (defended by Richie Grant)
19,1,7:02,2,10,TEN 36,3,0,Tyjae Spears right guard for 2 yards (tackle by Calais Campbell)
20,1,6:24,3,8,TEN 38,3,0,Will Levis pass complete short left to Kyle Philips for 6 yards
21,1,5:52,4,2,TEN 44,3,0,Ryan Stonehouse punts 41 yards out of bounds
22,1,5:46,1,10,ATL 15,3,0,Bijan Robinson right end for 6 yards (tackle by Jack Gibbens and Sean Murphy-Bunting)
23,1,5:12,2,4,ATL 21,3,0,Desmond Ridder sacked by Jeffery Simmons for -10 yards
24,1,4:35,3,14,ATL 11,3,0,Desmond Ridder pass incomplete deep middle intended for Kyle Pitts
25,1,4:30,4,14,ATL 11,3,0,"Bradley Pinion punts 55 yards, returned by Eric Garror for 15 yards (tackle by Richie Grant). Penalty on Monty Rice: Offensive Holding, 10 yards (accepted) "
26,1,4:20,1,10,TEN 39,3,0,Derrick Henry right end for 7 yards (tackle by Lorenzo Carter)
27,1,3:43,2,3,TEN 46,3,0,Derrick Henry left guard for 2 yards (tackle by Lorenzo Carter)
28,1,3:10,3,1,TEN 48,3,0,Will Levis pass complete short right to Derrick Henry for 5 yards (tackle by Arnold Ebiketie)
29,1,2:37,1,10,ATL 47,3,6,"Will Levis pass complete deep left to DeAndre Hopkins for 47 yards, touchdown"
30,1,2:28,0,0,ATL 15,3,7,Nick Folk kicks extra point good
31,1,2:28,0,0,TEN 35,3,7,"Nick Folk kicks off 70 yards, returned by Cordarrelle Patterson for 29 yards (tackle by K'Von Wallace)"
32,1,2:23,1,10,ATL 24,3,7,Desmond Ridder pass complete short right to Drake London for 12 yards (tackle by Amani Hooker)
33,1,1:56,1,10,ATL 36,3,7,Tyler Allgeier left end for 1 yard (tackle by Kyle Peko and Kristian Fulton)
34,1,1:16,2,9,ATL 37,3,7,Desmond Ridder pass complete short right to MyCole Pruitt for 3 yards (tackle by Eric Garror)
35,1,0:45,3,6,ATL 40,3,7,Desmond Ridder pass complete short left to Drake London for 5 yards (tackle by Kristian Fulton and Azeez Al-Shaair)
36,2,15:00,4,1,ATL 45,3,7,"Bradley Pinion punts 42 yards, fair catch by Eric Garror at TEN-13"
37,2,14:53,1,10,TEN 13,3,7,Derrick Henry left end for 2 yards (tackle by Kaden Elliss)
38,2,14:27,2,8,TEN 15,3,7,Will Levis pass complete short right to Chigoziem Okonkwo for 12 yards (tackle by DeAundre Alford)
39,2,13:42,1,10,TEN 27,3,7,Will Levis sacked by Bud Dupree for -2 yards
40,2,13:00,2,12,TEN 25,3,7,Will Levis pass incomplete short right intended for Tyjae Spears (defended by AJ Terrell)
41,2,12:55,3,12,TEN 25,3,7,Will Levis pass complete short left to Kyle Philips for 10 yards (tackle by DeAundre Alford)
42,2,12:17,4,2,TEN 35,3,7,"Ryan Stonehouse punts 64 yards, returned by Mike Hughes for 6 yards (tackle by Kevin Rader and Joseph Jones)"
43,2,12:04,1,10,ATL 7,3,7,Bijan Robinson right end for 2 yards (tackle by Jeffery Simmons)
44,2,11:30,2,8,ATL 9,3,7,Desmond Ridder pass incomplete short left intended for Bijan Robinson (defended by Denico Autry)
45,2,11:25,3,8,ATL 9,3,7,Desmond Ridder pass incomplete short right intended for Bijan Robinson
46,2,11:23,4,8,ATL 9,3,7,"Bradley Pinion punts 60 yards, returned by Eric Garror for 1 yard (tackle by Mack Hollins)"
47,2,11:13,1,10,TEN 32,3,7,Derrick Henry left end for 7 yards (tackle by Jeff Okudah)
48,2,10:35,2,3,TEN 39,3,7,Will Levis pass incomplete deep left intended for DeAndre Hopkins
49,2,10:29,3,3,TEN 39,3,7,Will Levis pass incomplete deep left intended for Treylon Burks
50,2,10:23,4,3,TEN 39,3,7,"Ryan Stonehouse punts 54 yards, fair catch by Mike Hughes at ATL-7"
51,2,10:16,1,10,ATL 7,3,7,Tyler Allgeier left guard for 9 yards (tackle by Kristian Fulton and Azeez Al-Shaair)
52,2,9:52,2,1,ATL 16,3,7,Tyler Allgeier right tackle for -2 yards (tackle by Azeez Al-Shaair and Arden Key)
53,2,9:31,3,3,ATL 14,3,7,Desmond Ridder pass complete short middle to Kyle Pitts for 10 yards (tackle by Eric Garror)
54,2,9:08,1,10,ATL 24,3,7,Desmond Ridder pass complete short middle to Kyle Pitts for 11 yards (tackle by Elijah Molden)
55,2,8:49,1,10,ATL 35,3,7,Desmond Ridder pass complete short left to Drake London for 5 yards (tackle by Eric Garror)
56,2,8:27,2,5,ATL 40,3,7,"Desmond Ridder sacked by Jeffery Simmons for -4 yards. Desmond Ridder fumbles (forced by Jeffery Simmons), recovered by Azeez Al-Shaair at ATL-33 (tackle by Jeffery Simmons)"
57,2,8:17,1,10,ATL 33,3,7,Will Levis pass complete short right to Derrick Henry for 8 yards (tackle by Richie Grant)
58,2,7:38,2,2,ATL 25,3,7,Derrick Henry up the middle for 1 yard (tackle by Ta'Quon Graham and Jessie Bates)
59,2,6:55,3,1,ATL 24,3,7,Chigoziem Okonkwo up the middle for 4 yards (tackle by Jessie Bates)
60,2,6:18,1,10,ATL 20,3,7,Malik Willis up the middle for 4 yards (tackle by Kaden Elliss and Richie Grant)
61,2,5:32,2,6,ATL 16,3,13,"Will Levis pass complete short middle to DeAndre Hopkins for 16 yards, touchdown"
62,2,5:27,0,0,ATL 15,3,14,Nick Folk kicks extra point good
63,2,5:27,0,0,TEN 35,3,14,"Nick Folk kicks off 62 yards, returned by Keith Smith for 10 yards (tackle by Terrell Edmunds and Matthew Jackson)"
64,2,5:22,1,10,ATL 13,3,14,Desmond Ridder left end for 23 yards (tackle by Amani Hooker)
65,2,4:51,1,10,ATL 36,3,14,"Penalty on Chris Lindstrom: False Start, 5 yards (accepted) (no play)"
66,2,4:37,1,15,ATL 31,3,14,Desmond Ridder pass incomplete deep left intended for Drake London (defended by Kristian Fulton)
67,2,4:33,2,15,ATL 31,3,14,Desmond Ridder sacked by Jack Gibbens for -9 yards
68,2,4:08,3,24,ATL 22,3,14,Desmond Ridder pass complete short middle to Jonnu Smith for 13 yards (tackle by Terrell Edmunds and Elijah Molden)
69,2,3:26,4,11,ATL 35,3,14,"Bradley Pinion punts 52 yards, returned by Eric Garror for 9 yards (tackle by John FitzPatrick)"
