,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback."
1,1,15:00,1,10,WAS 25,0,0,Sam Howell pass complete short middle to Curtis Samuel for 7 yards (tackle by Sydney Brown)
2,1,14:26,2,3,WAS 32,0,0,Sam Howell pass complete short left to Jahan Dotson for 2 yards (tackle by Nakobe Dean)
3,1,13:49,3,1,WAS 34,0,0,Brian Robinson up the middle for 2 yards (tackle by Kevin Byard and Nakobe Dean)
4,1,13:09,1,10,WAS 36,0,0,Sam Howell pass complete short left to Brian Robinson for 9 yards (tackle by Marlon Tuipulotu)
5,1,12:28,2,1,WAS 45,0,0,Brian Robinson up the middle for -1 yards (tackle by Sydney Brown)
6,1,11:53,3,2,WAS 44,0,0,"Sam Howell pass incomplete short right intended for Curtis Samuel. Penalty on Eli Ricks: Defensive Pass Interference, 4 yards (accepted) (no play)"
7,1,11:46,1,10,WAS 48,0,0,Sam Howell pass complete short right to Terry McLaurin for 5 yards (tackle by Darius Slay and Kevin Byard)
8,1,11:13,2,5,PHI 47,0,0,Dyami Brown left end for no gain (tackle by Sydney Brown and Jalen Carter)
9,1,10:26,3,5,PHI 47,0,0,Sam Howell pass complete short right to Curtis Samuel for -1 yards (tackle by Eli Ricks)
10,1,9:46,4,6,PHI 48,0,0,"Tress Way punts 40 yards, fair catch by Britain Covey at PHI-8"
11,1,9:39,1,10,PHI 8,0,0,D'Andre Swift right guard for 3 yards (tackle by Montez Sweat)
12,1,9:04,2,7,PHI 11,0,0,Jalen Hurts pass complete short left to Boston Scott for 4 yards (tackle by Khaleke Hudson)
13,1,8:24,3,3,PHI 15,0,0,Jalen Hurts pass incomplete short right intended for Dallas Goedert (defended by Percy Butler)
14,1,8:19,4,3,PHI 15,0,0,"Braden Mann punts 58 yards, returned by Jamison Crowder for 11 yards (tackle by Reed Blankenship and Grant Calcaterra)"
15,1,8:07,1,10,WAS 38,0,0,Sam Howell pass complete short right to Curtis Samuel for 7 yards (tackle by Milton Williams)
16,1,7:39,2,3,WAS 45,0,0,Brian Robinson right tackle for 29 yards (tackle by Darius Slay)
17,1,7:19,1,10,PHI 26,0,6,"Sam Howell pass complete deep left to Terry McLaurin for 26 yards, touchdown"
18,1,7:13,0,0,PHI 15,0,7,Joey Slye kicks extra point good
19,1,7:13,0,0,WAS 35,0,7,"Joey Slye kicks off 65 yards, touchback."
20,1,7:13,1,10,PHI 25,0,7,Jalen Hurts pass complete short right to A.J. Brown for 3 yards (tackle by Danny Johnson)
21,1,6:33,2,7,PHI 28,0,7,Jalen Hurts pass incomplete deep right intended for D'Andre Swift
22,1,6:27,3,7,PHI 28,0,7,Jalen Hurts scrambles left end for 7 yards (tackle by Kamren Curl)
23,1,5:50,1,10,PHI 35,0,7,Jalen Hurts pass complete short right to DeVonta Smith for 9 yards (tackle by Percy Butler and David Mayo)
24,1,4:48,2,1,PHI 44,0,7,Jalen Hurts pass complete short right to Dallas Goedert for 4 yards (tackle by Kamren Curl)
25,1,4:21,1,10,PHI 48,0,7,Jalen Hurts pass complete short middle to D'Andre Swift for 5 yards (tackle by David Mayo)
26,1,3:43,2,5,WAS 47,0,7,Jalen Hurts pass complete short middle to A.J. Brown for 12 yards (tackle by Benjamin St-Juste)
27,1,3:07,1,10,WAS 35,0,7,Jalen Hurts pass incomplete deep middle intended for Olamide Zaccheaus
28,1,3:00,2,10,WAS 35,0,7,Jalen Hurts pass incomplete short left intended for Dallas Goedert
29,1,2:54,3,10,WAS 35,0,7,Jalen Hurts pass complete short left to D'Andre Swift for 2 yards (tackle by Kendall Fuller)
30,1,2:16,4,8,WAS 33,3,7,Jake Elliott 51 yard field goal good
31,1,2:11,0,0,PHI 35,3,7,"Jake Elliott kicks off 65 yards, touchback."
32,1,2:11,1,10,WAS 25,3,7,Sam Howell pass complete short middle to Terry McLaurin for 9 yards (tackle by Reed Blankenship)
33,1,1:36,2,1,WAS 34,3,7,Sam Howell pass complete short left to Logan Thomas for 8 yards (tackle by Kevin Byard)
34,1,0:57,1,10,WAS 42,3,7,Sam Howell pass complete short right to Brian Robinson for 11 yards (tackle by Nakobe Dean)
35,1,0:13,1,10,PHI 47,3,7,Sam Howell pass incomplete deep right intended for Byron Pringle
36,1,0:06,2,10,PHI 47,3,7,Antonio Gibson left end for 6 yards (tackle by Josh Sweat and Marlon Tuipulotu)
37,2,15:00,3,4,PHI 41,3,7,Sam Howell pass complete short middle to Logan Thomas for 16 yards (tackle by Kevin Byard)
38,2,14:20,1,10,PHI 25,3,7,Sam Howell pass complete short left to Antonio Gibson for 10 yards (tackle by Nakobe Dean)
39,2,13:47,1,10,PHI 15,3,7,"Brian Robinson left end for no gain. Penalty on Logan Thomas: Low Block, 15 yards (accepted) (no play)"
40,2,13:24,1,25,PHI 30,3,7,Sam Howell pass complete short middle to Curtis Samuel for 9 yards (tackle by Sydney Brown)
41,2,12:44,2,16,PHI 21,3,13,"Sam Howell pass complete deep right to Jahan Dotson for 21 yards, touchdown"
42,2,12:40,0,0,PHI 15,3,14,Joey Slye kicks extra point good
43,2,12:40,0,0,WAS 35,3,14,"Joey Slye kicks off 65 yards, touchback."
44,2,12:40,1,10,PHI 25,3,14,Jalen Hurts pass incomplete short middle intended for Julio Jones (defended by Benjamin St-Juste)
45,2,12:36,2,10,PHI 25,3,14,Jalen Hurts pass complete short middle to Dallas Goedert for 6 yards (tackle by David Mayo and Jamin Davis)
