,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,LVR 35,0,0,"Daniel Carlson kicks off 63 yards, returned by Khalil Dorsey for 18 yards (tackle by DJ Turner)"
1,1,14:56,1,10,DET 20,0,0,Jahmyr Gibbs up the middle for 6 yards (tackle by John Jenkins and Nate Hobbs)
2,1,14:23,2,4,DET 26,0,0,Jahmyr Gibbs up the middle for 1 yard (tackle by Robert Spillane and Bilal Nichols)
3,1,13:39,3,3,DET 27,0,0,Jared Goff pass complete short right to Sam LaPorta for 6 yards (tackle by Tre'von Moehrig)
4,1,13:07,1,10,DET 33,0,0,Jahmyr Gibbs left tackle for 4 yards (tackle by Bilal Nichols and Maxx Crosby)
5,1,12:33,2,6,DET 37,0,0,Jared Goff pass complete short right to Jahmyr Gibbs for 6 yards (tackle by Tyree Wilson)
6,1,11:56,1,10,DET 43,0,0,Jared Goff pass incomplete short middle
7,1,11:53,2,10,DET 43,0,0,Jared Goff pass complete short right to Jahmyr Gibbs for 6 yards (tackle by Robert Spillane and Marcus Peters)
8,1,11:11,3,4,DET 49,0,0,Jared Goff pass complete short left to Jahmyr Gibbs for 8 yards (tackle by Tre'von Moehrig)
9,1,10:34,1,10,LVR 43,0,0,Jahmyr Gibbs right tackle for 4 yards (tackle by Malcolm Koonce)
10,1,9:50,2,6,LVR 39,0,0,Craig Reynolds up the middle for 11 yards (tackle by Tre'von Moehrig)
11,1,9:14,1,10,LVR 28,0,0,Craig Reynolds up the middle for 2 yards (tackle by Tyree Wilson and Jerry Tillery)
12,1,8:37,2,8,LVR 26,0,0,Jahmyr Gibbs right tackle for no gain (tackle by Maxx Crosby)
13,1,8:02,3,8,LVR 26,0,0,Jared Goff pass incomplete deep right intended for Sam LaPorta
14,1,7:56,4,8,LVR 26,0,3,Riley Patterson 44 yard field goal good
15,1,7:51,0,0,DET 35,0,3,"Jack Fox kicks off 65 yards, touchback."
16,1,7:51,1,10,LVR 25,0,3,Jimmy Garoppolo pass complete short middle to Josh Jacobs for 12 yards (tackle by Julian Okwara)
17,1,7:22,1,10,LVR 37,0,3,Jimmy Garoppolo pass incomplete short left intended for Josh Jacobs
18,1,7:14,2,10,LVR 37,0,3,Josh Jacobs left tackle for no gain (tackle by Tracy Walker and Brian Branch)
19,1,6:31,3,10,LVR 37,0,3,Jimmy Garoppolo scrambles left end for 9 yards (tackle by Alex Anzalone)
20,1,5:50,4,1,LVR 46,0,3,"AJ Cole punts 43 yards, fair catch by Kalif Raymond at DET-11"
21,1,5:44,1,10,DET 11,0,3,Jahmyr Gibbs left end for 3 yards (tackle by Malcolm Koonce and John Jenkins)
22,1,5:09,2,7,DET 14,0,3,"Jared Goff pass complete short right to Josh Reynolds for 13 yards. Josh Reynolds fumbles (forced by Luke Masterson), recovered by Robert Spillane at DET-26"
23,1,4:59,1,10,DET 26,0,3,Jimmy Garoppolo pass deep right intended for Davante Adams is intercepted by Kerby Joseph in end zone and returned for 15 yards (tackle by Hunter Renfrow)
24,1,4:49,1,10,DET 11,0,3,Jared Goff pass complete short left to Sam LaPorta for no gain (tackle by Amik Robertson)
25,1,4:15,2,10,DET 11,0,3,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown (defended by John Jenkins)
26,1,4:10,3,10,DET 11,0,3,Jared Goff pass incomplete deep left
27,1,4:04,4,10,DET 11,0,3,"Jack Fox punts 48 yards, fair catch by DeAndre Carter at LV-41"
28,1,3:55,1,10,LVR 41,0,3,Josh Jacobs up the middle for 5 yards (tackle by Jack Campbell)
29,1,3:30,2,5,LVR 46,0,3,Josh Jacobs up the middle for 4 yards (tackle by Brian Branch)
30,1,3:13,3,1,DET 50,0,3,Josh Jacobs left end for -1 yards (tackle by Alex Anzalone)
31,1,2:36,4,2,LVR 49,0,3,Jimmy Garoppolo pass incomplete deep right intended for Hunter Renfrow
32,1,2:29,1,10,LVR 49,0,3,Jared Goff pass complete short right to Amon-Ra St. Brown for 12 yards (tackle by Tre'von Moehrig)
33,1,2:00,1,10,LVR 37,0,3,Jared Goff pass complete short middle to Amon-Ra St. Brown for 8 yards (tackle by Luke Masterson)
34,1,1:36,2,2,LVR 29,0,3,Jahmyr Gibbs left tackle for 8 yards (tackle by Marcus Epps)
35,1,1:09,1,10,LVR 21,0,3,Jahmyr Gibbs left tackle for -1 yards (tackle by Marcus Epps)
36,1,0:27,2,11,LVR 22,0,3,Jared Goff pass incomplete short right intended for Jameson Williams
37,1,0:22,3,11,LVR 22,0,3,Jared Goff pass complete short right to Kalif Raymond for 14 yards (tackle by Marcus Peters)
38,2,15:00,1,8,LVR 8,0,3,Jahmyr Gibbs up the middle for 2 yards (tackle by Robert Spillane and Isaac Rochell)
39,2,14:29,2,6,LVR 6,0,3,"Jahmyr Gibbs left end for no gain (tackle by Marcus Epps and Nate Hobbs). Penalty on Taylor Decker: Offensive Holding, 10 yards (accepted) (no play)"
40,2,14:07,2,16,LVR 16,0,3,Kalif Raymond left tackle for -2 yards (tackle by Adam Butler)
41,2,13:29,3,18,LVR 18,0,3,Jared Goff pass complete short right to Kalif Raymond for 10 yards (tackle by Luke Masterson)
42,2,12:35,4,8,LVR 8,0,3,"Penalty on DET: Delay of Game, 5 yards (accepted) (no play)"
43,2,12:27,4,13,LVR 13,0,6,Riley Patterson 31 yard field goal good
44,2,12:23,0,0,DET 35,0,6,"Jack Fox kicks off 65 yards, touchback."
45,2,12:23,1,10,LVR 25,0,6,Josh Jacobs left tackle for 4 yards (tackle by John Cominsky and Alim McNeill)
46,2,11:42,2,6,LVR 29,0,6,Jimmy Garoppolo pass incomplete short middle intended for Davante Adams (defended by Alim McNeill)
47,2,11:37,3,6,LVR 29,0,6,Jimmy Garoppolo pass incomplete short left intended for Hunter Renfrow
48,2,11:31,4,6,LVR 29,0,6,AJ Cole punts 49 yards
49,2,11:24,1,10,DET 22,0,6,Jared Goff pass complete deep middle to Amon-Ra St. Brown for 44 yards (tackle by Marcus Epps)
50,2,10:44,1,10,LVR 34,0,6,Jared Goff pass complete short middle to Jameson Williams for -6 yards (tackle by Maxx Crosby)
51,2,10:05,2,16,LVR 40,0,6,"Jared Goff pass complete deep right to Amon-Ra St. Brown for 24 yards (tackle by Tre'von Moehrig). Penalty on Nate Hobbs: Illegal Contact, 5 yards (declined) "
52,2,9:35,1,10,LVR 16,0,6,Jared Goff pass complete short left to Sam LaPorta for 9 yards (tackle by Marcus Epps)
53,2,9:01,2,1,LVR 7,0,6,Amon-Ra St. Brown sacked by Nate Hobbs for -8 yards
54,2,8:17,3,9,LVR 15,0,6,Jared Goff pass incomplete short middle intended for Kalif Raymond (defended by Adam Butler)
55,2,8:12,4,9,LVR 15,0,9,Riley Patterson 33 yard field goal good
56,2,8:08,0,0,DET 35,0,9,"Jack Fox kicks off 65 yards, touchback."
57,2,8:08,1,10,LVR 25,0,9,Jimmy Garoppolo pass complete short right to Austin Hooper for 8 yards (tackle by Jack Campbell)
58,2,7:38,2,2,LVR 33,0,9,Josh Jacobs right tackle for 9 yards (tackle by Kerby Joseph)
59,2,7:01,1,10,LVR 42,0,9,"Josh Jacobs left end for 4 yards (tackle by Aidan Hutchinson). Penalty on Jerry Jacobs: Low Block, 15 yards (accepted) "
60,2,6:39,1,10,DET 39,0,9,Jimmy Garoppolo pass complete short left to Austin Hooper for 11 yards (tackle by Kerby Joseph)
61,2,6:02,1,10,DET 28,0,9,Josh Jacobs up the middle for 7 yards (tackle by Jack Campbell and Brian Branch)
62,2,5:27,2,3,DET 21,0,9,Josh Jacobs left tackle for 6 yards (tackle by Brodric Martin)
63,2,4:53,1,10,DET 15,0,9,Josh Jacobs up the middle for 6 yards (tackle by Tracy Walker and Alex Anzalone)
64,2,4:17,2,4,DET 9,0,9,Josh Jacobs up the middle for 3 yards (tackle by Jerry Jacobs)
65,2,3:43,3,1,DET 6,0,9,Jimmy Garoppolo up the middle for 3 yards (tackle by John Cominsky and Alim McNeill)
66,2,3:00,1,3,DET 3,6,9,"Josh Jacobs up the middle for 3 yards, touchdown"
67,2,2:56,0,0,DET 15,7,9,Daniel Carlson kicks extra point good
68,2,2:56,0,0,LVR 35,7,9,"Daniel Carlson kicks off 57 yards, returned by Khalil Dorsey for 13 yards (tackle by Amari Burney)"
69,2,2:52,1,10,DET 21,7,9,Jahmyr Gibbs up the middle for no gain (tackle by Maxx Crosby)
70,2,2:16,2,10,DET 21,7,9,Jared Goff pass complete deep middle to Jameson Williams for 22 yards (tackle by Tre'von Moehrig)
71,2,2:00,1,10,DET 43,7,9,Jared Goff pass complete short left to Jahmyr Gibbs for 14 yards (tackle by Nate Hobbs)
72,2,1:51,1,10,LVR 43,7,9,"Jahmyr Gibbs up the middle for no gain (tackle by Maxx Crosby). Penalty on Colby Sorsdal: Offensive Holding, 10 yards (offset) . Penalty on Robert Spillane: Horse Collar Tackle, 15 yards (offset) (no play)"
73,2,1:44,1,10,LVR 43,7,9,Jahmyr Gibbs up the middle for 7 yards (tackle by Luke Masterson and Tre'von Moehrig)
74,2,1:31,2,3,LVR 36,7,9,Jared Goff pass complete short left to Amon-Ra St. Brown for 6 yards (tackle by Amik Robertson)
75,2,1:10,1,10,LVR 30,7,9,Jahmyr Gibbs left tackle for 1 yard (tackle by Robert Spillane and Adam Butler)
76,2,0:45,2,9,LVR 29,7,9,Jared Goff pass complete short right to Sam LaPorta for 3 yards (tackle by Marcus Peters)
77,2,0:39,3,6,LVR 26,7,9,Jared Goff pass complete short middle to Sam LaPorta for 8 yards (tackle by David Long)
78,2,0:31,1,10,LVR 18,7,15,"Jared Goff pass complete short middle to Sam LaPorta for 18 yards, touchdown"
79,2,0:27,0,0,LVR 15,7,16,Riley Patterson kicks extra point good
80,2,0:27,0,0,DET 35,7,16,"Jack Fox kicks off 65 yards, touchback."
81,2,0:27,1,10,LVR 25,7,16,Ameer Abdullah right tackle for 7 yards (tackle by Derrick Barnes and Tracy Walker)
82,3,15:00,0,0,DET 35,7,16,"Jack Fox kicks off 65 yards, touchback."
83,3,15:00,1,10,LVR 25,7,16,Jimmy Garoppolo pass complete short right to Davante Adams for 11 yards (tackle by Alex Anzalone)
84,3,14:28,1,10,LVR 36,7,16,Josh Jacobs right end for 1 yard (tackle by Josh Paschal)
85,3,13:56,2,9,LVR 37,7,16,Jimmy Garoppolo pass incomplete deep left intended for Davante Adams
86,3,13:49,3,9,LVR 37,7,16,Jimmy Garoppolo sacked by Julian Okwara for -7 yards
87,3,13:13,4,16,LVR 30,7,16,"AJ Cole punts 50 yards, returned by Kalif Raymond for 9 yards (tackle by Jakob Johnson and Isaiah Pola-Mao). Penalty on DJ Turner: Unsportsmanlike Conduct / Offense, 15 yards (accepted) "
88,3,13:01,1,10,DET 44,7,16,Jahmyr Gibbs left tackle for 24 yards (tackle by Robert Spillane)
89,3,12:24,1,10,LVR 32,7,16,Jahmyr Gibbs left end for 4 yards (tackle by Amik Robertson)
90,3,11:47,2,6,LVR 28,13,16,"Jared Goff pass short right intended for Amon-Ra St. Brown is intercepted by Marcus Peters at LV-25 and returned for 75 yards, touchdown"
91,3,11:32,0,0,DET 15,14,16,Daniel Carlson kicks extra point good
92,3,11:32,0,0,LVR 35,14,16,"Daniel Carlson kicks off 65 yards, touchback."
93,3,11:32,1,10,DET 25,14,16,Jared Goff pass complete short left to Sam LaPorta for 5 yards (tackle by Marcus Epps)
94,3,11:03,2,5,DET 30,14,16,Craig Reynolds left tackle for 8 yards (tackle by Nate Hobbs and Tre'von Moehrig)
95,3,10:41,1,10,DET 38,14,16,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown
96,3,10:35,2,10,DET 38,14,16,Craig Reynolds left tackle for 5 yards (tackle by Amari Burney)
97,3,10:00,3,5,DET 43,14,16,Jared Goff pass complete short middle to Amon-Ra St. Brown for 14 yards (tackle by Marcus Epps)
98,3,9:36,1,10,LVR 43,14,16,Jahmyr Gibbs right end for 1 yard (tackle by Maxx Crosby and Malcolm Koonce)
99,3,8:59,2,9,LVR 42,14,16,Jahmyr Gibbs right end for 1 yard (tackle by Maxx Crosby and John Jenkins)
100,3,8:15,3,8,LVR 41,14,16,Craig Reynolds left tackle for 8 yards (tackle by Malcolm Koonce)
101,3,7:42,1,10,LVR 33,14,16,Jared Goff pass complete short right to Craig Reynolds for 12 yards (tackle by Marcus Peters and Amari Burney)
102,3,7:04,1,10,LVR 21,14,16,Jahmyr Gibbs right end for 17 yards (tackle by Marcus Peters)
103,3,6:24,1,4,LVR 4,14,16,Craig Reynolds up the middle for no gain (tackle by Robert Spillane)
104,3,5:52,2,4,LVR 4,14,16,"Craig Reynolds left tackle for 1 yard. Craig Reynolds fumbles (forced by Maxx Crosby) (tackle by Jerry Tillery), recovered by Maxx Crosby at LV-3 (tackle by Jerry Tillery) (tackle by Maxx Crosby) (tackle by Maxx Crosby) Replay Assistant challenged the fumble ruling, and the play was upheld."
105,3,5:29,1,10,LVR 3,14,16,"Penalty on Josh Jacobs: False Start, 1 yard (accepted) (no play)"
106,3,5:29,1,11,LVR 2,14,16,Josh Jacobs up the middle for 5 yards (tackle by Brian Branch)
107,3,4:59,2,7,LVR 7,14,16,Jimmy Garoppolo pass complete short left to Hunter Renfrow for 1 yard (tackle by Cameron Sutton)
108,3,4:18,3,5,LVR 8,14,16,Jimmy Garoppolo pass incomplete short left intended for Davante Adams
109,3,4:14,4,5,LVR 8,14,16,"AJ Cole punts 52 yards, returned by Kalif Raymond for 9 yards (tackle by Jacob Bobenmoyer and Michael Mayer)"
110,3,4:02,1,10,DET 49,14,16,Jahmyr Gibbs left end for 6 yards (tackle by Amari Burney)
111,3,3:29,2,4,LVR 45,14,16,"Jared Goff pass incomplete deep left intended for Josh Reynolds. Penalty on Amik Robertson: Defensive Pass Interference, 18 yards (accepted) (no play)"
112,3,3:20,1,10,LVR 27,14,22,"Jahmyr Gibbs up the middle for 27 yards, touchdown"
113,3,3:13,0,0,LVR 15,14,23,Riley Patterson kicks extra point good
114,3,3:13,0,0,DET 35,14,23,"Jack Fox kicks off 65 yards, touchback."
115,3,3:13,1,10,LVR 25,14,23,Jimmy Garoppolo pass complete deep left to Michael Mayer for 19 yards (tackle by Brian Branch)
116,3,2:39,1,10,LVR 44,14,23,Josh Jacobs left tackle for 5 yards (tackle by Jerry Jacobs)
117,3,2:04,2,5,LVR 49,14,23,Jimmy Garoppolo pass incomplete deep right intended for Michael Mayer (defended by Kerby Joseph)
118,3,1:58,3,5,LVR 49,14,23,Jimmy Garoppolo sacked by Alim McNeill for -8 yards
119,3,1:11,4,13,LVR 41,14,23,"AJ Cole punts 48 yards, fair catch by Kalif Raymond at DET-11"
120,3,1:07,1,10,DET 11,14,23,Jahmyr Gibbs up the middle for 11 yards (tackle by Isaiah Pola-Mao)
121,3,0:30,1,10,DET 22,14,23,Jahmyr Gibbs up the middle for 7 yards (tackle by Marcus Epps and Tre'von Moehrig)
122,4,15:00,2,3,DET 29,14,23,Jared Goff pass complete short left to Sam LaPorta for 8 yards (tackle by Marcus Epps)
123,4,14:23,1,10,DET 37,14,23,Jahmyr Gibbs left tackle for 9 yards (tackle by Tre'von Moehrig)
124,4,13:51,2,1,DET 46,14,23,Jared Goff pass complete short left to Jahmyr Gibbs for 3 yards (tackle by Amik Robertson)
125,4,13:14,1,10,DET 49,14,23,Craig Reynolds left end for 5 yards (tackle by Amari Burney and Jerry Tillery)
126,4,12:31,2,5,LVR 46,14,23,Craig Reynolds left tackle for 2 yards (tackle by Amari Burney and John Jenkins)
127,4,11:57,3,3,LVR 44,14,23,Jahmyr Gibbs left tackle for 2 yards (tackle by John Jenkins and Bilal Nichols)
128,4,11:21,4,1,LVR 42,14,23,"Jared Goff up the middle for no gain (tackle by Adam Butler). Penalty on Maxx Crosby: Defensive Offside, 6 yards (accepted) (no play)"
129,4,10:58,1,10,LVR 36,14,23,Jared Goff pass incomplete short left
130,4,10:53,2,10,LVR 36,14,23,Jahmyr Gibbs left tackle for 2 yards (tackle by Bilal Nichols and John Jenkins)
131,4,10:08,3,8,LVR 34,14,23,Jared Goff pass incomplete short right intended for Kalif Raymond
132,4,10:04,4,8,LVR 34,14,26,Riley Patterson 52 yard field goal good
133,4,9:59,0,0,DET 35,14,26,"Jack Fox kicks off 65 yards, recovered by DeAndre Carter in end zone (tackle by Khalil Dorsey and Ifeatu Melifonwu)"
134,4,9:54,1,10,LVR 2,14,26,Jimmy Garoppolo pass incomplete deep left intended for Davante Adams
135,4,9:49,2,10,LVR 2,14,26,"Jimmy Garoppolo pass incomplete short middle intended for Hunter Renfrow. Penalty on Jack Campbell: Roughing the Passer, 15 yards (accepted) (no play)"
136,4,9:45,1,10,LVR 17,14,26,Jimmy Garoppolo pass complete deep right to Jakobi Meyers for 19 yards (tackle by Tracy Walker)
137,4,9:10,1,10,LVR 36,14,26,Jimmy Garoppolo sacked by Alex Anzalone for -7 yards
138,4,8:29,2,17,LVR 29,14,26,Jimmy Garoppolo sacked by Alim McNeill for -11 yards
139,4,7:46,3,28,LVR 18,14,26,Jimmy Garoppolo pass complete short left to Hunter Renfrow for 18 yards (tackle by Jack Campbell)
140,4,7:01,4,10,LVR 36,14,26,Jimmy Garoppolo sacked by Alex Anzalone for -8 yards
141,4,6:55,1,10,LVR 28,14,26,Craig Reynolds up the middle for 11 yards (tackle by Marcus Epps)
142,4,6:11,1,10,LVR 17,14,26,Craig Reynolds left end for 13 yards (tackle by Amik Robertson)
143,4,5:23,1,4,LVR 4,14,26,"Craig Reynolds left end for no gain, touchdown. Penalty on Dan Skipper: Offensive Holding, 10 yards (accepted) (no play)"
144,4,5:19,1,14,LVR 14,14,26,Jahmyr Gibbs up the middle for 3 yards (tackle by Maxx Crosby)
145,4,5:13,2,11,LVR 11,14,26,Jahmyr Gibbs left tackle for 3 yards (tackle by John Jenkins and Robert Spillane)
