,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,TAM 35,0,0,"Jake Camarda kicks off 65 yards, touchback."
1,1,15:00,1,10,HOU 25,0,0,C.J. Stroud pass incomplete short right intended for Tank Dell
2,1,14:55,2,10,HOU 25,0,0,C.J. Stroud pass incomplete short right
3,1,14:48,3,10,HOU 25,0,0,"C.J. Stroud pass complete short left to Dalton Schultz for 9 yards. Dalton Schultz fumbles (forced by Lavonte David), recovered by Antoine Winfield at HOU-42"
4,1,14:38,1,10,HOU 42,0,0,"Baker Mayfield pass complete short right to Cade Otton for 24 yards (tackle by Jimmie Ward). Penalty on Jonathan Greenard: Defensive Offside, 5 yards (declined) "
5,1,14:15,1,10,HOU 18,0,0,Rachaad White up the middle for no gain (tackle by Blake Cashman and Denzel Perryman)
6,1,13:40,2,10,HOU 18,0,0,Baker Mayfield pass incomplete short right intended for Cade Otton
7,1,13:36,3,10,HOU 18,0,0,Baker Mayfield pass complete short right to Rachaad White for 1 yard (tackle by Blake Cashman)
8,1,12:59,4,9,HOU 17,3,0,Chase McLaughlin 35 yard field goal good
9,1,12:56,0,0,TAM 35,3,0,"Jake Camarda kicks off 65 yards, touchback."
10,1,12:56,1,10,HOU 25,3,0,C.J. Stroud pass complete short right to Dalton Schultz for 21 yards (tackle by Carlton Davis)
11,1,12:17,1,10,HOU 46,3,0,Devin Singletary left guard for 3 yards (tackle by Vita Vea)
12,1,11:38,2,7,HOU 49,3,0,C.J. Stroud pass complete short middle to Tank Dell for 15 yards (tackle by Ryan Neal)
13,1,11:02,1,10,TAM 36,3,0,Devin Singletary left guard for -1 yards (tackle by Lavonte David)
14,1,10:24,2,11,TAM 37,3,0,Tank Dell left end for 2 yards (tackle by Shaquil Barrett)
15,1,9:43,3,9,TAM 35,3,0,C.J. Stroud pass complete short right to Noah Brown for 6 yards (tackle by Devin White)
16,1,9:43,4,3,TAM 29,3,0,"Penalty on Shaquil Barrett: Roughing the Passer, 15 yards (accepted) (no play)"
17,1,9:14,1,10,TAM 14,3,6,"C.J. Stroud pass complete short left to Nico Collins for 14 yards, touchdown"
18,1,9:10,0,0,TAM 15,3,7,Ka'imi Fairbairn kicks extra point good
19,1,9:10,0,0,HOU 35,3,7,"Ka'imi Fairbairn kicks off 65 yards, touchback."
20,1,9:10,1,10,TAM 25,3,7,Baker Mayfield pass complete short left to Rachaad White for 33 yards (tackle by Blake Cashman and Jalen Pitre)
21,1,8:27,1,10,HOU 42,3,7,Rachaad White up the middle for 4 yards (tackle by Jerry Hughes)
22,1,7:50,2,6,HOU 38,3,7,Rachaad White right guard for 4 yards (tackle by Denzel Perryman and Shaquill Griffin)
23,1,7:16,3,2,HOU 34,3,7,Baker Mayfield pass complete short right to Mike Evans for 10 yards (tackle by M.J. Stewart)
24,1,6:42,1,10,HOU 24,3,7,Ke'Shawn Vaughn right tackle for 1 yard (tackle by Jonathan Greenard)
25,1,6:04,2,9,HOU 23,3,7,Ke'Shawn Vaughn left guard for 1 yard (tackle by Hassan Ridgeway)
26,1,5:27,3,8,HOU 22,3,7,Baker Mayfield sacked by Will Anderson for -5 yards
27,1,5:27,4,13,HOU 27,3,7,"Penalty on Jimmie Ward: Unnecessary Roughness / Defense, 14 yards (accepted) Penalty on M.J. Stewart: Illegal Contact, 5 yards (declined) (no play)"
28,1,4:47,1,10,HOU 13,3,7,Rachaad White up the middle for 4 yards (tackle by Blake Cashman and Henry To'oTo'o)
29,1,4:13,2,9,HOU 9,3,7,Baker Mayfield pass incomplete short right intended for Mike Evans
30,1,4:10,3,6,HOU 9,3,7,"Baker Mayfield pass complete short middle to Chris Godwin for no gain (tackle by Blake Cashman). Penalty on Luke Goedeke: Offensive Holding, 10 yards (accepted) (no play)"
31,1,3:42,3,16,HOU 19,3,7,Baker Mayfield pass complete short left to Chris Godwin for 15 yards (tackle by Henry To'oTo'o and Steven Nelson)
32,1,3:18,4,1,HOU 4,3,7,Rachaad White right tackle for 3 yards (tackle by Henry To'oTo'o and Tavierre Thomas)
33,1,2:54,1,1,HOU 1,3,7,Baker Mayfield right end for -2 yards (tackle by Blake Cashman)
34,1,2:19,2,3,HOU 3,9,7,"Baker Mayfield pass complete short middle to Cade Otton for 3 yards, touchdown"
35,1,2:13,0,0,HOU 15,10,7,Chase McLaughlin kicks extra point good
36,1,2:13,0,0,TAM 35,10,7,"Jake Camarda kicks off 64 yards, returned by Mike Boone for 8 yards (tackle by Cam Gill and Josh Hayes)"
37,1,2:08,1,10,HOU 9,10,7,Devin Singletary right end for 1 yard (tackle by Lavonte David)
38,1,1:33,2,9,HOU 10,10,7,C.J. Stroud pass incomplete deep left intended for Tank Dell
39,1,1:27,3,9,HOU 10,10,7,C.J. Stroud pass incomplete short left intended for Tank Dell
40,1,1:22,4,9,HOU 10,10,7,"Cameron Johnston punts 58 yards, returned by Deven Thompkins for 4 yards (tackle by M.J. Stewart)"
41,1,1:07,1,10,TAM 36,10,7,Chase Edmonds left tackle for 2 yards (tackle by Blake Cashman and Denzel Perryman)
42,1,0:31,2,8,TAM 38,10,7,"Baker Mayfield pass complete deep left to Mike Evans for no gain. Penalty on Mike Evans: Offensive Pass Interference, 10 yards (accepted) (no play)"
