,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-11,1,GNB,@,MIN,L,7,23,22,34,195,0,1,67.6,4,1,-1,0
1,2022-09-18,2,GNB,,CHI,W,27,10,19,25,234,2,0,131.1,3,5,10,0
2,2022-09-25,3,GNB,@,TAM,W,14,12,27,35,255,2,1,103.9,1,1,-1,0
3,2022-10-02,4,GNB,,NWE,W,27,24,21,35,251,2,1,89.1,1,1,1,0
4,2022-10-09,5,GNB,,NYG,L,22,27,25,39,222,2,0,96.3,2,0,0,0
5,2022-10-16,6,GNB,,NYJ,L,10,27,26,41,246,1,0,88.1,4,1,0,0
6,2022-10-23,7,GNB,@,WAS,L,21,23,23,35,194,2,0,99.0,0,0,0,0
7,2022-10-30,8,GNB,@,BUF,L,17,27,19,30,203,2,1,91.4,2,1,11,0
8,2022-11-06,9,GNB,@,DET,L,9,15,23,43,291,1,3,53.5,1,4,40,0
9,2022-11-13,10,GNB,,DAL,W,31,28,14,20,224,3,0,146.7,2,2,4,0
10,2022-11-17,11,GNB,,TEN,L,17,27,24,39,227,2,0,94.7,1,0,0,0
11,2022-11-27,12,GNB,@,PHI,L,33,40,11,16,140,2,2,95.8,3,1,-1,0
12,2022-12-04,13,GNB,@,CHI,W,28,19,18,31,182,1,0,85.7,0,3,4,0
13,2022-12-19,15,GNB,,LAR,W,24,12,22,30,229,1,1,92.2,3,3,-3,0
14,2022-12-25,16,GNB,@,MIA,W,26,20,24,38,238,1,1,78.6,2,7,18,0
15,2023-01-01,17,GNB,,MIN,W,41,17,15,24,159,1,0,95.7,1,1,2,1
16,2023-01-08,18,GNB,,DET,L,16,20,17,27,205,1,1,83.1,2,3,10,0
