,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-10-02,4,NOR,,MIN,L,25,28,20,28,236,1,0,108.6,2,1,3,0
1,2022-10-09,5,NOR,,SEA,W,39,32,16,24,187,1,1,86.6,1,7,4,0
2,2022-10-16,6,NOR,,CIN,L,26,30,17,32,162,1,0,77.9,1,0,0,0
3,2022-10-20,7,NOR,@,ARI,L,34,42,30,47,361,4,3,89.1,0,4,21,0
4,2022-10-30,8,NOR,,LVR,W,24,0,22,30,229,2,0,117.2,0,0,0,0
5,2022-11-07,9,NOR,,BAL,L,13,27,19,29,210,1,1,84.0,4,2,5,0
6,2022-11-13,10,NOR,@,PIT,L,10,20,17,27,174,1,2,62.9,2,3,1,0
7,2022-11-20,11,NOR,,LAR,W,27,20,21,25,260,3,0,149.6,3,2,-2,0
8,2022-11-27,12,NOR,@,SFO,L,0,13,18,29,204,0,0,83.1,1,4,21,0
9,2022-12-05,13,NOR,@,TAM,L,16,17,20,28,229,1,0,107.6,2,1,1,0
10,2022-12-18,15,NOR,,ATL,W,21,18,11,17,151,2,0,132.2,2,2,1,0
11,2022-12-24,16,NOR,@,CLE,W,17,10,8,15,92,0,1,44.3,0,1,-1,0
12,2023-01-01,17,NOR,@,PHI,W,20,10,18,22,205,0,1,86.6,6,2,-2,0
13,2023-01-08,18,NOR,,CAR,L,7,10,15,25,171,1,0,93.9,1,1,2,0
