,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-11,1,CAR,,CLE,L,24,26,16,27,235,1,1,84.6,4,5,6,1
1,2022-09-18,2,CAR,@,NYG,L,16,19,14,29,145,1,0,74.6,2,6,35,0
2,2022-09-25,3,CAR,,NOR,W,22,14,12,25,170,1,0,83.7,3,1,-1,0
3,2022-10-02,4,CAR,,ARI,L,16,26,22,36,197,1,2,61.9,2,2,0,0
4,2022-10-09,5,CAR,,SFO,L,15,37,20,36,215,0,1,61.7,4,0,0,0
5,2022-11-06,9,CAR,@,CIN,L,21,42,14,20,155,2,0,126.0,0,0,0,0
6,2022-11-20,11,CAR,@,BAL,L,3,13,21,33,196,0,2,54.6,4,2,12,0
7,2022-12-08,14,LAR,,LVR,W,17,16,22,35,230,1,0,91.4,4,4,10,0
8,2022-12-19,15,LAR,@,GNB,L,12,24,12,21,111,1,1,67.8,5,1,1,0
9,2022-12-25,16,LAR,,DEN,W,51,14,24,28,230,2,0,124.7,0,2,2,0
10,2023-01-01,17,LAR,@,LAC,L,10,31,11,19,132,0,0,79.3,3,3,8,0
11,2023-01-08,18,LAR,@,SEA,L,16,19,13,26,147,0,1,51.3,5,5,16,0
