,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-11,1,DAL,,TAM,L,3,19,14,29,134,0,1,47.2,2,2,11,0
1,2022-10-23,7,DAL,,DET,W,24,6,19,25,207,1,0,113.2,2,3,0,0
2,2022-10-30,8,DAL,,CHI,W,49,29,21,27,250,2,1,114.5,1,5,34,1
3,2022-11-13,10,DAL,@,GNB,L,28,31,27,46,265,3,2,78.6,2,4,6,0
4,2022-11-20,11,DAL,@,MIN,W,40,3,22,25,276,2,0,139.3,0,3,16,0
5,2022-11-24,12,DAL,,NYG,W,28,20,21,30,261,2,2,91.1,0,2,4,0
6,2022-12-04,13,DAL,,IND,W,54,19,20,30,170,3,1,100.7,1,0,0,0
7,2022-12-11,14,DAL,,HOU,W,27,23,24,39,284,1,2,70.9,1,6,23,0
8,2022-12-18,15,DAL,@,JAX,L,34,40,23,30,256,3,2,107.1,3,5,20,0
9,2022-12-24,16,DAL,,PHI,W,40,34,27,35,347,3,1,124.3,6,6,41,0
10,2022-12-29,17,DAL,@,TEN,W,27,13,29,41,282,2,2,85.6,1,3,11,0
11,2023-01-08,18,DAL,@,WAS,L,6,26,14,37,128,1,1,45.8,1,6,16,0
