,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-11,1,NYG,@,TEN,W,21,20,17,21,188,2,1,115.9,5,6,25,0
1,2022-09-18,2,NYG,,CAR,W,19,16,22,34,176,1,0,87.4,3,10,21,0
2,2022-09-26,3,NYG,,DAL,L,16,23,20,37,196,0,1,57.9,5,9,79,0
3,2022-10-02,4,NYG,,CHI,W,20,12,8,13,71,0,0,76.1,1,6,68,2
4,2022-10-09,5,NYG,@,GNB,W,27,22,21,27,217,0,0,100.2,1,10,37,0
5,2022-10-16,6,NYG,,BAL,W,24,20,19,27,173,2,0,112.1,4,6,6,0
6,2022-10-23,7,NYG,@,JAX,W,23,17,19,30,202,1,0,94.0,1,11,107,1
7,2022-10-30,8,NYG,@,SEA,L,13,27,17,31,176,0,0,71.4,5,6,20,0
8,2022-11-13,10,NYG,,HOU,W,24,16,13,17,197,2,0,153.3,3,5,24,0
9,2022-11-20,11,NYG,,DET,L,18,31,27,44,341,1,2,74.1,2,7,50,1
10,2022-11-24,12,NYG,@,DAL,L,20,28,21,35,228,1,0,88.7,3,3,14,0
11,2022-12-04,13,NYG,,WAS,T,20,20,25,31,200,1,0,104.3,4,12,71,0
12,2022-12-11,14,NYG,,PHI,L,22,48,18,27,169,1,0,96.1,4,4,26,1
13,2022-12-18,15,NYG,@,WAS,W,20,12,21,32,160,0,0,77.6,0,10,35,0
14,2022-12-24,16,NYG,@,MIN,L,24,27,30,42,334,1,1,92.8,3,4,34,0
15,2023-01-01,17,NYG,,IND,W,38,10,19,24,177,2,0,125.2,0,11,91,2
