,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-11,1,HOU,,IND,T,20,20,23,37,240,2,0,98.9,3,2,-1,0
1,2022-09-18,2,HOU,@,DEN,L,9,16,19,38,177,0,0,63.2,3,2,1,0
2,2022-09-25,3,HOU,@,CHI,L,20,23,20,32,245,1,2,70.4,1,0,0,0
3,2022-10-02,4,HOU,,LAC,L,24,34,26,35,246,2,2,88.5,4,0,0,0
4,2022-10-09,5,HOU,@,JAX,W,13,6,16,24,140,0,0,81.9,1,2,2,0
5,2022-10-23,7,HOU,@,LVR,L,20,38,28,41,302,2,1,95.8,1,0,0,0
6,2022-10-30,8,HOU,,TEN,L,10,17,17,29,152,1,1,69.9,3,3,8,0
7,2022-11-03,9,HOU,,PHI,L,17,29,13,22,154,2,2,72.9,3,3,18,0
8,2022-11-13,10,HOU,@,NYG,L,16,24,22,37,319,1,1,85.3,4,0,0,0
9,2022-11-20,11,HOU,,WAS,L,10,23,19,33,169,0,2,46.1,5,5,10,1
10,2022-12-11,14,HOU,@,DAL,L,23,27,16,21,175,0,1,80.5,0,1,2,0
11,2022-12-18,15,HOU,,KAN,L,24,30,12,24,121,2,0,92.5,0,5,21,1
12,2022-12-24,16,HOU,@,TEN,W,19,14,17,28,178,1,1,76.2,1,4,8,0
13,2023-01-01,17,HOU,,JAX,L,3,31,22,40,202,0,0,69.0,1,4,33,0
14,2023-01-08,18,HOU,@,IND,W,32,31,22,38,298,3,2,87.4,1,1,6,0
