,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-11,1,LVR,@,LAC,L,19,24,22,37,295,2,3,69.1,5,0,0,0
1,2022-09-18,2,LVR,,ARI,L,23,29,25,39,252,2,0,99.5,1,1,9,0
2,2022-09-25,3,LVR,@,TEN,L,22,24,26,44,303,2,1,85.7,1,2,17,0
3,2022-10-02,4,LVR,,DEN,W,32,23,21,34,188,0,0,76.6,2,7,40,0
4,2022-10-10,5,LVR,@,KAN,L,29,30,19,30,241,2,0,110.6,2,1,3,0
5,2022-10-23,7,LVR,,HOU,W,38,20,21,27,241,1,0,116.2,1,3,-1,0
6,2022-10-30,8,LVR,@,NOR,L,0,24,15,26,101,0,1,50.3,3,1,-1,0
7,2022-11-06,9,LVR,@,JAX,L,20,27,21,36,259,2,0,99.2,2,0,0,0
8,2022-11-13,10,LVR,,IND,L,20,25,24,38,248,2,0,99.5,2,0,0,0
9,2022-11-20,11,LVR,@,DEN,W,22,16,23,37,307,2,0,106.5,1,0,0,0
10,2022-11-27,12,LVR,@,SEA,W,40,34,25,36,295,3,2,98.7,1,2,10,0
11,2022-12-04,13,LVR,,LAC,W,27,20,16,30,250,2,1,89.6,0,0,0,0
12,2022-12-08,14,LVR,@,LAR,L,16,17,11,20,137,0,2,36.9,0,4,11,0
13,2022-12-18,15,LVR,,NWE,W,30,24,20,38,231,3,1,86.6,3,0,0,0
14,2022-12-24,16,LVR,@,PIT,L,10,13,16,30,174,1,3,42.2,3,3,14,0
