,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-12,1,SEA,,DEN,W,17,16,23,28,195,2,0,119.5,2,6,14,0
1,2022-09-18,2,SEA,@,SFO,L,7,27,24,30,197,0,1,80.1,2,2,2,0
2,2022-09-25,3,SEA,,ATL,L,23,27,32,44,325,2,1,99.1,2,2,-1,0
3,2022-10-02,4,SEA,@,DET,W,48,45,23,30,320,2,0,132.6,0,7,49,1
4,2022-10-09,5,SEA,@,NOR,L,32,39,16,25,268,3,0,139.7,3,3,13,0
5,2022-10-16,6,SEA,,ARI,W,19,9,20,31,197,0,0,82.3,5,6,48,0
6,2022-10-23,7,SEA,@,LAC,W,37,23,20,27,210,2,1,105.5,2,4,7,0
7,2022-10-30,8,SEA,,NYG,W,27,13,23,34,212,2,0,104.0,3,5,26,0
8,2022-11-06,9,SEA,@,ARI,W,31,21,26,34,275,2,1,106.9,2,6,38,0
9,2022-11-13,10,SEA,@,TAM,L,16,21,23,33,275,2,0,115.1,3,4,22,0
10,2022-11-27,12,SEA,,LVR,L,34,40,27,37,328,2,1,106.6,3,5,22,0
11,2022-12-04,13,SEA,@,LAR,W,27,23,28,39,367,3,1,116.1,4,2,3,0
12,2022-12-11,14,SEA,,CAR,L,24,30,21,36,264,3,2,85.9,3,3,20,0
13,2022-12-15,15,SEA,,SFO,L,13,21,31,44,238,1,0,90.9,3,1,18,0
14,2022-12-24,16,SEA,@,KAN,L,10,24,25,40,215,1,1,74.5,2,3,16,0
15,2023-01-01,17,SEA,,NYJ,W,23,6,18,29,183,2,0,103.1,4,5,18,0
16,2023-01-08,18,SEA,,LAR,W,19,16,19,31,213,1,2,65.7,3,4,51,0
