,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-11,1,CLE,@,CAR,W,26,24,18,34,147,1,0,74.0,1,4,10,0
1,2022-09-18,2,CLE,,NYJ,L,30,31,22,27,229,1,1,98.9,1,6,43,0
2,2022-09-22,3,CLE,,PIT,W,29,17,21,31,220,2,0,109.6,2,3,11,0
3,2022-10-02,4,CLE,@,ATL,L,20,23,21,35,234,0,1,68.0,1,5,16,1
4,2022-10-09,5,CLE,,LAC,L,28,30,21,34,230,1,1,79.3,0,3,32,0
5,2022-10-16,6,CLE,,NWE,L,15,38,21,45,266,1,2,54.5,4,1,0,0
6,2022-10-23,7,CLE,@,BAL,L,20,23,22,27,258,0,0,106.5,5,3,18,0
7,2022-10-31,8,CLE,,CIN,W,32,13,17,22,278,1,0,133.7,2,6,12,1
8,2022-11-13,10,CLE,@,MIA,L,17,39,22,35,212,1,0,89.2,3,7,40,0
9,2022-11-20,11,CLE,@,BUF,L,23,31,28,41,324,3,0,116.3,1,7,29,0
10,2022-11-27,12,CLE,,TAM,W,23,17,23,37,210,1,1,75.3,4,2,27,0
11,2022-12-11,14,CLE,@,CIN,L,10,23,0,1,0,0,0,39.6,0,0,0,0
12,2022-12-17,15,CLE,,BAL,W,13,3,0,0,0,0,0,0.0,0,1,3,0
13,2023-01-01,17,CLE,@,WAS,W,24,10,0,0,0,0,0,0.0,0,1,2,0
