,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-11,1,PHI,@,DET,W,38,35,18,32,243,0,0,80.6,1,17,90,1
1,2022-09-19,2,PHI,,MIN,W,24,7,26,31,333,1,1,108.7,3,11,57,2
2,2022-09-25,3,PHI,@,WAS,W,24,8,22,35,340,3,0,123.5,3,9,20,0
3,2022-10-02,4,PHI,,JAX,W,29,21,16,25,204,0,1,72.7,2,16,38,1
4,2022-10-09,5,PHI,@,ARI,W,20,17,26,36,239,0,0,89.9,2,15,61,2
5,2022-10-16,6,PHI,,DAL,W,26,17,15,25,155,2,0,104.6,4,9,27,0
6,2022-10-30,8,PHI,,PIT,W,35,13,19,28,285,4,0,140.6,3,2,10,0
7,2022-11-03,9,PHI,@,HOU,W,29,17,21,27,243,2,0,128.9,4,9,23,0
8,2022-11-14,10,PHI,,WAS,L,21,32,17,26,175,2,1,94.2,1,6,28,1
9,2022-11-20,11,PHI,@,IND,W,17,16,18,25,190,1,0,107.1,3,16,86,1
10,2022-11-27,12,PHI,,GNB,W,40,33,16,28,153,2,0,96.3,2,17,157,0
11,2022-12-04,13,PHI,,TEN,W,35,10,29,39,380,3,0,130.3,2,5,12,1
12,2022-12-11,14,PHI,@,NYG,W,48,22,21,31,217,2,0,109.2,4,7,77,1
13,2022-12-18,15,PHI,@,CHI,W,25,20,22,37,315,0,2,64.6,1,17,61,3
14,2023-01-08,18,PHI,,NYG,W,22,16,20,35,229,0,1,65.1,3,9,13,0
