,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-11,1,DET,,PHI,L,35,38,21,37,215,2,1,80.3,1,2,9,0
1,2022-09-18,2,DET,,WAS,W,36,27,20,34,256,4,0,121.7,3,2,-2,0
2,2022-09-25,3,DET,@,MIN,L,24,28,25,41,277,1,1,79.0,0,2,8,0
3,2022-10-02,4,DET,,SEA,L,45,48,26,39,378,4,1,121.5,1,1,1,0
4,2022-10-09,5,DET,@,NWE,L,0,29,19,35,229,0,1,62.7,2,3,7,0
5,2022-10-23,7,DET,@,DAL,L,6,24,21,26,228,0,2,71.2,5,1,4,0
6,2022-10-30,8,DET,,MIA,L,27,31,27,37,321,1,0,108.1,1,1,3,0
7,2022-11-06,9,DET,,GNB,W,15,9,14,26,137,2,1,78.5,0,1,-1,0
8,2022-11-13,10,DET,@,CHI,W,31,30,19,26,236,1,0,113.6,2,4,14,0
9,2022-11-20,11,DET,@,NYG,W,31,18,17,26,165,0,0,83.0,0,4,-1,0
10,2022-11-24,12,DET,,BUF,L,25,28,23,37,240,2,0,98.9,2,0,0,0
11,2022-12-04,13,DET,,JAX,W,40,14,31,41,340,2,0,115.9,2,0,0,0
12,2022-12-11,14,DET,,MIN,W,34,23,27,39,330,3,0,120.7,0,2,9,0
13,2022-12-18,15,DET,@,NYJ,W,20,17,23,38,252,1,0,88.9,0,0,0,0
14,2022-12-24,16,DET,@,CAR,L,23,37,25,42,355,3,0,110.7,2,3,15,0
15,2023-01-01,17,DET,,CHI,W,41,10,21,29,255,3,0,133.5,1,1,2,0
16,2023-01-08,18,DET,@,GNB,W,20,16,23,34,224,0,0,85.9,1,2,5,0
