,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-18,2,SFO,,SEA,W,27,7,13,21,154,1,0,100.1,1,4,5,1
1,2022-09-25,3,SFO,@,DEN,L,10,11,18,29,211,1,1,81.3,4,1,0,0
2,2022-10-03,4,SFO,,LAR,W,24,9,16,27,239,1,0,100.7,0,1,3,0
3,2022-10-09,5,SFO,@,CAR,W,37,15,18,30,253,2,0,109.4,2,1,-1,0
4,2022-10-16,6,SFO,@,ATL,L,14,28,29,41,296,2,2,87.0,0,3,11,0
5,2022-10-23,7,SFO,,KAN,L,23,44,25,37,303,2,1,99.3,5,2,2,0
6,2022-10-30,8,SFO,@,LAR,W,31,14,21,25,235,2,0,132.5,3,1,3,0
7,2022-11-13,10,SFO,,LAC,W,22,16,19,28,240,0,0,94.3,1,5,3,1
8,2022-11-21,11,SFO,@,ARI,W,38,10,20,29,228,4,0,131.9,0,1,3,0
9,2022-11-27,12,SFO,,NOR,W,13,0,26,37,222,1,0,94.7,1,4,4,0
10,2022-12-04,13,SFO,,MIA,W,33,17,2,4,56,0,0,95.8,1,0,0,0
