,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-11,1,CIN,,PIT,L,20,23,33,53,338,2,4,61.7,7,6,47,0
1,2022-09-18,2,CIN,@,DAL,L,17,20,24,36,199,1,0,89.9,6,4,26,0
2,2022-09-25,3,CIN,@,NYJ,W,27,12,23,36,275,3,0,114.9,2,5,0,0
3,2022-09-29,4,CIN,,MIA,W,27,15,20,31,287,2,0,115.9,1,5,6,0
4,2022-10-09,5,CIN,@,BAL,L,17,19,24,35,217,1,1,82.7,2,3,6,1
5,2022-10-16,6,CIN,@,NOR,W,30,26,28,37,300,3,0,126.0,3,4,25,1
6,2022-10-23,7,CIN,,ATL,W,35,17,34,42,481,3,0,138.2,3,3,20,1
7,2022-10-31,8,CIN,@,CLE,L,13,32,25,35,232,2,1,96.4,5,1,2,0
8,2022-11-06,9,CIN,,CAR,W,42,21,22,28,206,1,0,109.2,1,4,9,1
9,2022-11-20,11,CIN,@,PIT,W,37,30,24,39,355,4,2,104.1,2,4,5,0
10,2022-11-27,12,CIN,@,TEN,W,20,16,22,37,270,1,0,91.0,1,9,32,0
11,2022-12-04,13,CIN,,KAN,W,27,24,25,31,286,2,0,126.6,1,11,46,1
12,2022-12-11,14,CIN,,CLE,W,23,10,18,33,239,2,1,85.3,1,6,10,0
13,2022-12-18,15,CIN,@,TAM,W,34,23,27,39,200,4,1,104.6,2,3,8,0
14,2022-12-24,16,CIN,@,NWE,W,22,18,40,52,375,3,2,99.4,2,4,5,0
15,2023-01-08,18,CIN,,BAL,W,27,16,25,42,215,1,0,81.0,2,3,10,0
