,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-08,1,BUF,@,LAR,W,31,10,26,31,297,3,2,112.0,2,10,56,1
1,2022-09-19,2,BUF,,TEN,W,41,7,26,38,317,4,0,128.9,1,1,10,0
2,2022-09-25,3,BUF,@,MIA,L,19,21,42,63,400,2,0,94.7,4,8,47,0
3,2022-10-02,4,BUF,@,BAL,W,23,20,19,36,213,1,1,68.4,1,11,70,1
4,2022-10-09,5,BUF,,PIT,W,38,3,20,31,424,4,1,134.1,0,5,42,0
5,2022-10-16,6,BUF,@,KAN,W,24,20,27,40,329,3,0,117.6,1,12,32,0
6,2022-10-30,8,BUF,,GNB,W,27,17,13,25,218,2,2,75.1,2,6,49,0
7,2022-11-06,9,BUF,@,NYJ,L,17,20,18,34,205,0,2,46.8,5,9,86,2
8,2022-11-13,10,BUF,,MIN,L,30,33,29,43,330,1,2,78.6,2,6,84,0
9,2022-11-20,11,BUF,,CLE,W,31,23,18,27,197,1,0,100.4,2,3,7,0
10,2022-11-24,12,BUF,@,DET,W,28,25,24,42,253,2,1,80.8,3,10,78,1
11,2022-12-01,13,BUF,@,NWE,W,24,10,22,33,223,2,0,106.0,2,8,20,0
12,2022-12-11,14,BUF,,NYJ,W,20,12,16,27,147,1,0,86.5,3,10,47,1
13,2022-12-17,15,BUF,,MIA,W,32,29,25,40,304,4,0,119.2,2,10,77,0
14,2022-12-24,16,BUF,@,CHI,W,35,13,15,26,172,2,2,71.3,1,6,41,1
15,2023-01-08,18,BUF,,NWE,W,35,23,19,31,254,3,1,106.1,2,9,16,0
