,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-11,1,LAC,,LVR,W,24,19,26,34,279,3,0,129.4,0,4,1,0
1,2022-09-15,2,LAC,@,KAN,L,24,27,33,48,334,3,1,100.5,2,2,1,0
2,2022-09-25,3,LAC,,JAX,L,10,38,25,45,297,1,1,74.0,1,1,7,0
3,2022-10-02,4,LAC,@,HOU,W,34,24,27,39,340,2,0,113.2,1,4,-5,0
4,2022-10-09,5,LAC,@,CLE,W,30,28,22,34,228,1,0,93.7,1,5,13,0
5,2022-10-17,6,LAC,,DEN,W,19,16,37,57,238,0,1,66.3,2,2,9,0
6,2022-10-23,7,LAC,,SEA,L,23,37,33,51,293,2,1,84.8,3,3,22,0
7,2022-11-06,9,LAC,@,ATL,W,20,17,30,43,245,1,1,82.0,0,1,3,0
8,2022-11-13,10,LAC,@,SFO,L,16,22,21,35,196,1,1,73.0,2,5,22,0
9,2022-11-20,11,LAC,,KAN,L,27,30,23,30,280,2,1,113.2,5,5,17,0
10,2022-11-27,12,LAC,@,ARI,W,25,24,35,47,274,3,0,109.7,4,4,38,0
11,2022-12-04,13,LAC,@,LVR,L,20,27,28,47,335,1,0,88.5,5,5,7,0
12,2022-12-11,14,LAC,,MIA,W,23,17,39,51,367,1,0,102.3,4,4,8,0
13,2022-12-18,15,LAC,,TEN,W,17,14,28,42,313,0,2,68.8,3,1,2,0
14,2022-12-26,16,LAC,@,IND,W,20,3,24,31,235,0,1,84.7,4,5,1,0
15,2023-01-01,17,LAC,,LAR,W,31,10,21,28,212,2,0,119.9,0,1,2,0
16,2023-01-08,18,LAC,@,DEN,L,28,31,25,37,273,2,0,107.2,1,2,-1,0
