,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-10-02,4,PIT,,NYJ,L,20,24,10,13,120,0,3,65.1,0,6,15,2
1,2022-10-09,5,PIT,@,BUF,L,3,38,34,52,327,0,1,74.8,3,1,10,0
2,2022-10-16,6,PIT,,TAM,W,20,18,11,18,67,1,0,87.0,1,2,16,0
3,2022-10-23,7,PIT,@,MIA,L,10,16,32,44,257,1,3,66.2,2,3,20,0
4,2022-10-30,8,PIT,@,PHI,L,13,35,25,38,191,0,1,66.9,6,7,37,0
5,2022-11-13,10,PIT,,NOR,W,20,10,18,30,199,0,0,79.7,6,8,51,1
6,2022-11-20,11,PIT,,CIN,L,30,37,25,42,265,1,0,85.9,2,2,14,0
7,2022-11-28,12,PIT,@,IND,W,24,17,20,28,174,0,0,87.5,3,6,32,0
8,2022-12-04,13,PIT,@,ATL,W,19,16,16,28,197,1,0,90.9,0,7,14,0
9,2022-12-11,14,PIT,,BAL,L,14,16,0,1,0,0,0,39.6,1,2,16,0
10,2022-12-24,16,PIT,,LVR,W,13,10,26,39,244,1,1,81.6,0,3,9,0
11,2023-01-01,17,PIT,@,BAL,W,16,13,15,27,168,1,0,86.7,2,5,2,0
12,2023-01-08,18,PIT,,CLE,W,28,14,13,29,195,1,0,79.0,1,3,1,0
