,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-11,1,MIN,,GNB,W,23,7,23,32,277,2,0,118.9,1,0,0,0
1,2022-09-19,2,MIN,@,PHI,L,7,24,27,46,221,1,3,51.1,2,2,20,0
2,2022-09-25,3,MIN,,DET,W,28,24,24,41,260,2,0,93.5,1,1,-1,0
3,2022-10-02,4,MIN,@,NOR,W,28,25,25,38,273,1,1,84.6,3,0,0,0
4,2022-10-09,5,MIN,,CHI,W,29,22,32,41,296,1,1,94.7,1,4,4,1
5,2022-10-16,6,MIN,@,MIA,W,24,16,20,30,175,2,0,104.2,3,2,-5,0
6,2022-10-30,8,MIN,,ARI,W,34,26,24,36,232,2,0,103.0,3,4,22,1
7,2022-11-06,9,MIN,@,WAS,W,20,17,22,40,265,2,1,81.8,2,2,-2,0
8,2022-11-13,10,MIN,@,BUF,W,33,30,30,50,357,1,2,71.8,4,6,12,0
9,2022-11-20,11,MIN,,DAL,L,3,40,12,23,105,0,0,64.6,7,0,0,0
10,2022-11-24,12,MIN,,NWE,W,33,26,30,37,299,3,1,116.1,1,1,-1,0
11,2022-12-04,13,MIN,,NYJ,W,27,22,21,35,173,1,0,82.2,2,3,9,0
12,2022-12-11,14,MIN,@,DET,L,23,34,31,41,425,2,0,124.5,3,0,0,0
13,2022-12-17,15,MIN,,IND,W,39,36,34,54,460,4,2,99.3,7,2,0,0
14,2022-12-24,16,MIN,,NYG,W,27,24,34,48,299,3,0,107.9,4,1,2,0
15,2023-01-01,17,MIN,@,GNB,L,17,41,18,31,205,1,3,49.2,2,3,37,0
16,2023-01-08,18,MIN,@,CHI,W,29,13,17,20,225,1,0,130.2,0,0,0,0
