,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-11,1,ARI,,KAN,L,21,44,22,34,193,2,0,99.3,2,5,29,0
1,2022-09-18,2,ARI,@,LVR,W,29,23,31,49,277,1,1,76.7,1,5,28,1
2,2022-09-25,3,ARI,,LAR,L,12,20,37,58,314,0,0,77.8,2,2,8,0
3,2022-10-02,4,ARI,@,CAR,W,26,16,23,32,207,2,1,96.7,1,12,26,1
4,2022-10-09,5,ARI,,PHI,L,17,20,28,42,250,1,1,80.5,1,4,42,0
5,2022-10-16,6,ARI,@,SEA,L,9,19,23,37,222,0,1,67.6,6,10,100,0
6,2022-10-20,7,ARI,,NOR,W,42,34,20,29,204,1,0,100.4,2,7,30,0
7,2022-10-30,8,ARI,@,MIN,L,26,34,31,44,326,3,2,95.5,4,6,36,0
8,2022-11-06,9,ARI,,SEA,L,21,31,25,35,175,2,0,101.5,5,8,60,0
9,2022-11-27,12,ARI,,LAC,L,24,25,18,29,191,2,1,89.9,1,7,56,1
10,2022-12-12,14,ARI,,NWE,L,13,27,1,1,9,0,0,104.2,0,1,3,0
