,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-11,1,BAL,@,NYJ,W,24,9,17,30,213,3,1,98.3,2,6,17,0
1,2022-09-18,2,BAL,,MIA,L,38,42,21,29,318,3,0,142.6,0,9,119,1
2,2022-09-25,3,BAL,@,NWE,W,37,26,18,29,218,4,1,110.3,4,11,107,1
3,2022-10-02,4,BAL,,BUF,L,20,23,20,29,144,1,2,63.0,2,11,73,0
4,2022-10-09,5,BAL,,CIN,W,19,17,19,32,174,1,1,71.6,1,12,58,0
5,2022-10-16,6,BAL,@,NYG,L,20,24,17,32,210,1,1,71.1,2,7,77,0
6,2022-10-23,7,BAL,,CLE,W,23,20,9,16,120,0,0,80.2,3,10,59,0
7,2022-10-27,8,BAL,@,TAM,W,27,22,27,38,238,2,0,104.9,3,9,43,0
8,2022-11-07,9,BAL,@,NOR,W,27,13,12,22,133,1,0,87.9,3,11,82,0
9,2022-11-20,11,BAL,,CAR,W,13,3,24,33,209,0,1,76.5,3,11,31,1
10,2022-11-27,12,BAL,@,JAX,L,27,28,16,32,254,1,0,87.2,1,14,89,0
11,2022-12-04,13,BAL,,DEN,W,10,9,3,4,11,0,0,77.1,2,1,9,0
