,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-11,1,NWE,@,MIA,L,7,20,21,30,213,1,1,87.2,2,2,0,0
1,2022-09-18,2,NWE,@,PIT,W,17,14,21,35,252,1,1,79.7,0,7,6,0
2,2022-09-25,3,NWE,,BAL,L,26,37,22,32,321,0,3,62.1,3,5,31,1
3,2022-10-24,7,NWE,,CHI,L,14,33,3,6,13,0,1,16.7,0,3,24,0
4,2022-10-30,8,NWE,@,NYJ,W,22,17,24,35,194,1,1,79.9,6,7,19,0
5,2022-11-06,9,NWE,,IND,W,26,3,20,30,147,1,0,89.2,4,1,-2,0
6,2022-11-20,11,NWE,,NYJ,W,10,3,23,27,246,0,0,104.6,6,2,3,0
7,2022-11-24,12,NWE,@,MIN,L,26,33,28,39,382,2,0,119.8,3,0,0,0
8,2022-12-01,13,NWE,,BUF,L,10,24,22,36,195,1,0,84.8,1,3,7,0
9,2022-12-12,14,NWE,@,ARI,W,27,13,24,35,235,0,1,75.3,1,5,-1,0
10,2022-12-18,15,NWE,@,LVR,L,24,30,13,31,112,0,0,52.1,0,4,10,0
11,2022-12-24,16,NWE,,CIN,L,18,22,21,33,240,2,0,105.6,4,1,-1,0
12,2023-01-01,17,NWE,,MIA,W,23,21,20,33,204,2,0,98.5,3,3,1,0
13,2023-01-08,18,NWE,@,BUF,L,23,35,26,40,243,3,3,75.3,1,4,5,0
