,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-11,1,ATL,,NOR,L,26,27,20,33,215,0,0,79.7,0,12,72,1
1,2022-09-18,2,ATL,@,LAR,L,27,31,17,26,196,2,2,81.6,3,6,16,0
2,2022-09-25,3,ATL,@,SEA,W,27,23,13,20,229,1,1,99.8,3,7,4,1
3,2022-10-02,4,ATL,,CLE,W,23,20,7,19,139,0,1,41.3,1,5,3,0
4,2022-10-09,5,ATL,@,TAM,L,15,21,14,25,147,1,0,86.6,5,7,61,0
5,2022-10-16,6,ATL,,SFO,W,28,14,13,14,129,2,0,144.6,2,6,50,1
6,2022-10-23,7,ATL,@,CIN,L,17,35,8,13,124,1,0,118.7,3,6,31,0
7,2022-10-30,8,ATL,,CAR,W,37,34,20,28,253,3,2,105.2,2,6,43,0
8,2022-11-06,9,ATL,,LAC,L,17,20,12,23,129,0,0,68.9,2,5,24,0
9,2022-11-10,10,ATL,@,CAR,L,15,25,19,30,186,2,1,89.0,5,3,43,0
10,2022-11-20,11,ATL,,CHI,W,27,24,13,20,131,1,0,100.2,0,13,25,1
11,2022-11-27,12,ATL,@,WAS,L,13,19,15,25,174,1,1,77.7,1,6,49,0
12,2022-12-04,13,ATL,,PIT,L,16,19,13,24,167,1,1,72.7,1,3,17,0
