,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-11,1,IND,@,HOU,T,20,20,32,50,352,1,1,83.1,2,4,12,0
1,2022-09-18,2,IND,@,JAX,L,0,24,16,30,195,0,3,34.0,5,0,0,0
2,2022-09-25,3,IND,,KAN,W,20,17,27,37,222,2,0,105.9,5,3,4,0
3,2022-10-02,4,IND,,TEN,L,17,24,27,37,356,2,1,109.7,3,2,-4,0
4,2022-10-06,5,IND,@,DEN,W,12,9,26,41,251,0,2,60.1,6,1,1,0
5,2022-10-16,6,IND,,JAX,W,34,27,42,58,389,3,0,107.6,0,1,-4,0
6,2022-10-23,7,IND,@,TEN,L,10,19,33,44,243,1,2,76.2,3,1,2,0
7,2022-11-13,10,IND,@,LVR,W,25,20,21,28,222,1,0,109.5,1,4,38,1
8,2022-11-20,11,IND,,PHI,L,16,17,23,32,213,0,0,89.7,4,1,1,0
9,2022-11-28,12,IND,,PIT,L,17,24,22,34,199,1,1,77.9,3,4,22,0
10,2022-12-04,13,IND,@,DAL,L,19,54,21,37,233,2,3,59.9,3,3,-2,0
11,2022-12-17,15,IND,@,MIN,L,36,39,19,33,182,1,0,83.1,3,3,0,0
