,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-11,1,KAN,@,ARI,W,44,21,30,39,360,5,0,144.2,0,3,5,0
1,2022-09-15,2,KAN,,LAC,W,27,24,24,35,235,2,0,106.2,1,2,-1,0
2,2022-09-25,3,KAN,@,IND,L,17,20,20,35,262,1,1,78.5,1,4,26,0
3,2022-10-02,4,KAN,@,TAM,W,41,31,23,37,249,3,1,97.7,3,4,34,0
4,2022-10-10,5,KAN,,LVR,W,30,29,29,43,292,4,0,117.6,3,4,28,0
5,2022-10-16,6,KAN,,BUF,L,20,24,25,40,338,2,2,85.2,3,4,21,0
6,2022-10-23,7,KAN,@,SFO,W,44,23,25,34,423,3,1,132.4,1,0,0,0
7,2022-11-06,9,KAN,,TEN,W,20,17,43,68,446,1,1,80.9,4,6,63,1
8,2022-11-13,10,KAN,,JAX,W,27,17,26,35,331,4,1,129.6,0,7,39,0
9,2022-11-20,11,KAN,@,LAC,W,30,27,20,34,329,3,0,120.8,1,4,23,0
10,2022-11-27,12,KAN,,LAR,W,26,10,27,42,320,1,1,85.4,0,4,36,0
11,2022-12-04,13,KAN,@,CIN,L,24,27,16,27,223,1,0,98.2,2,2,9,1
12,2022-12-11,14,KAN,@,DEN,W,34,28,28,42,352,3,3,86.6,2,3,-3,0
13,2022-12-18,15,KAN,@,HOU,W,30,24,36,41,336,2,0,117.1,2,5,33,1
14,2022-12-24,16,KAN,,SEA,W,24,10,16,28,224,2,0,106.8,1,2,8,1
15,2023-01-01,17,KAN,,DEN,W,27,24,29,42,328,3,1,106.1,0,4,8,0
16,2023-01-07,18,KAN,@,LVR,W,31,13,18,26,202,1,0,105.0,2,3,29,0
