,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-12,1,DEN,@,SEA,L,16,17,29,42,340,1,0,101.3,2,1,2,0
1,2022-09-18,2,DEN,,HOU,W,16,9,14,31,219,1,1,66.5,3,2,3,0
2,2022-09-25,3,DEN,,SFO,W,11,10,20,33,184,0,0,75.8,4,6,17,0
3,2022-10-02,4,DEN,@,LVR,L,23,32,17,25,237,2,0,124.9,3,4,29,1
4,2022-10-06,5,DEN,,IND,L,9,12,21,39,274,0,2,54.9,4,4,22,0
5,2022-10-17,6,DEN,@,LAC,L,16,19,15,28,188,1,0,86.6,4,4,23,0
6,2022-10-30,8,DEN,@,JAX,W,21,17,18,30,252,1,1,84.3,3,4,17,0
7,2022-11-13,10,DEN,@,TEN,L,10,17,21,42,286,1,1,70.1,6,7,8,0
8,2022-11-20,11,DEN,,LVR,L,16,22,24,31,247,0,0,99.8,3,1,8,0
9,2022-11-27,12,DEN,@,CAR,L,10,23,19,35,142,1,0,73.7,3,2,8,0
10,2022-12-04,13,DEN,@,BAL,L,9,10,17,22,189,0,0,102.3,2,2,21,0
11,2022-12-11,14,DEN,,KAN,L,28,34,23,36,247,3,1,100.1,6,4,57,0
12,2022-12-25,16,DEN,@,LAR,L,14,51,15,27,214,1,3,54.2,6,2,17,0
13,2023-01-01,17,DEN,@,KAN,L,24,27,26,38,222,1,1,81.3,4,4,27,2
14,2023-01-08,18,DEN,,LAC,W,31,28,13,24,283,3,1,118.6,2,8,18,0
