,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-11,1,TEN,,NYG,L,20,21,20,33,266,2,0,106.4,1,2,7,0
1,2022-09-19,2,TEN,@,BUF,L,7,41,11,20,117,0,2,32.7,2,1,2,0
2,2022-09-25,3,TEN,,LVR,W,24,22,19,27,264,1,1,98.4,1,4,2,1
3,2022-10-02,4,TEN,@,IND,W,24,17,17,21,137,2,0,125.6,3,5,9,0
4,2022-10-09,5,TEN,@,WAS,W,21,17,15,25,181,1,0,95.6,5,3,3,0
5,2022-10-23,7,TEN,,IND,W,19,10,13,20,132,0,0,83.7,2,4,6,0
6,2022-11-13,10,TEN,,DEN,W,17,10,19,36,255,2,0,94.1,1,2,12,0
7,2022-11-17,11,TEN,@,GNB,W,27,17,22,27,333,2,1,127.3,3,3,-3,0
8,2022-11-27,12,TEN,,CIN,L,16,20,22,34,291,0,0,91.7,1,2,9,0
9,2022-12-04,13,TEN,@,PHI,L,10,35,14,22,141,1,0,97.0,6,3,34,0
10,2022-12-11,14,TEN,,JAX,L,22,36,25,38,254,2,1,91.3,4,2,16,0
11,2022-12-18,15,TEN,@,LAC,L,14,17,15,22,165,0,1,71.2,4,3,1,1
