,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-11,1,NOR,@,ATL,W,27,26,0,0,0,0,0,0.0,0,4,81,1
1,2022-09-18,2,NOR,,TAM,L,10,20,0,0,0,0,0,0.0,0,3,14,0
2,2022-10-02,4,NOR,,MIN,L,25,28,0,0,0,0,0,0.0,0,5,21,1
3,2022-10-09,5,NOR,,SEA,W,39,32,1,1,22,1,0,158.3,0,9,112,3
4,2022-10-16,6,NOR,,CIN,L,26,30,2,4,16,0,0,60.4,0,5,39,0
5,2022-10-20,7,NOR,@,ARI,L,34,42,2,2,48,0,0,118.7,0,3,9,0
6,2022-10-30,8,NOR,,LVR,W,24,0,1,1,2,0,0,79.2,0,10,61,0
7,2022-11-07,9,NOR,,BAL,L,13,27,1,1,13,0,0,118.7,0,1,6,0
8,2022-11-13,10,NOR,@,PIT,L,10,20,0,1,0,0,0,39.6,0,3,1,0
9,2022-11-20,11,NOR,,LAR,W,27,20,1,3,14,0,0,49.3,1,9,52,0
10,2022-11-27,12,NOR,@,SFO,L,0,13,0,1,0,0,0,39.6,0,6,13,0
11,2022-12-05,13,NOR,@,TAM,L,16,17,1,1,21,0,0,118.7,0,3,10,0
12,2022-12-18,15,NOR,,ATL,W,21,18,2,2,80,1,0,158.3,0,7,30,0
13,2022-12-24,16,NOR,@,CLE,W,17,10,0,0,0,0,0,0.0,0,9,56,1
14,2023-01-01,17,NOR,@,PHI,W,20,10,2,2,24,0,0,116.7,1,14,46,1
15,2023-01-08,18,NOR,,CAR,L,7,10,0,0,0,0,0,0.0,0,5,24,0
