,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-11,1,TAM,@,DAL,W,19,3,18,27,212,1,1,87.3,2,2,-1,0
1,2022-09-18,2,TAM,@,NOR,W,20,10,18,34,190,1,0,79.3,1,3,-2,0
2,2022-09-25,3,TAM,,GNB,L,12,14,31,42,271,1,0,98.4,3,1,-1,0
3,2022-10-02,4,TAM,,KAN,L,31,41,39,52,385,3,0,114.7,1,0,0,0
4,2022-10-09,5,TAM,,ATL,W,21,15,35,52,351,1,0,92.7,0,3,-3,0
5,2022-10-16,6,TAM,@,PIT,L,18,20,25,40,243,1,0,87.8,2,1,0,0
6,2022-10-23,7,TAM,@,CAR,L,3,21,32,49,290,0,0,81.2,1,1,1,0
7,2022-10-27,8,TAM,,BAL,L,22,27,26,44,325,1,0,89.7,3,1,1,0
8,2022-11-06,9,TAM,,LAR,W,16,13,36,58,280,1,0,79.7,1,0,0,0
9,2022-11-13,10,TAM,,SEA,W,21,16,22,29,258,2,1,111.0,0,6,-3,0
10,2022-11-27,12,TAM,@,CLE,L,17,23,29,43,246,2,0,97.6,3,1,2,0
11,2022-12-05,13,TAM,,NOR,W,17,16,36,54,281,2,1,84.0,1,1,-1,0
12,2022-12-11,14,TAM,@,SFO,L,7,35,34,55,253,1,2,63.7,0,2,0,0
13,2022-12-18,15,TAM,,CIN,L,23,34,30,44,312,3,2,92.2,1,2,1,0
14,2022-12-25,16,TAM,@,ARI,W,19,16,32,48,281,1,2,71.6,0,2,1,0
15,2023-01-01,17,TAM,,CAR,W,30,24,34,45,432,3,0,127.3,3,3,4,1
16,2023-01-08,18,TAM,@,ATL,L,17,30,13,17,84,1,0,106.0,0,0,0,0
