,date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
0,2022-09-11,1,JAX,@,WAS,L,22,28,24,42,275,1,1,75.0,2,2,4,0
1,2022-09-18,2,JAX,,IND,W,24,0,25,30,235,2,0,121.5,0,3,11,0
2,2022-09-25,3,JAX,@,LAC,W,38,10,28,39,262,3,0,115.5,0,3,7,0
3,2022-10-02,4,JAX,@,PHI,L,21,29,11,23,174,2,1,84.3,4,2,7,0
4,2022-10-09,5,JAX,,HOU,L,6,13,25,47,286,0,2,54.0,0,4,29,0
5,2022-10-16,6,JAX,@,IND,L,27,34,20,22,165,1,0,113.1,4,6,23,2
6,2022-10-23,7,JAX,,NYG,L,17,23,22,43,310,0,0,74.8,0,4,3,1
7,2022-10-30,8,JAX,,DEN,L,17,21,18,31,133,1,2,52.2,2,3,15,0
8,2022-11-06,9,JAX,,LVR,W,27,20,25,31,235,1,0,109.0,0,6,53,0
9,2022-11-13,10,JAX,@,KAN,L,17,27,29,40,259,2,0,106.1,5,4,26,0
10,2022-11-27,12,JAX,,BAL,W,28,27,29,37,321,3,0,129.8,4,2,1,0
11,2022-12-04,13,JAX,@,DET,L,14,40,17,31,179,1,0,82.6,2,4,32,0
12,2022-12-11,14,JAX,@,TEN,W,36,22,30,42,368,3,0,121.9,0,3,7,1
13,2022-12-18,15,JAX,,DAL,W,40,34,27,42,318,4,1,109.0,1,3,21,0
14,2022-12-22,16,JAX,@,NYJ,W,19,3,20,31,229,0,0,86.6,1,7,51,1
15,2023-01-01,17,JAX,@,HOU,W,31,3,17,21,152,0,1,77.0,1,2,4,0
16,2023-01-07,18,JAX,,TEN,W,20,16,20,32,212,1,0,92.2,1,4,-3,0
