Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Player-additional
1,Sam Howell,WAS,23,QB,5,5,2-3-0,131,191,68.6,1349,6,3.1,6,3.1,62,46.4,41,7.1,6.3,10.3,269.8,86.0,48.8,29,185,13.2,5.29,4.61,2,2,HoweSa00
2,Tua Tagovailoa,MIA,25,QB,4,4,3-1-0,97,136,71.3,1306,9,6.6,3,2.2,65,58.2,54,9.6,9.9,13.5,326.5,114.4,79.0,5,36,3.5,9.01,9.33,1,1,TagoTu00
3,Matthew Stafford,LAR,35,QB,4,4,2-2-0,103,166,62.0,1229,3,1.8,5,3.0,62,47.4,46,7.4,6.4,11.9,307.3,78.1,60.9,9,74,5.1,6.60,5.66,0,1,StafMa00
4,Kirk Cousins,MIN,35,QB,4,4,1-3-0,108,157,68.8,1214,11,7.0,4,2.5,58,46.7,62,7.7,8.0,11.2,303.5,104.4,59.1,10,65,6.0,6.88,7.12,,,CousKi00
5,C.J. Stroud,HOU,22,QB,4,4,2-2-0,94,151,62.3,1212,6,4.0,0,0.0,55,46.9,68,8.0,8.8,12.9,303.0,100.6,57.5,11,93,6.8,6.91,7.65,,,StroCJ00
6,Justin Fields,CHI,24,QB,5,5,1-4-0,94,152,61.8,1143,11,7.2,5,3.3,52,39.5,58,7.5,7.5,12.2,228.6,95.4,44.9,20,125,11.6,5.92,5.89,,,FielJu00
7,Justin Herbert,LAC,25,QB,4,4,2-2-0,103,145,71.0,1106,7,4.8,1,0.7,51,51.3,51,7.6,8.3,10.7,276.5,106.3,68.8,9,79,5.8,6.67,7.29,1,1,HerbJu00
8,Josh Allen,BUF,27,QB,4,4,3-1-0,101,135,74.8,1048,9,6.7,4,3.0,52,53.5,55,7.8,7.8,10.4,262.0,106.7,71.9,9,36,6.3,7.03,7.03,,,AlleJo02
9,Jared Goff,DET,29,QB,4,4,3-1-0,91,131,69.5,1029,6,4.6,3,2.3,50,52.2,45,7.9,7.7,11.3,257.3,98.4,68.9,5,30,3.7,7.35,7.24,1,1,GoffJa00
10,Brock Purdy,SFO,24,QB,4,4,4-0-0,81,112,72.3,1019,5,4.5,0,0.0,54,57.1,42,9.1,10.0,12.6,254.8,115.1,84.6,7,39,5.9,8.24,9.08,,,PurdBr00
11,Russell Wilson,DEN,35,QB,4,4,1-3-0,89,132,67.4,1014,9,6.8,2,1.5,41,45.5,60,7.7,8.4,11.4,253.5,106.7,51.3,11,63,7.7,6.65,7.28,1,1,WilsRu00
12,Patrick Mahomes,KAN,28,QB,4,4,3-1-0,92,143,64.3,1006,8,5.6,4,2.8,45,49.0,54,7.0,6.9,10.9,251.5,92.0,71.9,2,13,1.4,6.85,6.71,0,1,MahoPa00
13,Jalen Hurts,PHI,25,QB,4,4,4-0-0,88,130,67.7,959,5,3.8,3,2.3,39,41.8,63,7.4,7.1,10.9,239.8,92.4,53.0,11,52,7.8,6.43,6.18,0,1,HurtJa00
14,Trevor Lawrence,JAX,24,QB,4,4,2-2-0,96,143,67.1,943,4,2.8,2,1.4,47,50.3,45,6.6,6.5,9.8,235.8,89.0,48.9,8,34,5.3,6.02,5.95,1,1,LawrTr00
15,Dak Prescott,DAL,30,QB,4,4,3-1-0,97,136,71.3,908,4,2.9,1,0.7,49,50.7,49,6.7,6.9,9.4,227.0,96.1,67.0,6,53,4.2,6.02,6.27,,,PresDa01
16,Jordan Love,GNB,25,QB,4,4,2-2-0,74,132,56.1,901,8,6.1,3,2.3,42,40.7,51,6.8,7.0,12.2,225.3,88.0,49.7,8,76,5.7,5.89,6.07,1,1,LoveJo03
17,Mac Jones,NWE,25,QB,4,4,1-3-0,93,146,63.7,898,5,3.4,4,2.7,43,43.1,58,6.2,5.6,9.7,224.5,80.8,45.1,7,41,4.6,5.60,5.08,,,JoneMa05
18,Baker Mayfield,TAM,28,QB,4,4,3-1-0,87,125,69.6,882,7,5.6,2,1.6,42,46.5,70,7.1,7.5,10.1,220.5,101.5,69.9,4,24,3.1,6.65,7.04,0,1,MayfBa00
19,Geno Smith,SEA,33,QB,4,4,3-1-0,84,123,68.3,846,5,4.1,1,0.8,43,51.5,36,6.9,7.3,10.1,211.5,97.8,64.8,7,64,5.4,6.02,6.44,1,1,SmitGe00
20,Joshua Dobbs,ARI,28,QB,4,4,1-3-0,87,123,70.7,814,4,3.3,0,0.0,41,45.7,69,6.6,7.3,9.4,203.5,99.4,67.3,6,37,4.7,6.02,6.64,,,DobbJo00
21,Kenny Pickett,PIT,25,QB,4,4,2-2-0,77,127,60.6,803,4,3.1,4,3.1,28,36.2,72,6.3,5.5,10.4,200.8,76.3,29.4,11,84,8.0,5.21,4.49,0,0,PickKe00
22,Lamar Jackson,BAL,26,QB,4,4,3-1-0,78,105,74.3,794,4,3.8,1,1.0,35,53.4,52,7.6,7.9,10.2,198.5,104.2,58.9,11,59,9.5,6.34,6.64,,,JackLa00
23,Ryan Tannehill,TEN,35,QB,4,4,2-2-0,67,108,62.0,788,2,1.9,4,3.7,32,37.9,70,7.3,6.0,11.8,197.0,74.9,28.3,16,114,12.9,5.44,4.31,1,1,TannRy00
24,Daniel Jones,NYG,26,QB,4,4,1-3-0,90,131,68.7,765,2,1.5,6,4.6,35,37.9,58,5.8,4.1,8.5,191.3,69.7,36.9,22,131,14.4,4.14,2.64,1,1,JoneDa05
25,Derek Carr,NOR,32,QB,4,4,2-2-0,80,124,64.5,763,2,1.6,2,1.6,37,42.3,45,6.2,5.8,9.5,190.8,80.1,45.2,13,83,9.5,4.96,4.60,,,CarrDe02
26,Desmond Ridder,ATL,24,QB,4,4,2-2-0,74,119,62.2,744,3,2.5,3,2.5,36,38.5,45,6.3,5.6,10.1,186.0,77.9,29.2,16,119,11.9,4.63,4.07,1,2,RiddDe00
27,Joe Burrow,CIN,27,QB,4,4,1-3-0,87,151,57.6,728,2,1.3,2,1.3,36,39.0,43,4.8,4.5,8.4,182.0,69.1,33.8,8,64,5.0,4.18,3.86,,,BurrJo01
28,Zach Wilson,NYJ,24,QB,4,3,0-3-0,72,123,58.5,712,4,3.3,4,3.3,31,33.1,68,5.8,5.0,9.9,178.0,72.3,38.9,10,73,7.5,4.80,4.05,1,0,WilsZa00
29,Jimmy Garoppolo,LVR,32,QB,3,3,1-2-0,64,94,68.1,709,5,5.3,6,6.4,33,53.1,32,7.5,5.7,11.1,236.3,81.4,49.5,4,31,4.1,6.92,5.18,1,1,GaroJi00
30,Deshaun Watson,CLE,28,QB,3,3,2-1-0,65,102,63.7,678,4,3.9,2,2.0,33,42.1,43,6.6,6.5,10.4,226.0,87.8,46.0,12,61,10.5,5.41,5.32,,,WatsDe00
31,Bryce Young,CAR,22,QB,3,3,0-3-0,67,103,65.0,503,2,1.9,2,1.9,28,36.8,22,4.9,4.4,7.5,167.7,75.0,24.7,11,88,9.6,3.64,3.20,,,YounBr01
32,Anthony Richardson,IND,21,QB,3,3,1-2-0,41,72,56.9,479,3,4.2,1,1.4,26,43.6,39,6.7,6.9,11.7,159.7,85.4,53.4,6,12,7.7,5.99,6.18,,,RichAn03
33,Gardner Minshew II,IND,27,QB,4,1,1-0-0,46,69,66.7,398,2,2.9,0,0.0,18,41.9,43,5.8,6.3,8.7,99.5,91.3,64.7,5,39,6.8,4.85,5.39,1,1,MinsGa00
34,Andy Dalton,CAR,36,QB,2,1,0-1-0,34,58,58.6,361,2,3.4,0,0.0,17,42.6,47,6.2,6.9,10.6,180.5,88.4,48.1,3,27,4.9,5.48,6.13,,,DaltAn00
35,Aidan O'Connell,LVR,25,QB,1,1,0-1-0,24,39,61.5,238,0,0.0,1,2.6,12,43.5,25,6.1,4.9,9.9,238.0,68.1,8.1,7,50,15.2,4.09,3.11,,,OConAi00
36,Dorian Thompson-Robinson,CLE,24,QB,2,1,0-1-0,19,36,52.8,121,0,0.0,3,8.3,6,35.0,16,3.4,-0.4,6.4,60.5,25.3,19.0,4,48,10.0,1.83,-1.55,,,ThomDo02
37,Jameis Winston,NOR,29,QB,2,0,,10,17,58.8,101,0,0.0,1,5.9,3,44.4,28,5.9,3.3,10.1,50.5,51.3,48.5,1,8,5.6,5.17,2.67,,,WinsJa00
38,Mike White,MIA,28,QB,1,0,,2,2,100.0,67,1,50.0,0,0.0,1,50.0,68,33.5,43.5,33.5,67.0,158.3,100.0,0,0,0.0,33.50,43.50,,,WhitMi01
39,Drew Lock,SEA,27,QB,1,0,,2,6,33.3,63,0,0.0,0,0.0,2,33.3,51,10.5,10.5,31.5,63.0,73.6,81.8,0,0,0.0,10.50,10.50,,,LockDr00
40,Bailey Zappe,NWE,24,QB,1,0,,4,9,44.4,57,0,0.0,0,0.0,2,40.0,22,6.3,6.3,14.3,57.0,65.5,19.6,1,7,10.0,5.00,5.00,,,ZappBa00
41,Keenan Allen,LAC,31,WR,4,4,,1,1,100.0,49,1,100.0,0,0.0,1,100.0,49,49.0,69.0,49.0,12.3,158.3,100.0,0,0,0.0,49.00,69.00,,,AlleKe00
42,Blaine Gabbert,KAN,34,QB,1,0,,3,5,60.0,31,0,0.0,2,40.0,2,60.0,15,6.2,-11.8,10.3,31.0,38.3,2.0,0,0,0.0,6.20,-11.80,,,GabbBl00
43,Taysom Hill,NOR,33,QB,4,2,,2,2,100.0,21,0,0.0,0,0.0,1,66.7,13,10.5,10.5,10.5,5.3,110.4,63.8,1,3,33.3,6.00,6.00,,,HillTa00
44,Cooper Rush,DAL,30,QB,2,0,,2,3,66.7,20,0,0.0,0,0.0,1,66.7,13,6.7,6.7,10.0,10.0,85.4,62.4,0,0,0.0,6.67,6.67,,,RushCo00
45,Mitchell Trubisky,PIT,29,QB,1,0,,3,5,60.0,18,0,0.0,0,0.0,1,60.0,8,3.6,3.6,6.0,18.0,67.1,20.7,0,0,0.0,3.60,3.60,,,TrubMi00
46,C.J. Beathard,JAX,30,QB,1,0,,2,2,100.0,9,0,0.0,0,0.0,1,50.0,6,4.5,4.5,4.5,9.0,85.4,83.7,0,0,0.0,4.50,4.50,,,BeatC.00
47,Devin Singletary,HOU,26,RB,4,0,,1,1,100.0,6,1,100.0,0,0.0,1,100.0,6,6.0,26.0,6.0,1.5,131.2,100.0,0,0,0.0,6.00,26.00,,,SingDe00
48,Tyrod Taylor,NYG,34,QB,3,0,,2,3,66.7,6,0,0.0,0,0.0,0,33.3,9,2.0,2.0,3.0,2.0,70.1,4.8,0,0,0.0,2.00,2.00,,,TaylTy00
49,Derrick Henry,TEN,29,RB,4,4,,1,1,100.0,2,1,100.0,0,0.0,1,100.0,2,2.0,22.0,2.0,0.5,118.7,100.0,0,0,0.0,2.00,22.00,,,HenrDe00
50,Jake Browning,CIN,27,QB,1,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,3.3,0,0,0.0,0.00,0.00,,,BrowJa08
